"New password","새 비밀번호"
"Insert custom character","사용자 문자 삽입"
"Toggle guidelines/invisible elements","가이드라인/보이지 않는 요소 토글"
"Insert/edit anchor","앵커 삽입/편집"
"Cut","잘라내기"
"Copy","복사"
"Paste","붙여 넣기"
"Image properties","그림 속성"
"New document","새 문서"
"Help","도움말"
"Path","경로"
"Are you sure you want to clear all contents?","모든 내용을 지우시겠습니까?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","툴 버튼으로 점프 - Alt-Q, 편집기로 점프 - Alt-Z, 요소 경로로 점프 - Alt-X"
"Accessibility Help","접근성 도움말"
"Press ALT F10 for toolbar. Press ALT 0 for help.","툴바는 ALT F10을 누르세요. 도움말은 ALT 0을 누르세요."
"Toolbar","툴바"
"About TinyMCE","TinyMCE 정보"
"About","정보"
"License","라이선스"
"Plugins","플러그인"
"Plugin","플러그인"
"Author","글쓴이"
"Version","버전"
"Loaded plugins","읽어들인 플러그인"
"Anchor name","앵커 이름"
"HTML Source Editor","HTML 소스 편집기"
"Word wrap","줄바꿈"
"Select a color","색상 선택"
"Picker","선택기"
"Color picker","색상선택기"
"Palette","팔레트"
"Palette colors","팔레트 색상"
"Named","이름"
"Named colors","이름 색상"
"Color:","색상:"
"Name:","이름:"
"Select custom character","사용자 문자 선택"
"Use left and right arrows to navigate.","이동하려면 좌우 방향키를 사용하세요."
"Image URL","이미지 URL"
"Image description","이미지 설명"
"Image list","이미지 목록"
"Border","경계선"
"Dimensions","차원"
"Vertical space","수직공간"
"Horizontal space","수평공간"
"Baseline","기준선"
"Top","꼭대기"
"Middle","가운데"
"Bottom","아래"
"Text top","텍스트 상단"
"Text bottom","텍스트 하단"
"Link URL","링크 ID"
"Target","타겟"
"Open link in the same window","같은 창에서 링크 열기"
"Open link in a new window","새 창에서 링크 열기"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","입력한 URL은 메일주소로 보입니다. mailto: 접두어를 추가하시겠습니까?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","입력한 URL은 외부 링크로 보입니다. http:// 접두어를 추가하시겠습니까?"
"Link list","링크 목록"
"General Usage","일반 사용"
"General","일반"
"Advanced","고급"
"File/URL","파일/URL"
"List","리스트"
"Constrain proportions","종횡비 유지"
"Type","타입"
"Name","이름"
"V-Space","상하여백"
"H-Space","좌우여백"
"Auto play","자동재생"
"Loop","연속재생"
"Show menu","메뉴 보기"
"Quality","품질"
"Scale","스케일"
"Align","정렬"
"SAlign","정렬"
"Base","기본"
"Flashvars","WMode"
"Cache","캐시"
"Hidden","숨겨진"
"Controller","컨트롤러"
"Kiosk mode","키오스크 모드"
"Play every frame","모든 프레임 재생"
"Target cache","타겟 캐시"
"No correction","수정없음"
"Enable JavaScript","자바스크립트 사용"
"Start time","시작시간"
"End time","종료시간"
"Choke speed","초크 속도"
"Volume","소리크기"
"Auto start","자동시작"
"Enabled","사용가능"
"Fullscreen","전체 화면"
"Mute","조용히"
"Windowless video","윈도없는 비디오"
"Balance","균형"
"Base URL","기본 URL"
"Current marker","현재 마커"
"Current position","현재 위치"
"Default frame","기본 프레임"
"Play count","재생횟수"
"Rate","등급"
"UI Mode","UI모드"
"Flash options","플래시 옵션"
"QuickTime options","퀵타임 옵션"
"Windows media player options","윈도미디어플레이어 옵션"
"Real media player options","리얼미디어플레이어 옵션"
"Shockwave options","쇽웨이브 옵션"
"Image status","이미지 상태"
"No java","자바 없음"
"Shuffle","순서섞음"
"Console","콘솔"
"Controls","컨트롤"
"Script callbacks","스크립트 콜백"
"Stretch style","늘이기 스타일"
"Stretch H-Align","수평정렬 늘이기"
"Stretch V-Align","수직정렬 늘이기"
"Sound","소리"
"Progress","진행"
"QT Src","QT 소스"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","rtsp 스트림 리소스는 고급 탭의 QT 소스 필드에 추가해야 합니다."
"Top left","좌상단"
"Top right","우상단"
"Bottom left","좌하단"
"Bottom right","우하단"
"Flash video options","플래시 비디오 옵션"
"Scale mode","확대모드"
"Buffer","버퍼"
"Start image","이미지 시작"
"Default volume","기본 볼륨"
"Hidden GUI","숨겨진 GUI"
"Show scale modes","확대모드 보이기"
"Smooth video","스무스 비디오"
"JS Callback","JS 콜백"
"HTML5 Video Options","HTML5 비디오 옵션"
"Alternative source 1","대체 소스 1"
"Alternative source 2","대체 소스 2"
"Preload","미리 올림"
"Poster","포스터"
"Source","원본"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","키친 싱크 보이기/숨기기 (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","더보기 태그 넣기 (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","페이지 자름 태그 추가 (Alt + Shift + P)"
"More...","더 보기..."
"Next page...","다음 쪽..."
"Add Media","미디어 추가"
"Add an Image","이미지 추가"
"Add Video","비디오 추가"
"Add Audio","오디오 추가"
"Edit Gallery","갤러리 편집"
"Delete Gallery","갤러리 지우기"
"Distraction Free Writing mode (Alt + Shift + W)","글 작성 집중 모드 (Alt + Shift + W)"
"Edit Image","이미지 편집"
"Delete Image","이미지 지우기"
"Advanced Settings","고급 옵션"
"Size","크기"
"Thumbnail","작은 사진(썸네일)"
"Medium","보통"
"Full Size","전체 크기"
"Current Link","현재 링크"
"Link to Image","이미지에 연결"
"Enter a link URL or click above for presets.","링크 URL을 입력하거나 presets중에서 선택하십시오"
"Advanced Image Settings","고급 이미지 설정"
"Width","폭"
"Height","높이"
"Original Size","원본 크기"
"CSS Class","CSS 클래스"
"Advanced Link Settings","고급 링크 편집"
"Link Rel","링크 관계"
"Caption","캡션"
"Alternative Text","대체 텍스트"
"Rich Editor Help","Rich Editor 도움말"
"Basics of Rich Editing","Rich Editing의 기본"
"Basics","기본"
"Advanced use of the Rich Editor","Rich Editor의 고급 사용법"
"Hotkeys","핫키들"
"About the software","소프트웨어에 대하여"
"Rich Editing Basics","Rich Editing 기본"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Rich editing</em>, WYSIWYG(What You See Is What You Get)라고도 불리는 것은 자신이 글이 쓴대로 보여진다는 뜻입니다. Rich editor는 글을 쓰는 동안 HTML 코드를 만듭니다. 모든 글꼴 모양, 링크 그리고 그림은 인터넷에 나타나는 것과 거의 같게 보여집니다."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","워드프레스는 오늘날 모든 메이저 웹브라우저에서 잘 동작하는 rich HTML 편집기를 포함하고 있습니다. 그러나 HTML을 편집하는 것은 텍스트를 입력하는 것과 다릅니다. 모든 웹 페이지는 두가지 큰 요소가 있습니다. 하나는 입력한대로 편집기에 의해 만들어지는 HTML코드와 같은 구조이고 다른 하나는 현재 선택된 워드프레스 테마와 style.css에 정의된 대로 적용되는 표현입니다.  워드프레스는 웹페이지에 공백을 만들지 않기 위해 단락 뒤에 복수의 줄바꿈(BR 태그)를 추가하여 올바른 XHTML 1.0 문서를 만들고 있습니다. 잘못된 BR 태그는 내부적인 HTML 수정함수에 의해 제거될 것입니다."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","편집기를 사용하는 동안, 대부분의 기본 키보드 단축키는 다른 텍스트 편집기와 비슷하게 동작합니다. 예를 들어: Shift+Enter는 줄을 띄우고, Ctrl+C = 복사, Ctrl+X = 잘라내기, Ctrl+Z = 실행취소(Undo), Ctrl+Y = 다시하기(redo), Ctrl+B = 굵게, Ctrl+I = 이탤릭체로, Ctrl+U = 밑줄, 등등 (맥에서는 Ctrl대신 애플키를 사용합니다.) 사용가능한 모든 단축키를 보려면 핫키들 탭을 보십시오."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Rich editor가 작동하는 것을 원치 않으면, 사용자 메뉴 아래의 저자와 사용자 메뉴에서 끌 수 있습니다."
"Advanced Rich Editing","고급 Rich Editing"
"Images and Attachments","이미지와 첨부"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","편집기 툴바에는 인터넷에 이미 올라가 있는 그림을 넣기 위한 버튼이 있습니다. 그림의 URL을 알고 있다면 이 버튼을 누르시고 새 창에서 그 URL을 입력하십시오."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","컴퓨터에서 그림이나 미디어파일을 올리고자 한다면 편집기 위에 있는 미디어 라이브러리 버튼을 사용할 수 있습니다. 미디어 라이브러리는 모든 업로드된 이미지에서 섬네일 이미지를 만들려고 할 것입니다. 그림을 글에 삽입하려면 옵션 메뉴에 나타나는 섬네일을 클릭하면 됩니다. 원하는 옵션을 선택한 뒤 \"본문에 삽입하기\"를 누르면 이미지나 파일이 편집중인 글에 나타날 것입니다. "
"HTML in the Rich Editor","Rich Editor에서 HTML"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","편집기에 직접 적은 HTML은 글이 보여질때 일반 문자와 같이 보입니다. 보는 것이 결과물입니다WYSIWYG). 도구모음 버튼으로 입력할 수 없는 HTML요소를 넣고자 한다면 텍스트 편집기에서 직접 입력해야 합니다. 예를 들면 표나 &lt;code&gt;같은 요소입니다. 이를 넣기 위해서는 텍스트 탭을 클릭하고 코드를 편집하십시오. 그런 다음 비주얼 모드로 전환하세요. 입력한 코드가 올바르고 편집기가 잘 이해를 했다면 즉시 화면에 표시될 것입니다."
"Pasting in the Rich Editor","Rich Editor에서 붙여 넣기"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","다른 웹페이지에서 컨텐트를 가져와 붙여넣었을 때 결과가 불일치할 경우가 있으며 웹브라우저와 가져오는 웹페이지에 따라 다를 수도 있습니다. 편집기는 붙여진 유효하지 않은 HTML 코드를 수정하려고 하지만 최선의 결과물을 위해 텍스트 탭을 사용하거나 두번째 줄에 있는 붙여넣기 버튼중 하나를 사용해보세요. 다른 방법은 문단별로 붙여넣어 보세요. 대부분의 웹브라우저에서 한 문단을 한번에 선택하려면 문단을 빠르게 3번 클릭하면 됩니다."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","워드나 엑셀 같은 다른 애플리케이션에서 컨텐트를 붙여넣는 것은 두번째 줄의 워드에서 붙여넣기 버튼이나 텍스트 모드에서 하면 가장 좋습니다."
"Writing at Full Speed","최대한 빨리 쓰기"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","툴바를 클릭하기 위해 마우스를 움직이기 보다 단축키를 이용하십시오. 윈도와 리눅스는 Ctrl + 문자, 맥은 Command + 문자 입니다."
"Action","동작"
"Select all","전체선택"
"Undo","되돌리기"
"Redo","다시하기"
"Bold","볼드"
"Italic","이탤릭"
"The following shortcuts use different access keys: Alt + Shift + letter.","아래 바로가기는 다른 단축키 Alt + Shift + 문자 를 사용합니다."
"Check Spelling","철자 검사하기"
"Align Left","왼쪽 정렬"
"Justify Text","글 자리맞추기"
"Align Center","가운데 정렬"
"Strikethrough","스트라이크"
"Align Right","오른쪽 정렬"
"Insert link","링크 삽입"
"Remove link","링크 삭제"
"Quote","인용"
"Insert Image","이미지 추가"
"Distraction Free Writing mode","글쓰기 집중 모드"
"Insert More Tag","\"더 보기\" 태그 넣기"
"Insert Page Break tag","페이지 자름 태그 추가"
"Editor width in Distraction Free Writing mode:","글 작성 집중 모드의 편집기 폭:"
"Wider","더 넓게"
"Narrower","더 좁게"
"Default width","기본 폭"
"Version:","버전:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE 는 플랫폼에 구애받지 않는 웹 기반의 자바스크립트 HTML WYSIWYG 편집기이며 %sLGPL</a>\tby Moxiecode Systems AB에 따라 오픈 소스로 배포됩니다. 이 편집기는 HTML TEXTAREA 칸이나 다른 HTML 요소들을 편집기의 요소로 바꾸어 주는 능력이 있습니다."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","이 소프트웨어의 더 많은 정보를 원하시면 <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE 웹사이트</a>를 방문하세요."
"Comments Feed","댓글 피드"
"Edit This","고치기"
"Edit comment","댓글 편집"
"Edit Link","링크 편집"
"Use commas instead of %s to separate excluded categories.","제외된 카테고리를 분리하려면 %s 대신에 콤마를 사용하세요."
"Previous Post","이전 글"
"Next Post","다음 글"
"Newer Comments &raquo;","새로운 댓글 &raquo;"
"&laquo; Older Comments","&laquo; 이전 댓글"
"This is the short link.","이것은 단축 링크입니다."
"Your server is running PHP version %s but WordPress %s requires at least %s.","서버가 PHP 버전 %s를 사용중입니다만 워드프레스 %s은(는) 최소 %s 이상을 요구합니다."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","PHP에 MySQL 확장이 설치되어 있지 않은 것 같습니다. 워드프레스는 이 확장이 필요합니다."
"Maintenance","유지보수"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","예약되어 있는 유지보수를 위해 잠시 사용할 수 없습니다. 잠시 후에 다시 확인하세요."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>오류</strong>:  <code>wp-config.php</code>의 <code>$table_prefix</code>는 반드시 영문자, 숫자와 _로만 이뤄져야 합니다."
"The site you have requested is not installed properly. Please contact the system administrator.","요청하신 사이트가 올바르게 설치되지 않았습니다. 시스템 관리자에게 문의하시기 바랍니다."
"S_Sunday_initial","일"
"M_Monday_initial","월"
"T_Tuesday_initial","화"
"W_Wednesday_initial","수"
"T_Thursday_initial","목"
"F_Friday_initial","금"
"S_Saturday_initial","토"
"am","오전"
"pm","오후"
"AM","오전"
"PM","오후"
"number_format_thousands_sep",","
"number_format_decimal_point",", "
"ltr","LTR"
"Drop files to upload","업로드 하려면 파일을 놓으세요"
"Upload Limit Exceeded","업로드 제한 초과 "
"Drop files anywhere to upload","업로드 하려면 아무 곳에나 파일을 놓으세요"
"Select Files","파일을 선택하세요"
"Maximum upload file size: %d%s.","최대 업로드 파일 사이즈: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","브라우저가 다중 파일 업로더로 큰 사이즈의 파일을 업로드 하는데 제한이 있습니다. 100MB를 초과하는 파일에 대해서는 <a href=\"%s\" target=\"%s\">브라우저 업로더</a>를 사용하세요."
"Uploading","업로드"
"Dismiss Errors","에러 무시하기"
"Error","오류"
"Deselect","선택 해제"
"Caption this image&hellip;","이 이미지에 캡션&hellip;"
"Describe this video&hellip;","이 비디오에 대한 설명&hellip;"
"Describe this audio file&hellip;","이 오디오 파일에 대한 설명&hellip;"
"Describe this media file&hellip;","이 미디어 파일에 대한 설명&hellip;"
"Attachment Details","첨부 상세"
"Refresh","새로 고침"
"Delete Permanently","영구적으로 삭제하기"
"Alt Text","대체 텍스트"
"Description","설명"
"Edit","편집"
"Clear","지우기"
"Attachment Display Settings","첨부 표시 설정"
"Link To","연결"
"Custom URL","사용자 정의 URL"
"Attachment Page","첨부 페이지"
"Media File","미디어 파일"
"Large","최대 크기"
"Gallery Settings","갤러리 설정"
"Columns","열(컬럼)"
"Random Order","랜덤 순서"
"No editor could be selected.","편집기를 선택할 수 없습니다."
"Allowed Files","허용된 파일"
"Select","선택"
"%d selected","%d 선택됨"
"Drag and drop to reorder images.","이미지를 재정렬 하려면 끌어놓기 하세요."
"Upload Files","파일 업로드"
"Upload Images","이미지 업로드"
"Media Library","미디어 라이브러리"
"Insert Media","미디어 삽입"
"Create a new gallery","새 갤러리 생성하기"
"&#8592; Return to library","&#8592; 라이브러리로 돌아가기"
"All media items","모든 미디어 아이템"
"No items found.","항목을 찾을 수 없습니다."
"Insert into page","페이지에 삽입하기"
"Insert into post","글에 삽입하기"
"Uploaded to this page","이 페이지에 업로드 됐습니다."
"Uploaded to this post","이 글에 업로드 됐습니다"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","해당 항목을 영구적으로 삭제하려는 중입니다.\n중지하려면 '취소'를, 삭제하려면 'OK'를 클릭하세요"
"Insert from URL","URL에서 삽입하기"
"Set Featured Image","특성 이미지 설정"
"Set featured image","특성 이미지 설정"
"Create Gallery","갤러리 생성하기"
"&#8592; Cancel Gallery","&#8592; 갤러리 취소"
"Insert gallery","갤러리 삽입"
"Update gallery","갤러리 업데이트"
"Add to gallery","갤러리에 추가"
"Add to Gallery","갤러리에 추가하기"
"Reverse order","순서 바꾸기"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","상수 <code>VHOST</code>는 폐기 되었습니다. 서브 도메인 환경설정을 가능하도록 하기 위해 wp-config.php에서 boolean 상수인 <code>SUBDOMAIN_INSTALL</code>를 사용하세요. 서브 도메인 환경설정이 가능한지 확인하려면  is_subdomain_install()를 사용하세요."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>상수 VHOST와 SUBDOMAIN_INSTALL의 충돌 값.</strong> SUBDOMAIN_INSTALL값은 서브 도메인 환경설정 설정값으로 추정됩니다. "
"The requested user does not exist.","요청한 사용자는 존재하지 않습니다."
"That user does not exist.","그 사용자는 존재하지 않습니다."
