"New password","Kata sandi baru"
"Still waiting for your email?","Masih menunggu surel Anda?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Jika Anda masih belum menerima surel Anda, ada beberapa hal yang dapat Anda lakukan:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Tunggu sebentar lagi. Terkadang penyampaian surel dapat tertunda oleh proses di luar kontrol kami."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Periksa folder junk atau spam klien surel Anda. Terkadang surel masuk ke sana karena kesalahan. "
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Sudahkan Anda memasukkan surel Anda dengan benar? Anda telah memasukkan %s, jika itu tidak benar, Anda tidak akan menerima surel Anda."
"all","semua"
"none","tidak ada"
"user","pengguna"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Salam Administrator Situs! Anda saat ini mengizinkan &#8220;%s&#8221; pendaftaran. Untuk mengubah atau menonaktifkan pendaftaran kunjungi <a href=\"%s\">Halaman opsi</a>."
"Registration has been disabled.","Pendaftaran telah dinonaktifkan."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Anda harus terlebih dahulu <a href=\"%s\">masuk log</a>, barulah Anda dapat menciptakan situs baru."
"User registration has been disabled.","Pendaftaran pengguna telah dinonaktifkan."
"Site registration has been disabled.","Pendaftaran situs telah dinonaktifkan."
"Sorry, new registrations are not allowed at this time.","Maaf, pendaftaran baru tidak diperbolehkan saat ini."
"You are logged in already. No need to register again!","Anda sudah masuk log. Tidak perlu mendaftar lagi!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Situs yang Anda cari, <strong>%s</strong> tidak ada, tetapi Anda dapat menciptakannya sekarang!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Situs yang Anda cari, <strong>%s</strong>, tidak ada.</em></p>"
"Learn word","Pelajari kata"
"Insert Page Break","Sisipkan Pergantian Baris"
"Types","Jenis-jenis"
"Lower alpha","Alpha kecil"
"Lower greek","Yunani kecil"
"Lower roman","Romawi kecil"
"Upper alpha","Alfa besar"
"Upper roman","Romawi Besar"
"Circle","Lingkaran"
"Disc","Cakram"
"Square","Persegi"
"Rich Text Area","Area Teks Kaya"
"Words:","Kata:"
"Styles","Gaya"
"Font size","Ukuran fonta"
"Font family","Keluarga fonta"
"Paragraph","Paragraf"
"Address","Alamat"
"Preformatted","Praformat"
"Heading 1","Penajukan 1"
"Heading 2","Penajukan 2"
"Heading 3","Penajukan 3"
"Heading 4","Penajukan 4"
"Heading 5","Penajukan 5"
"Heading 6","Penajukan 6"
"Blockquote","Blok kutipan"
"Code","Kode"
"Code sample","Contoh kode"
"Definition term","Istilah definisi"
"Definition description","Keterangan definisi"
"Underline","Garis bawah"
"Strikethrough (Alt + Shift + D)","Dicoret (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Rata Kiri (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Rata Tengah (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Rata Kanan (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Rata Kanan-Kiri (Alt + Shift + J)"
"Undo (Ctrl + Z)","Balikkan Ulang (Ctrl + Z)"
"Redo (Ctrl + Y)","Lakukan Ulang (Ctrl + Y)"
"Cleanup messy code","Rapikan kode yang berantakan"
"Edit HTML Source","Sunting Sumber HTML"
"Subscript","Tika bawah"
"Superscript","Tika atas"
"Insert horizontal ruler","Sisipkan garis horisontal"
"Remove formatting","Hilangkan pemformatan"
"Select text color","Pilih warna teks"
"Select background color","Pilih warna latar"
"Insert custom character","Sisipkan karakter tersuai"
"Toggle guidelines/invisible elements","Tukar balik garis bantu/elemen tersebunyi"
"Insert/edit anchor","Sisipkan/sunting anchor"
"Cut","Potong"
"Copy","Salin"
"Paste","Tempel"
"Image properties","Properti gambar"
"New document","Dokumen baru"
"Help","Bantuan"
"Path","Lokasi"
"Are you sure you want to clear all contents?","Apakah Anda yakin ingin mengosongkan seluruh konten?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Pindah ke tombol peralatan - Alt+Q, Pindah ke penyunting - Alt-Z, Lompat ke jalur elemen - Alt-X"
"Accessibility Help","Bantuan Aksesibilitas"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Tekan ALT F10 untuk batang perkakas. Tekan ALT 0 untuk bantuan."
"Toolbar","Batang perkakas"
"About TinyMCE","Tentang TinyMCE"
"About","Perihal"
"License","Izin"
"Plugins","Plugin"
"Author","Penulis"
"Version","Versi"
"Loaded plugins","Plugin yang dimuat"
"Anchor name","Nama anchor"
"HTML Source Editor","Penyunting Sumber HTML"
"Word wrap","Bungkus kata"
"Select a color","Pilih sebuah warna"
"Picker","Pemungut"
"Color picker","Pemungut warna"
"Palette","Palet"
"Palette colors","Warna palet"
"Named","Dinamai"
"Named colors","Warna yang dinamai"
"Color:","Warna:"
"Name:","Nama:"
"Select custom character","Pilih karakter tersuai"
"Use left and right arrows to navigate.","Gunakan panah kiri dan kanan untuk navigasi."
"Image URL","URL Gambar"
"Image description","Keterangan gambar"
"Image list","Senarai gambar"
"Border","Tepi"
"Dimensions","Dimensi"
"Vertical space","Spasi vertikal"
"Horizontal space","Spasi horisontal"
"Baseline","Rata baris"
"Top","Puncak"
"Middle","Tengah"
"Bottom","Dasar"
"Text top","Puncak teks"
"Text bottom","Dasar teks"
"Link URL","URL Tautan"
"Open link in the same window","Buka taut di jendela yang sama"
"Open link in a new window","Buka taut di jendela yang baru"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","URL yang Anda masukkan sepertinya merupakan alamat surel. Apakah Anda ingin menambahkan awalan mailto:?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","URL yang Anda masukkan sepertinya merupakan taut eksternal. Apakah Anda ingin menambah awalan http://?"
"Link list","Senarai Taut"
"General Usage","Penggunaan Umum"
"General","Umum"
"Advanced","Lanjut"
"List","Senarai"
"Constrain proportions","Pertahankan proporsi"
"Type","Jenis"
"Name","Nama"
"V-Space","Spasi-V"
"H-Space","Spasi-H"
"Auto play","Pemutaran otomatis"
"Loop","Pengulangan"
"Show menu","Tampilkan menu"
"Quality","Kualitas"
"Scale","Skala"
"Align","Rata"
"Base","Dasar"
"Cache","Tembolok"
"Hidden","Tersembunyi"
"Controller","Pengendali"
"Kiosk mode","Moda kiosk"
"Play every frame","Mainkan tiap frame"
"Target cache","Tembolok target"
"No correction","Tanpa koreksi"
"Enable JavaScript","Aktifkan JavaScript"
"Start time","Waktu mulai"
"End time","Waktu selesai"
"Choke speed","Kecepatan"
"Volume","Volum"
"Auto start","Mulai otomatis"
"Enabled","Diaktifkan"
"Fullscreen","Selayar penuh"
"Invoke URLs","meminta URL"
"Mute","Bisu"
"Stretch to fit","Bentangkan hingga pas"
"Windowless video","Video tak berjendela"
"Balance","Keseimbangan"
"Base URL","URL Dasar"
"Captioning id","ID sub-judul"
"Current marker","Penanda saat ini"
"Current position","Posisi saat ini"
"Default frame","Bingkai standar"
"Play count","Penghitungan main"
"Rate","Rating"
"UI Mode","Moda UI"
"Flash options","Opsi Flash"
"QuickTime options","Pengaturan QuickTime"
"Windows media player options","Opsi windows media player"
"Real media player options","Opsi real media player"
"Shockwave options","Opsi Shockwave"
"Auto goto URL","Otomatis pergi ke URL"
"Image status","Status gambar"
"Maintain aspect","Pertahankan aspek"
"No java","Tanpa java"
"Shuffle","Acak"
"Console","Konsol"
"Controls","Kendali"
"Script callbacks","Callback skrip"
"Stretch style","Gaya pembentangan"
"Stretch H-Align","Rentang H-Align"
"Stretch V-Align","Rentang V-Align"
"Sound","Suara"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Sumber daya rtsp yang di-streaming harus ditambahkan ke dalam ruas QT Src di bawah tab tingkat lanjut."
"Top left","Puncak kiri"
"Top right","Puncak kanan"
"Bottom left","Dasar kiri"
"Bottom right","Dasar kanan"
"Flash video options","Opsi video Flash"
"Scale mode","Moda Skala"
"Buffer","Penyangga"
"Start image","Mulai gambar"
"Default volume","Volume standar"
"Hidden GUI","GUI Tersembunyi"
"Show scale modes","Tampilkan moda skala"
"Smooth video","Perhalus video"
"JS Callback","Callback JS"
"HTML5 Video Options","Pilihan Video HTML5"
"Alternative source 1","Sumber alternatif 1"
"Alternative source 2","Sumber alternatif 2"
"Preload","Pramuat"
"Source","Sumber"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Tampilkan/Sembunyikan Meja Cuci Dapur (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Masukkan Tag Lain (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Masukkan Pemisah Laman (Alt + Shift + P)"
"More...","Selebihnya..."
"Next page...","Halaman berikutnya..."
"Add Media","Tambahkan Media"
"Add an Image","Tambahkan Sebuah Gambar"
"Add Video","Tambahkan Video"
"Add Audio","Tambahkan Audio"
"Edit Gallery","Sunting Galeri"
"Delete Gallery","Hapus Galeri"
"Distraction Free Writing mode (Alt + Shift + W)","Mode Penulisan Tanpa Gangguan (Alt + Shift + W)"
"Edit Image","Sunting Gambar"
"Delete Image","Hapus Gambar"
"Advanced Settings","Pengaturan Tingkat Lanjut"
"Size","Ukuran"
"Thumbnail","Miniatur"
"Medium","Sedang"
"Full Size","Ukuran Penuh"
"Current Link","Taut Kini"
"Link to Image","Tautkan ke Gambar"
"Enter a link URL or click above for presets.","Masukkan sebuah URL tautan atau klik tombol di atas untuk memakai yang sudah disiapkan."
"Advanced Image Settings","Pengaturan Gambar Tingkat Lanjut"
"Width","Lebar"
"Height","Tinggi"
"Original Size","Ukuran Asli"
"CSS Class","Kelas CSS"
"Advanced Link Settings","Pengaturan Taut Tingkat Lanjut"
"Link Rel","Rel Taut"
"Caption","Keterangan"
"Alternative Text","Teks Alternatif"
"Rich Editor Help","Bantuan Rich Editor"
"Basics of Rich Editing","Dasar-Dasar Rich Editing"
"Basics","Dasar-Dasar"
"Advanced use of the Rich Editor","Penggunaan tingkat lanjut Rich Editor"
"Hotkeys","Tombol Cepat"
"About the software","Tentang piranti lunak ini"
"Rich Editing Basics","Dasar-Dasar Rich Editing"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Rich editing</em>, atau yang juga disebut WYSIWYG, singkatan dari What You See Is What You Get, berarti teks Anda diformat seketika Anda mengetik. Rich editor menciptakan kode HTML di belakang layar sedangkan Anda berkonsentrasi pada menulis. Style font, taut dan gambar tampil kira-kira seperti yang akan tampil di internet."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress menyertakan penyunting visual HTML yang bekerja baik pada kebanyakan peramban yang dipakai sekarang. Namun menyunting HTML tidak sama seperti mengetik teks. Setiap halaman situs memiliki dua komponen utama: strukturnya, yang merupakan kode HTML dan dihasilkan penyunting sebagaimana Anda ketik; dan tampilannya, yang diterapkan oleh tema WordPress terpilih dan didefinisikan dalam style.css. WordPress menghasilkan XHTML 1.0 yang sah, artinya menambahkan banyak pemisah baris (tag BR) setelah sebuah paragraf tidak akan menghasilkan baris kosong dalam halaman situs tersebut. Tag BR tadi akan dihilangkan dengan alasan tidak valid sebagaimana dikoreksi oleh fungsi koreksi HTML internal."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Ketika menggunakan penyunting, mayoritas tombol jalan pintas bekerja seperti di penyunting-penyunting teks lain. Sebagai contoh: Shift+Enter menyisipkan pergantian baris, Ctrl+C = salin, Ctrl+X = potong, Ctrl+Z = membatalkan, Ctrl+A = pilih semua, dan lain-lain. (Pada Mac gunakan tombol Command sebagai pengganti Ctrl). Lihat tab Hotkey untuk informasi mengenai tombol-tombol pintas yang tersedia."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Jika Anda tidak menyukai cara kerja penyunting visual ini, Anda dapat mematikannya dari submenu Profil Anda, di bawah Pengguna di menu admin."
"Advanced Rich Editing","Advanced Rich Tingkat Lanjut"
"Images and Attachments","Gambar dan Lampiran"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Ada tombol di toolbar penyunting untuk memasukkan gambar yang sudah dihostingkan di tempat lain di internet. Jika Anda memiliki URL untuk sebuah gambar, klik tombol ini dan masukkan URL tersebut di dalam kotak yang muncul."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Jika Anda ingin mengunggah gambar atau berkas media lain dari komputer Anda, Anda dapat menggunakan tombol Pustaka Media di atas penyunting. Pustaka Media akan secara otomatis membuat ukuran gambar miniatur dari setiap gambar yang diunggah. Untuk menyisipkan gambar ke dalam tulisan, pertama klik pada gambar miniatur untuk melihat pilihan menu. Ketika Anda sudah memilih pilihan yang anda inginkan, klik \"Sisipkan ke dalam Tulisan\" dan gambar Anda atau berkas akan tampil di dalam tulisan yang sedang disunting."
"HTML in the Rich Editor","HTML dalam Rich Editor"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Semua kode HTML yang diketik secara langsung di dalam penyunting kaya akan muncul sebagai teks ketika post dilihat. Apa yang anda lihat adalah apa yang anda dapatkan. Ketika anda ingin memasukkan elemen HTML yang tidak bisa dibuat oleh tombol toolbar, anda harus mengetiknya secara langsung di penyunting teks. Contohnya adalah tabel dan &lt;kode&gt;. Untuk melakukan hal ini, klik pada bagian teks dan sunting kodenya, lalu pilih kembali ke mode visual. Jika kode tersebut valid dan dapat dimengerti oleh penyunting, kamu seharusnya akan melihat objek yang kamu inginkan."
"Pasting in the Rich Editor","Melakukan penempelan di Penyunting Visual"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Ketika melekatkan konten yang disalin dari halaman web lain hasil akan tergantung dari peramban Anda dan halaman web yang Anda salin. Penyunting mencoba membetulkan semua kode HTML tidak sah yang dilekatkan, tapi untuk hasil terbaik cobalah gunakan bagian teks atau salah satu tombol lekat yang ada di baris kedua. Sebagai alternatif, coba lekatkan paragraf demi paragraf. Di kebanyakan peramban untuk menyeleksi satu paragraf secara langsung dapat dilakukan dengan cara melakukan klik tiga kali di paragraf itu."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Melekatkan konten dari aplikasi lain, seperti Word atau Excel, cara terbaiknya adalah dengan tombol Tempel dari Word di baris kedua, atau dengan mode teks."
"Writing at Full Speed","Menulis pada Kecepatan Penuh"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Daripada menggapai tetikus Anda untuk mengklik batang perkakas, gunakan tombol akses berikut. Windows dan Linux menggunakan Ctrl + huruf. Macintosh menggunakan Command + huruf."
"Letter","Huruf"
"Action","Tindakan"
"Select all","Pilih semua"
"Bold","Tebal"
"Italic","Miring"
"The following shortcuts use different access keys: Alt + Shift + letter.","Jalan pintas berikut menggunakan tombol-tombol akses yang berbeda: Alt + Shift + huruf."
"Check Spelling","Cek Ejaan"
"Align Left","Rata Kiri"
"Justify Text","Justify Teks"
"Align Center","Rata Tengah"
"Align Right","Rata Kanan"
"Insert link","Sisipkan taut"
"Remove link","Hilangkan Taut"
"Quote","Kutipan"
"Insert Image","Masukkan Gambar"
"Distraction Free Writing mode","Mode Penulisan Tanpa Gangguan"
"Insert More Tag","Sisipkan Tag \"More\""
"Insert Page Break tag","Sisipkan tag Pemotong Baris"
"Editor width in Distraction Free Writing mode:","Lebar penyunting dalam mode Penulisan Tanpa Gangguan:"
"Wider","Lebih lebar"
"Narrower","Lebih sempit"
"Default width","Lebar bawaan"
"Version:","Versi:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE adalah sebuah platform independen berbasis web Javascript HTML penyunting WYSIWYG yang dirilis sebagai Open Source di bawah %sLGPL </ a> <span class=\"invisibles\" title=\"Karakter tab\">→</span> oleh Moxiecode Systems AB. Ia memiliki kemampuan untuk mengkonversi bidang TEXTAREA HTML atau elemen HTML ke dalam penyunting."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Hak cipta &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\"> Moxiecode Systems AB </a>, Semua hak dilindungi."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Untuk info lebih lanjut mengenai perangkat lunak ini kunjungilah <a href=\"http://tinymce.com\" target=\"_blank\">situs web TinyMCE</a>."
"Got Moxie?","Dapat Moxie?"
"Comments Feed","Umpan Komentar"
"Edit This","Sunting Ini"
"Edit comment","Sunting komentar"
"Edit Link","Sunting Tautan"
"Use commas instead of %s to separate excluded categories.","Gunakan tanda koma daripada %s untuk memisahkan kategori yang dikeluarkan."
"Previous Post","Tulisan Sebelumnya"
"Next Post","Tulisan Berikutnya"
"Newer Comments &raquo;","Komentar Lebih Baru &raquo;"
"&laquo; Older Comments","&laquo; Komentar Lebih Lama"
"This is the short link.","Ini adalah taut pendek."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Server Anda menjalankan PHP versi %s namun WordPress %s membutuhkan minimal %s. "
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Instalasi PHP Anda sepertinya kehilangan ekstensi MySQL yang dibutuhkan oleh WordPress."
"Maintenance","Perawatan"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Tidak tersedia untuk beberapa saat karena ada pemeliharaan yang telah dijadwalkan. Harap periksa kembali sebentar lagi."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>GALAT</strong>: <code>$table_prefix</code> di dalam <code>wp-config.php</code> hanya boleh mengandung angka, huruf dan garis bawah."
"The site you have requested is not installed properly. Please contact the system administrator.","Situs yang Anda minta tidak terpasang dengan baik. Silakan hubungi administrator sistem."
"S_Sunday_initial","M_Sunday_initial"
"M_Monday_initial","S_Monday_initial"
"T_Tuesday_initial","S_Tuesday_initial"
"W_Wednesday_initial","R_Wednesday_initial"
"T_Thursday_initial","K_Thursday_initial"
"F_Friday_initial","J_Friday_initial"
"number_format_thousands_sep","."
"number_format_decimal_point",","
"Drop files to upload","Taruh file yang akan diunggah"
"Upload Limit Exceeded","Melebihi Batas Unggah"
"Drop files anywhere to upload","Letakkan berkas di mana saja untuk diunggah"
"Select Files","Pilih Berkas"
"Maximum upload file size: %d%s.","Ukuran maksimum file yang dapat diunggah: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Peramban Anda memiliki beberapa keterbatasan mengunggah berkas besar dengan pengunggah multi-berkas. Silahkan gunakan <a href=\"%s\" target=\"%s\">pengunggah peramban</a> untuk berkas yang berukuran lebih dari 100MB."
"Uploading","Mengunggah"
"Dismiss Errors","Abaikan Galat"
"Error","Galat"
"Deselect","Tidak Dipilih"
"Caption this image&hellip;","Tulis keterangan gambar ini &hellip;"
"Describe this video&hellip;","Deskripsikan video ini &hellip;"
"Describe this audio file&hellip;","Deskripsikan berkas audio ini &hellip;"
"Describe this media file&hellip;","Deskripsikan berkas media ini &hellip;"
"Attachment Details","Detil Lampiran"
"Refresh","Segarkan"
"Delete Permanently","Hapus secara permanen"
"Alt Text","Teks Alt"
"Description","Deskripsi"
"Edit","Sunting"
"Clear","Kosongkan"
"Attachment Display Settings","Pengaturan Tampilan Lampiran"
"Link To","Tautkan Ke"
"Custom URL","URL Tersuai"
"Attachment Page","Halaman Lampiran"
"Media File","Berkas Media"
"Large","Besar"
"Gallery Settings","Pengaturan Galeri"
"Columns","Kolom"
"Random Order","Urutan Acak"
"No editor could be selected.","Tidak ada penyunting yang bisa dipilih."
"Allowed Files","Berkas yang Diijinkan"
"Select","Pilih"
"%d selected","%d terpilih"
"Drag and drop to reorder images.","Tarik dan letakkan untuk mengurutkan gambar."
"Upload Files","Unggah Berkas"
"Upload Images","Unggah Gambar"
"Media Library","Pustaka Media"
"Insert Media","Sisipkan Media"
"Create a new gallery","Buat galeri baru"
"&#8592; Return to library","&#8592; Kembali ke pustaka"
"All media items","Semua berkas media"
"No items found.","Tidak ada berkas yang ditemukan."
"Insert into page","Sisipkan ke halaman"
"Insert into post","Sisipkan ke tulisan"
"Uploaded to this page","Unggah ke halaman ini"
"Uploaded to this post","Unggah ke tulisan ini"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Anda akan menghapus berkas ini secara permanen. \n'Batal' untuk membatalkan, 'OK' untuk menghapus."
"Insert from URL","Sisipkan dari URL"
"Set Featured Image","Buat Gambar Utama"
"Set featured image","Buat gambar utama"
"Create Gallery","Buat Galeri"
"&#8592; Cancel Gallery","&#8592; Batalkan Galeri"
"Insert gallery","Sisipkan galeri"
"Update gallery","Perbaharui galeri"
