"New password","Yeni parola"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Eğer gerçekten harika bir alan adı kullanmayacaksanız, bırakın yeni bir kullanıcı kullansın."
"Create Site","Site oluştur"
"The site %s is yours.","%s sitesi sizin."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> yeni siteniz. Var olan parolanız ile &#8220;%s&#8221; olarak <a href=\"%s\">giriş</a> yapabilirsiniz."
"Get your own %s account in seconds","Saniyeler içinde kendi %s hesabınızı açın"
"Gimme a site!","Bana bir site ver!"
"Just a username, please.","Sadece kullanıcı adı, lütfen."
"Next","Sonraki"
"%s is your new username","yeni kullanıcı adınız: %s"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Fakat, yeni kullanıcı adınızı kullanmaya başlamadan önce, <strong>etkinleştirmeniz gerekiyor</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","<strong>%s</strong> posta kutunuzu kontrol edin ve gönderilen bağlantıya tıklayın."
"If you do not activate your username within two days, you will have to sign up again.","Kullanıcı adınızı iki gün içinde etkinleştirmezseniz, yeniden kayıt olmanız gerekecek."
"Signup","Üye ol"
"Congratulations! Your new site, %s, is almost ready.","Tebrikler! Yeni siteniz %s, neredeyse hazır."
"But, before you can start using your site, <strong>you must activate it</strong>.","Ama yeni sitenizi kullanmadan önce <strong>etkinleştirmeniz gerekmektedir</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Eğer iki gün içinde sitenizi etkinleştirmezseniz, tekrar hesap oluşturmak zorunda kalacaksınız."
"Still waiting for your email?","Hâlâ e-posta mı bekliyorsunuz?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Eğer hala e-postanızı almadıysanız, yapabileceğiniz bir kaç şey var:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Bir süre daha bekleyin. Bazen kontrolümüz dışında gelişen olaylar neticesinde e-postaların teslim edilmesi gecikebiliyor."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","E-posta istemcinizin istenmeyen ya da gereksiz posta klasörlerini kontrol edin. Bazen e-postalar yanlışlıkla bu klasörlere atılabiliyor."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","E-posta adresinizi doğru girdiniz mi? %s olarak girmişsiniz, eğer doğru değilse e-postanızı alamazsınız."
"all","hepsi"
"none","hiçbiri"
"user","kullanıcı"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Merhaba site yöneticisi! &#8220;%s&#8221; kayıtlarına izin veriyorsunuz. Değiştirmek ya da kayıtları kapatmak için <a href=\"%s\">Seçenekler sayfanıza</a> gidin."
"Registration has been disabled.","Kayıt olma engellenmiş."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Bir site oluşturabilmek için önce <a href=\"%s\">giriş yapmalısınız</a>."
"User registration has been disabled.","Kullanıcı kaydı engellenmiş."
"Site registration has been disabled.","Site kayıtları kapatılmış."
"Sorry, new registrations are not allowed at this time.","Üzgünüm, şu an için yeni kayıtlara izin verilmemektedir."
"You are logged in already. No need to register again!","Zaten giriş yapmış durumdasınız. Yeniden kayıt olmanıza gerek yok!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Görüntülemek istediğiniz <strong>%s</strong> sitesi mevcut değil ama isterseniz siz hemen şimdi oluşturabilirsiniz!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Görüntülemek istediğiniz <strong>%s</strong> sitesi mevcut değil.</em></p>"
"Learn word","Kelime öğren"
"Insert Page Break","Sayfa sonu ekle"
"Types","Tipler"
"Lower alpha","Küçük alfa"
"Lower greek","Küçük yunan"
"Lower roman","Küçük roman"
"Upper alpha","Büyük alfa"
"Upper roman","Büyük roman"
"Circle","Çember"
"Disc","Disk"
"Square","Kare"
"Rich Text Area","Zengin metin alanı"
"Words:","kelimeler:"
"Styles","Stiller"
"Font size","Yazı tipi boyutu"
"Font family","Yazı tipi ailesi"
"Format","Biçim"
"Paragraph","Paragraf"
"Address","Adres"
"Preformatted","Önceden biçimli"
"Heading 1","Başlık 1"
"Heading 2","Başlık 2"
"Heading 3","Başlık 3"
"Heading 4","Başlık 4"
"Heading 5","Başlık 5"
"Heading 6","Başlık 6"
"Blockquote","Alıntı"
"Code","Kod"
"Code sample","Kod örneği"
"Definition term","Tanım terimi"
"Definition description","Tanım açıklaması"
"Underline","Altı çizgili"
"Strikethrough (Alt + Shift + D)","Üzerini çiz (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Sola hizala (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Ortala (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Sağa yasla (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","İki yana yasla (Alt + Shift + J)"
"Outdent","Girintiyi azalt"
"Indent","Girintiyi artır"
"Undo (Ctrl + Z)","Geri al (Ctrl + Z)"
"Redo (Ctrl + Y)","Tekrarla (Ctrl + Y)"
"Cleanup messy code","Dağınık kodu düzenle"
"Edit HTML Source","HTML kaynak kodunu düzenle"
"Subscript","Alt simge"
"Superscript","Üst simge"
"Insert horizontal ruler","Yatay cetvel ekle"
"Remove formatting","Biçimlendirmeyi kaldır"
"Select text color","Metin rengini seç"
"Select background color","Arkaplan rengini seç"
"Insert custom character","Özel karakter ekle"
"Toggle guidelines/invisible elements","Görünmez elemanları ve rehber çizgileri aç/kapa"
"Insert/edit anchor","Bağlantı ekle/düzenle"
"Cut","Kes"
"Copy","Kopyala"
"Paste","Yapıştır"
"Image properties","Resim özellikleri"
"New document","Yeni belge"
"Help","Yardım"
"Path","Yol"
"Are you sure you want to clear all contents?","Tüm içeriği temizlemek istediğinize emin misiniz?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Araç düğmelerine geçiş yap - Alt+Q, Editöre geçiş yap - Alt-Z, Eleman yoluna geçiş yap Alt+X"
"Accessibility Help","Erişilebilirlik yardımı"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Araç çubuğu için ALT F10 kullanın. Yardım için ALT 0."
"Toolbar","Araç çubuğu"
"About TinyMCE","TinyMCE Hakkında"
"About","Hakkında"
"License","Lisans"
"Plugins","Eklentiler"
"Plugin","Eklenti"
"Author","Yazar"
"Version","Sürüm"
"Loaded plugins","Yüklenmiş eklentiler"
"Anchor name","Bağlantı ismi"
"HTML Source Editor","HTML Kaynak Kodu Editörü"
"Word wrap","Uzun satırları kes"
"Select a color","Bir renk seçin"
"Picker","Seçici"
"Color picker","Renk seçici"
"Palette","Palet"
"Palette colors","Renk paleti"
"Named","İsimli"
"Named colors","İsimli renkler"
"Color:","Renk:"
"Name:","İsim"
"Select custom character","Özel karakter seçin"
"Use left and right arrows to navigate.","Dolaşım için sağ ve sol ok tuşlarını kullanın."
"Image URL","Resim Adresi"
"Image description","Resim açıklaması"
"Image list","Resim listesi"
"Border","Kenar"
"Dimensions","Boyutlar"
"Vertical space","Dikey boşluk"
"Horizontal space","Yatay boşluk"
"Baseline","Taban"
"Top","Üst"
"Middle","Orta"
"Bottom","Alt"
"Text top","Metin üstte"
"Text bottom","Metin altta"
"Link URL","Bağlantı Adresi"
"Target","Hedef"
"Open link in the same window","Bağlantıları aynı pencerede aç"
"Open link in a new window","Bağlantıları yeni pencerede aç"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","Görünen o ki girdiğiniz adres bir e-posta adresi, adresin başına mailto: eklenmesini ister misiniz?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","Görünen o ki girdiğiniz adres harici bir adres, adresin başına http:// eklenmesini ister misiniz?"
"Link list","Bağlantı listesi"
"General Usage","Genel kullanım"
"General","Genel"
"Advanced","Gelişmiş"
"File/URL","Dosya/Adres"
"List","Liste"
"Constrain proportions","Oranları sınırla"
"Type","Tür"
"Id","No"
"Name","İsim"
"V-Space","Dikey boşluk"
"H-Space","Yatay boşluk"
"Auto play","Otomatik yürüt"
"Loop","Döngü"
"Show menu","Menüyü göster"
"Quality","Kalite"
"Scale","Ölçeklendir"
"Align","Hizala"
"SAlign","SHizala"
"WMode","WModu"
"Base","Temel"
"Cache","Bellek"
"Hidden","Gizli"
"Controller","Denetleyici"
"Kiosk mode","Kiosk modu"
"Play every frame","Her çerçeveyi oynat"
"Target cache","Hedef bellek"
"No correction","Düzeltme yok"
"Enable JavaScript","JavaScript'i etkinleştir"
"Start time","Başlangıç zamanı"
"End time","Bitiş zamanı"
"href","Href"
"Choke speed","Boğum hızı"
"Volume","Ses"
"Auto start","Otomatik başlat"
"Enabled","Etkin"
"Fullscreen","Tam ekran"
"Invoke URLs","Başvuru adresleri"
"Mute","Sessiz"
"Stretch to fit","Uydurmak için genişlet"
"Windowless video","Penceresiz video"
"Balance","Denge"
"Base URL","Temel adres"
"Captioning id","Altyazı numarası"
"Current marker","Mevcut işaretleyici"
"Current position","Mevcut konum"
"Default frame","Varsayılan çerçeve"
"Play count","Yürütme sayısı"
"Rate","Oran"
"UI Mode","UI Modu"
"Flash options","Flash seçenekleri"
"QuickTime options","QuickTime seçenekleri"
"Windows media player options","Windows media player seçenekleri"
"Real media player options","Real media player seçenekleri"
"Shockwave options","Shockwave seçenekleri"
"Auto goto URL","Adrese otomatik git"
"Image status","Resim durumu"
"Maintain aspect","Oranı koru"
"No java","Java yok"
"Prefetch","Önbellekle"
"Shuffle","Karıştır"
"Console","Konsol"
"Num loops","Döngü sayısı"
"Controls","Denetimler"
"Script callbacks","Betik çağrıları"
"Stretch style","Yayma stili"
"Stretch H-Align","Yatayda yay"
"Stretch V-Align","Dikeyde yay"
"Sound","Ses"
"Progress","İlerleme"
"QT Src","QT kaynağı"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Gerçek zamanlı akan protokol kaynakları QT kaynak alanının altındaki gelişmiş sekmesinden eklenmelidir."
"Top left","Üst sol"
"Top right","Üst sağ"
"Bottom left","Alt sol"
"Bottom right","Alt sağ"
"Flash video options","Flash video seçenekleri"
"Scale mode","Ölçek modu"
"Buffer","Tampon"
"Start image","Başlangıç resmi"
"Default volume","Varsayılan ses düzeyi"
"Hidden GUI","Gizli GUI arayüz"
"Show scale modes","Ölçek modlarını göster"
"Smooth video","Düzgün video"
"JS Callback","JS çağrısı"
"HTML5 Video Options","HTML5 Video seçenekleri"
"Alternative source 1","Alternatif kaynak 1"
"Alternative source 2","Alternatif kaynak 2"
"Preload","Ön yükleme"
"Source","Kaynak"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Mutfak tezgahını göster/gizle (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Daha fazla etiketi ekle (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Sayfa sonu ekle (Alt + Shift + P)"
"More...","Daha fazla..."
"Next page...","Sonraki sayfa..."
"Add Media","Ortam Ekle"
"Add an Image","Bir Resim Ekle"
"Add Video","Video Ekle"
"Add Audio","Ses Ekle"
"Edit Gallery","Galeriyi Düzenle"
"Delete Gallery","Galeriyi Sil"
"Distraction Free Writing mode (Alt + Shift + W)","Dikkat dağıtmadan yazma modu (Alt + Shift + W)"
"Edit Image","Resmi Düzenle"
"Delete Image","Resmi Sil"
"Advanced Settings","Gelişmiş Ayarlar"
"Size","Boyut"
"Thumbnail","Küçük resim"
"Medium","Orta"
"Full Size","Tam Boy"
"Current Link","Mevcut Bağlantı"
"Link to Image","Resme Bağlantı"
"Enter a link URL or click above for presets.","Bir bağlantı adresi girin ya da var olanlar arasından seçin."
"Advanced Image Settings","Gelişmiş Resim Ayarları"
"Width","Genişlik"
"Height","Yükseklik"
"Original Size","Orijinal Boyut"
"CSS Class","CSS Sınıfı"
"Advanced Link Settings","Gelişmiş Bağlantı Ayarları"
"Link Rel","Bağlantı için Rel"
"60%s","%s60"
"70%s","%s70"
"80%s","%s80"
"90%s","%s90"
"100%s","%s100"
"110%s","%s110"
"120%s","%s120"
"130%s","%s130"
"Caption","Altyazı"
"Alternative Text","Alternatif metin"
"Rich Editor Help","Zengin Metin Editörü Yardım"
"Basics of Rich Editing","Zengin Metin Düzenlemenin Temelleri"
"Basics","Temel Bilgiler"
"Advanced use of the Rich Editor","Metin Editörünün Gelişmiş Kullanımı"
"Hotkeys","Kısayollar"
"About the software","Yazılım hakkında"
"Rich Editing Basics","Zengin Düzenlemenin Temelleri"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Zengin metin düzenleme</em>, aynı zamanda WYSIWYG (Ne görürsen onu alırsın) de denir, metnin siz yazarken biçimlendirileceği anlamına gelir. Siz yazınıza odaklanmışken zengin metin editörü arkaplanda HTML kodlarını oluşturur. Yazı tipi stilleri, bağlantılar ve resimler internet üzerinde görünecekleri şekilde görünürler."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress günümüzde kullanılan en yaygın tarayıcılarda çalışan bir zengin metin editörü içermektedir. Ne var ki HTML düzenlemek yazı yazmak gibi değildir. Her web sayfası iki temel parçadan oluşur: Yapı, ki bu siz yazdıkça editör tarafından oluşturulan gerçek HTML kodudur ve Görüntü, bu da WordPress temanız ve stil dosyanıza göre yazdıklarınızın nasıl görüneceğidir. WordPress geçerli XHTML 1.0 kodu üretir, ki bu da demek oluyor ki bir paragraftan sonra, peş peşe eklenen satır sonları (BR etiketleri) sayfada beyaz bir boşluk oluşturmaz. BR etiketleri dahili HTML düzeltme fonksiyonları tarafından geçersiz kabul edileceklerinden çıkartılır."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Birçok metin editöründe geçerli olan basit klavye kısayolları zengin metin editöründe de geçerlidir. Örneğin Shift+Enter satır atlatır, Ctrl+C = kopyala, Ctrl+X = kes, Ctrl+Z = geri al, Ctrl+Y = ileri al, Ctrl+A = hepsini seç vb. (Mac üzerinde Ctrl yerine Command tuşunu kullanın). Hali hazırda kullanabileceğiniz tüm kısayol tuşları için Kısayollar sekmesine bakabilirsiniz."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Eğer zengin metin editörünü beğenmezseniz yönetim menüsündeki kullanıcılar bölümünden, profilinizi düzenlediğiniz sayfadan kapatabilirsiniz."
"Advanced Rich Editing","Gelişmiş Metin Düzenleme"
"Images and Attachments","Resimler ve Dosya Ekleri"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Editör araç kutusunda internette herhangi bir yerde barındırılan resimleri eklemek için bir düğme bulunmaktadır. Bir resmin URL'sini biliyorsanız, bu düğmeye tıklayın ve açılan kutuya resmin URL'sini girin."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Eğer bilgisayarınızdan bir görsel ya da herhangi başka bir ortam dosyası yüklemek isterseniz düzenleyicinin hemen üstünde yer alan Ortam kütüphanesi tuşunu kullanabilirsiniz. Ortam kütüphanesi yüklediğiniz görsellerin küçük boylarını da oluşturmaya çalışacaktır. Bir görseli yazıya eklemek isterseniz önce küçük resmine tıklarak seçenekleri ortaya çıkartın, daha sonra \"Yazıya ekle\" tuşunu kullanarak yazıya ekleyin."
"HTML in the Rich Editor","Zengin Metin Editöründe HTML"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Zengin metin düzenleyiciye girilen herhangi bir HTML kodu yazı görüntülendiğinde metin olarak görüntülenecektir. Ne görüyorsanız onu alırsınız. Araç çubuğundaki düğmeler ile oluşturamayacağınız HTML elemanlarını eklemek isterseniz Metin düzenleyiciye geçip kendiniz yapmalısınız. Örneğin tablolar ve &lt;code&gt;. Bunu yapmak için Metin sekmesine tıklayın ve düzenleyin, sonra tekrar görsel moda geçin. Eğer geçerli bir kod yazdıysanız ve düzenleyici anladıysa sonuçlarını hemen görürsünüz."
"Pasting in the Rich Editor","Zengin Metin Editörüne Yapıştırma"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Bir başka web sitesinden yazı kopyalayıp yapıştırdığınızda, ilgili web sitesine ve tarayıcınıza bağlı olarak tutarsız sonuçlar ortaya çıkabilir. Düzenleyici yapıştırdığınız metnin içindeki geçersiz HTML durumlarını düzeltmeye çalışacaktır fakat en iyi sonuç için Metin biçiminde yazı girişi yapın ya da ikinci sırada yer alan yapıştırma seçeneklerini kullanın. Alternatif olarak paragraf paragraf yazıyı aktarabilirsiniz. Çoğu tarayıcıda paragraf metnine hızlıca üç kere tıklarsanız tüm metni seçer."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Word ya da Excel gibi başka bir uygulamadan içerik yapıştırırken en güzeli, araç çubuğunun ikinci satırında yer alan Word tuşunu kullanmak ya da Metin modunu kullanmaktır."
"Writing at Full Speed","Son Hızda Yazıyor"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Farenizle araç çubuğuna tıklamak yerine, bu kısayolları kullanabilirsiniz. Windows ve Linux'ta Ctrl + harf şeklinde, Macintosh'ta ise Command + harf şeklinde kullanılır."
"Letter","Harf"
"Action","İşlem"
"Select all","Tümünü seç"
"Undo","Geri al"
"Redo","İleri al"
"Bold","Kalın"
"Italic","Eğik"
"The following shortcuts use different access keys: Alt + Shift + letter.","Bu kısayollar değişik erişim tuşları kullanıyor: Alt + Shift + harf."
"Check Spelling","İmlayı Denetle"
"Align Left","Sola Hizala"
"Justify Text","Metni Ayarla"
"Align Center","Ortala"
"Strikethrough","Üzeri çizili"
"Align Right","Sağa Hizala"
"Insert link","Bağlantı ekle"
"Remove link","Bağlantıyı kaldır"
"Quote","Alıntı"
"Insert Image","Resim Ekle"
"Distraction Free Writing mode","Dikkat dağıtmadan yazma modu"
"Insert More Tag","Daha Fazla etiketi Ekle"
"Insert Page Break tag","Sayfa Sonu etiketi Ekle"
"Editor width in Distraction Free Writing mode:","Dikkat dağıtmadan yazma modu için düzenleyici genişliği:"
"Wider","Daha geniş"
"Narrower","Daha dar"
"Default width","Varsayılan genişlik"
"Version:","Sürüm:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE platform bağımsız, web tabanlı, Javascript HTML WYSIWYG editörüdür. Açık kaynak kodlu olarak %sLGPL lisansı altında dağıtılır.</a> Moxiecode Systems AB tarafından geliştirilmiştir. HTML TEXTAREA alanlarını ya da diğer HTML elemanlarını zengin metin editörüne dönüştürür."
"GNU Library General Public License","GNU kütüphanesi Genel Kamu Lisansı"
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","&copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Tüm hakları saklıdır."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Bu yazılım hakkında daha fazla bilgi için <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE web sitesini</a> ziyaret edin."
"Got Moxie?","Moxie aldınız mı?"
"Comments Feed","Yorumlar Beslemesi"
"Edit This","Düzenle"
"Edit comment","Yorumu düzenle"
"Edit Link","Bağlantıyı Düzenle"
"Use commas instead of %s to separate excluded categories.","Hariç tutulan kategoriler için %s yerine virgül kullanın."
"Previous Post","Önceki Yazı"
"Next Post","Sonraki Yazı"
"Newer Comments &raquo;","Yeni Yorumlar &raquo;"
"&laquo; Older Comments","&laquo; Eski Yorumlar"
"This is the short link.","Bu kısa bağlantıdır."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Sunucunuz PHP %s sürümü kullanıyor fakat WordPress %s en az %s gerektirir."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","PHP kurulumunuzda WordPress'in çalışması için gerekli olan MySQL eklentisi eksik."
"Maintenance","Bakım"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Zamanlanmış bakım dolayısıyla site uygun değil. Bir kaç dakika içinde tekrar kontrol edin."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>HATA</strong>: <code>wp-config.php</code> dosyasında belirtilen <code>$table_prefix</code> sadece rakam, harf ve altçizgi içerebilir."
"The site you have requested is not installed properly. Please contact the system administrator.","İstekte bulunduğunuz site düzgün bir şekilde yüklenmemiş. Lütfen sistem yöneticisi ile iletişime geçin."
"S_Sunday_initial","Paz"
"M_Monday_initial","Pts"
"T_Tuesday_initial","Sal"
"W_Wednesday_initial","Çar"
"T_Thursday_initial","Per"
"F_Friday_initial","Cum"
"S_Saturday_initial","Cts"
"number_format_thousands_sep","."
"number_format_decimal_point",","
"Drop files to upload","Yüklemek için dosyaları sürükleyip bırakın"
"Upload Limit Exceeded","Yükleme sınırı aşıldı"
"Drop files anywhere to upload","Yüklemek istediğiniz dosyaları herhangi bir yere sürükleyip bırakın"
"Select Files","Dosya seçin"
"Maximum upload file size: %d%s.","Yüklenebilir en büyük dosya boyutu: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Tarayıcınızın büyük dosyaları çoklu dosya yükleyicisi ile yüklemeyle ilgili kısıtlamaları var. 100MB üzerindeki dosyalar için lütfen  <a href=\"%s\" target=\"%s\">tarayıcı yükleyicisini</a> kullanın."
"Uploading","Yükleniyor"
"Dismiss Errors","Hataları gizle"
"Error","Hata"
"Deselect","Seçimi kaldır"
"Caption this image&hellip;","Bu görsele başlık verin&hellip;"
"Describe this video&hellip;","Bu videoyu tarif edin&hellip;"
"Describe this audio file&hellip;","Bu ses dosyasını tarif edin&hellip;"
"Describe this media file&hellip;","Bu ortam dosyasını tarif edin&hellip;"
"Attachment Details","Eklenti detayları"
"Refresh","Yenile"
"Delete Permanently","Kalıcı olarak sil"
"Alt Text","Alternatif metin"
"Description","Tanım"
"Edit","Düzenle"
"Clear","Temizle"
"Attachment Display Settings","Eklenti gösterme ayarları"
"Link To","Bağlantı"
"Custom URL","Özel adres"
"Attachment Page","Ek sayfası"
"Media File","Ortam dosyası"
"Large","Büyük"
"Gallery Settings","Galeri ayarları"
"Columns","Sütunlar"
"Random Order","Karışık sıra"
"No editor could be selected.","Hiç bir düzenleyici seçilemedi"
"Allowed Files","İzin verilen dosyalar"
"Select","Seç"
