"New password","Nuova password"
"Code sample","Esempio di codice"
"Definition term","Elemento definizione"
"Definition description","Descrizione definizione"
"Underline","Sottolineato"
"Strikethrough (Alt + Shift + D)","Barrato (Alt + Maiusc + D)"
"Align Left (Alt + Shift + L)","Allinea a sinistra (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Allinea al centro (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Allinea a destra (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Giustificato (Alt + Maiusc + J)"
"Outdent","No quota/no indenta"
"Indent","Quota/indenta"
"Undo (Ctrl + Z)","Annulla (Ctrl + Z)"
"Redo (Ctrl + Y)","Ripeti (Ctrl + Y)"
"Cleanup messy code","Pulisci codice"
"Edit HTML Source","Modifica sorgente HTML"
"Subscript","Pedice"
"Superscript","Apice"
"Insert horizontal ruler","Inserisci righello orizzontale"
"Remove formatting","Rimuovi formattazione"
"Select text color","Seleziona il colore del testo"
"Select background color","Seleziona il colore di sfondo"
"Insert custom character","Inserisci carattere personalizzato"
"Toggle guidelines/invisible elements","Attiva/disattiva linee guida/elementi invisibili"
"Insert/edit anchor","Inserisci/modifica ancora"
"Cut","Taglia"
"Copy","Copia"
"Paste","Incolla"
"Image properties","Proprietà immagine"
"New document","Nuovo documento"
"Help","Aiuto"
"Path","Percorso"
"Are you sure you want to clear all contents?","Si è davvero sicuri di voler cancellare tutti i contenuti?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Vai ai pulsanti degli strumenti - Alt+Q, Vai all'editor - Alt-Z Vai all'elemento path - Alt-X"
"Accessibility Help","Aiuto sull'accessibilità"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Premere ALT+F10 per la barra degli strumenti. Premere ALT+0 per ottenere aiuto."
"Toolbar","Barra strumenti"
"About TinyMCE","Info su TinyMCE"
"About","Info"
"License","Licenza"
"Plugins","Plugin"
"Author","Autore"
"Version","Versione"
"Loaded plugins","Plugin caricati"
"Anchor name","Nome ancora"
"HTML Source Editor","Edito codice HTML"
"Word wrap","Ritorno a capo automatico"
"Select a color","Seleziona un colore"
"Picker","Selettore"
"Color picker","Selezione colori"
"Palette","Tavolozza"
"Palette colors","Tavolozza colori"
"Named","Nomi"
"Named colors","Nome colori"
"Color:","Colore:"
"Name:","Nome:"
"Select custom character","Seleziona carattere personalizzato"
"Use left and right arrows to navigate.","Utilizza le frecce destra e sinistra per navigare."
"Image URL","URL immagine"
"Image description","Descrizione immagine"
"Image list","Lista immagini"
"Border","Bordo"
"Dimensions","Dimensioni"
"Vertical space","Spaziatura verticale"
"Horizontal space","Spaziatura orizzontale"
"Baseline","Linea base"
"Top","Alto"
"Middle","Mediano"
"Bottom","Basso"
"Text top","Testo alto"
"Text bottom","Testo basso"
"Link URL","URL link"
"Target","Destinazione"
"Open link in the same window","Apri il link nella stessa finestra"
"Open link in a new window","Apri il link in una nuova finestra"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","L'URL inserita appare un indirizzo email, si desidera aggiungere il necessario prefisso mailto:?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","L'URL inserita appare un link esterno, si desidera aggiungere il necessario prefisso http://?"
"Link list","Lista link"
"General Usage","Utilizzo generale"
"General","Generale"
"Advanced","Avanzate"
"List","Elenco"
"Constrain proportions","Mantieni le proporzioni"
"Type","Tipo"
"Name","Nome"
"V-Space","Spazio verticale"
"H-Space","Spazio Orizzontale"
"Loop","Ciclo"
"Show menu","Mostra menu"
"Quality","Qualità"
"Scale","Scala"
"Align","Allinea"
"SAlign","Allineamento S"
"Flashvars","Variabili flash"
"Hidden","Nascosto"
"Controller","Controllore"
"Kiosk mode","Modalità chiosco"
"Play every frame","Esegui ogni frame"
"Target cache","Cache destinazione"
"No correction","Nessuna correzione"
"Enable JavaScript","Abilita JavaScript"
"Start time","Tempo iniziale"
"End time","Tempo finale"
"Choke speed","Limita velocità "
"Auto start","Avvio automatico"
"Enabled","Abilitato"
"Fullscreen","Schermo intero"
"Invoke URLs","Richiama URL"
"Mute","Muto"
"Stretch to fit","Stira per adattare"
"Windowless video","Video senza finestra"
"Balance","Bilanciamento"
"Base URL","URL base"
"Captioning id","ID Sottotitoli"
"Current marker","Marcatore corrente"
"Current position","Posizione corrente"
"Default frame","Frame predefinito"
"Play count","Conteggio esecuzione"
"Rate","Tasso"
"UI Mode","Modalità UI"
"Flash options","Impostazioni Flash"
"QuickTime options","Impostazioni QuickTime"
"Windows media player options","Impostazioni Windows media player"
"Real media player options","Impostazioni Real media player"
"Shockwave options","Impostazioni Shockwave"
"Auto goto URL","URL di indirizzo automatica"
"Image status","Stato immagine"
"Maintain aspect","Mantieni aspetto"
"No java","Disabilita java"
"Prefetch","Precaricamento"
"Shuffle","Mischia"
"Num loops","Numero di cicli"
"Controls","Controlli"
"Script callbacks","Richiami dello script"
"Stretch style","Stile stiramento"
"Stretch H-Align","Stira Allineamento-Orizzontale"
"Stretch V-Align","Stira Allineamento-Verticale"
"Sound","Suono"
"Progress","Progresso"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Risorse in streaming RTSP dovrebbero essere aggiunte al campo QT Src nella scheda avanzate."
"Top left","Allinea a sinistra"
"Top right","Allinea a destra"
"Bottom left","In basso a sinistra"
"Bottom right","In basso a destra"
"Flash video options","Impostazioni video Flash"
"Scale mode","Modalità di scala"
"Start image","Immagine di partenza"
"Default volume","Volume predefinito"
"Hidden GUI","Nascondi GUI"
"Show scale modes","Visualizza modalità di scala"
"Smooth video","Addolcisci video "
"JS Callback","Richiamo JS"
"HTML5 Video Options","Impostazioni Video HTML5"
"Alternative source 1","Sorgente alternativa 1"
"Alternative source 2","Sorgente alternativa 2"
"Preload","Precaricamento"
"Source","Sorgente"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Mostra/Nascondi Seconda riga pulsanti (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Inserisci il tag More (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Inserisci interruzione di pagina (Alt + Shift + P)"
"More...","Continua..."
"Next page...","Pagina successiva..."
"Add Media","Aggiungi media"
"Add an Image","Aggiungi immagine"
"Add Video","Aggiungi video"
"Add Audio","Aggiungi audio"
"Edit Gallery","Modifica galleria"
"Delete Gallery","Cancella galleria"
"Distraction Free Writing mode (Alt + Shift + W)","Modalità di scrittura senza distrazioni (Alt + Shift + W)"
"Edit Image","Modifica immagine"
"Delete Image","Cancella immagine"
"Advanced Settings","Impostazioni avanzate"
"Size","Dimensione"
"Thumbnail","Miniatura"
"Medium","Media"
"Full Size","Dimensione reale"
"Current Link","Link corrente"
"Link to Image","Link all'immagine"
"Enter a link URL or click above for presets.","Inserire una URL di collegamento o selezionare una di quelle predefinite."
"Advanced Image Settings","Impostazioni avanzate immagini"
"Width","Larghezza"
"Height","Altezza"
"Original Size","Dimensione originale"
"CSS Class","Classe CSS"
"Advanced Link Settings","Impostazioni avanzate link"
"Caption","Didascalia"
"Alternative Text","Testo alternativo"
"Rich Editor Help","Aiuto per l'editor avanzato"
"Basics of Rich Editing","Elementi base dell'editor avanzato"
"Basics","Informazioni di base"
"Advanced use of the Rich Editor","Utilizzo evoluto dell'editor avanzato"
"Hotkeys","Scorciatoie"
"About the software","Informazioni sul programma"
"Rich Editing Basics","Elementi base dell'editor avanzato"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Editor Avanzato</em>, chiamato anche WYSIWYG (What You See Is What You Get - ciò che vedi è ciò che ottieni) significa che il testo viene formattato mentre lo si digita. Mentre ci si concentra sulla scrittura, l'editor avanzato crea il codice HTML. Gli stili dei caratteri, i link, le immagini appaiono esattamente come appariranno su internet."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress include un editor HTML avanzato che funziona con la maggior parte browser utilizzati al giorno d'oggi. Tuttavia editare codice HTML non è la stessa cosa che digitare del testo. Ogni pagina web ha due componenti principali: la struttura, che è il codice HTML e che viene prodotta dall'editor mentre si scrive, e la visualizzazione, che viene applicata ad essa dal tema WordPress in uso e dal relativo foglio di stile style.css. WordPress produce codice XHTML 1.0 valido il che significa che inserendo interruzioni di riga multiple (marcatori BR) dopo un paragrafo non produce spazio bianco sulla pagina web. I marcatori BR verranno rimossi come non validi dal sistema interno di correzione HTML."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Mentre si utilizza l'editor sono disponibili molte scorciatoie da tastiera come in qualsiasi altro editor di testo. Ad esempio Shift+Enter inserisce una interruzione di riga, Ctrl+C = copia, Ctrl+X = taglia, Ctrl+Z = annulla, Ctrl+Y = ripete, Ctrl+A = seleziona tutto, ecc. (su un Mac usa il tasto Command anziché Ctrl). Si veda la scheda Scorciatoie per tutte le scorciatoie da tastiera disponibili."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Se non piace il modo in cui lavora  l'editor avanzato, è possibile disabilitarlo sotto \"il tuo profilo\" posizionato nel menu di amministrazione Utenti."
"Advanced Rich Editing","Editor avanzato"
"Images and Attachments","Immagini e allegati"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Nella barra dell'editor è presente un pulsante per inserire immagini che sono già ospitate da qualche parte su Internet. Se si dispone dell'URL di un'immagine, fare clic sul pulsante e inserire l'URL nella finestra che apparirà."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Se devi caricare un file immagine o altri file multimediali dal tuo computer, puoi utilizzare il tasto \"Libreria Multimediale\" sopra l'editor. La libreria multimediale creerà automaticamente un file in miniatura da ogni file immagine caricata. Per inserire la tua immagine nel post, prima clicca sul file miniaturizzato per far apparire un menu di opzioni. Appena hai selezionato l'opzione che meglio ti aggrada, clicca \"Inserisci nel Post\" e la tua immagine apparirà nel post che stai modificando."
"HTML in the Rich Editor","HTML nell'editor avanzato"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Qualsiasi codice HTML inserito direttamente in un editor avanzato, apparirà come testo quando il post verrà visualizzato. Cosa vedi è quello che prendi. Quando vuoi includere elementi del codice HTML che non possono essere generati con la barra degli strumenti, si deve inserirlo nel testo manualmente. Esempi sono le tabelle e i tag &lt;code&gt;. Per poter far questo, cliccare sulla scheda testo e modificare il codice, poi, ritornare alla modalità Visualizza/Anteprima. Se il codice è valido e riconosciuto dall'editor, dovresti vederlo immediatamente."
"Pasting in the Rich Editor","Incolla nell'editor avanzato"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Quando s'incolla contenuto da un'altra pagina web i risultati possono essere inconsistenti e ciò è causato dal tuo browser e dalla pagina web visitata. L'editor cerca di correggere più errori nel codice HTML possibile, ma per un risultato migliore provate ad utilizzate la scheda di Testo o uno dei bottoni \"incolla\" che si trovano nella seconda riga. Altrimenti, prova a incollare paragrafo per paragrafo. Nella maggior parte dei browser per selezionare un paragrafo, cliccarci col mouse sopra per tre volte."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Per incollare contenuti derivanti da un'altra applicazione, tipo Word o Excel, si consiglia di usare la modalità \"Incolla\" in Word nella seconda riga, o in modalità Testo."
"Writing at Full Speed","Scrivere rapidamente"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Anziché utilizzare il mouse per fare clic sui pulsanti della barra degli strumenti, utilizzare le scorciatoie da tastiera. Windows e Linux utilizzano Ctrl + lettera. Macintosh utilizza Command + lettera."
"Letter","Lettera"
"Action","Azione"
"Select all","Seleziona tutto"
"Undo","Annulla"
"Redo","Ripeti"
"Bold","Grassetto"
"Italic","Corsivo"
"The following shortcuts use different access keys: Alt + Shift + letter.","Le seguenti scorciatoie usano tasti di accesso differenti. Alt + Shift + lettera."
"Check Spelling","Verifica ortografia"
"Align Left","Allinea a sinistra"
"Justify Text","Testo giustificato"
"Align Center","Allinea al centro"
"Strikethrough","Barrato"
"Align Right","Allinea a destra"
"Insert link","Inserisci link"
"Remove link","Rimuovi link"
"Quote","Citazione"
"Insert Image","Inserisci immagine"
"Distraction Free Writing mode","Modalità di scrittura senza distrazioni"
"Insert More Tag","Inserisci il tag More"
"Insert Page Break tag","Inserisci tag di Interruzione pagina"
"Editor width in Distraction Free Writing mode:","Larghezza dell'editor nella modalità di scrittura senza distrazioni:"
"Wider","Più largo"
"Narrower","Più stretto"
"Default width","Larghezza predefinita"
"Version:","Versione:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE è un editor Javascript HTML WYSIWYG indipendente dalla piattaforma utilizzata e basato sul web rilasciato come Open Source sotto%sLGPL </a>→ da Moxiecode Systems AB. Ha la capacità di convertire in un editor un campo HTML di tipo TEXTAREA  o altri elementi HTML."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\"> Moxiecode Systems AB </a>, tutti i diritti riservati."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Per ulteriori informazioni riguardo il software, visita il <a href=\"http://tinymce.com\" target=\"_blank\">sito di TinyMCE</a>"
"Comments Feed","Feed dei commenti"
"Edit This","Modifica"
"Edit comment","Modifica commento"
"Edit Link","Modifica link"
"Use commas instead of %s to separate excluded categories.","Utilizza le virgole invece di %s per separare le categorie da escludere."
"Previous Post","Articolo precedente"
"Next Post","Articolo successivo"
"Newer Comments &raquo;","Commenti seguenti &raquo;"
"&laquo; Older Comments","&laquo; Commenti precedenti"
"This is the short link.","Questo è il link breve."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Il server sta utilizzando PHP versione %s ma WordPress %s richiede almeno la versione %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","L'installazione PHP  non ha l'estensione MySQL che è necessaria per utilizzare WordPress."
"Maintenance","In manutenzione."
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Momentaneamente non disponibile per manutenzione. Riprovare fra un minuto."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>ERRORE</strong>: il <code>$table_prefix</code> in <code>wp-config.php</code> può contenere solo numeri, lettere e carattere di sottolineatura."
"The site you have requested is not installed properly. Please contact the system administrator.","Il sito richiesto non è installato correttamente. Contattare l'amministratore di sistema."
"S_Sunday_initial","D"
"M_Monday_initial","L"
"T_Tuesday_initial","M"
"W_Wednesday_initial","M"
"T_Thursday_initial","G"
"F_Friday_initial","V"
"S_Saturday_initial","S"
"number_format_thousands_sep","."
"number_format_decimal_point",","
"Drop files to upload","Trascina file per caricare"
"Upload Limit Exceeded","Limite di caricamento superato"
"Drop files anywhere to upload","Rilasciare i file qui dentro per caricarli"
"Select Files","Selezionare i file"
"Maximum upload file size: %d%s.","Dimensione massima di caricamento dei file: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Il tuo browser hai delle limitazioni, con l'uploader multiplo, nel caricamento di file di grandi dimensioni. Utilizza <a href=\"%s\" target=\"%s\">l'uploader del browser</a> per i file sopra i 100MB."
"Uploading","Caricamento"
"Dismiss Errors","Nascondi l'errore"
"Error","Errore "
"Deselect","Deseleziona"
"Caption this image&hellip;","Didascalia per questa immagine&hellip;"
"Describe this video&hellip;","Descrivi questo video&hellip;"
"Describe this audio file&hellip;","Descrivi questo file audio&hellip;"
"Describe this media file&hellip;","Descrivi questo file multimediale&hellip;"
"Attachment Details","Dettagli allegato"
"Refresh","Aggiorna"
"Delete Permanently","Cancella definitivamente"
"Alt Text","Testo Alt"
"Description","Descrizione"
"Edit","Modifica"
"Clear","Pulisci"
"Attachment Display Settings","Impostazioni visualizzazione allegati"
"Link To","Link a"
"Custom URL","URL personalizzata"
"Attachment Page","Allegato pagina"
"Media File","File media"
"Large","Grande"
"Gallery Settings","Impostazioni galleria"
"Columns","Colonne"
"Random Order","Ordine casuale"
"No editor could be selected.","Impossibile selezionare un editor"
"Allowed Files","File permessi"
"Select","Seleziona"
"%d selected","%d selezionati"
"Drag and drop to reorder images.","Trascina e rilascia per riordinare le immagini."
"Upload Files","Caricamento file"
"Upload Images","Caricamento immagini"
"Media Library","Libreria media"
"Insert Media","Inserisci il file multimediale"
"Create a new gallery","Crea una nuova galleria"
"&#8592; Return to library","&#8592; Torna alla libreria"
"All media items","Tutti gli elementi media"
"No items found.","Nessun elemento trovato"
"Insert into page","Inserisci nella pagina"
"Insert into post","Inserisci nell'articolo"
"Uploaded to this page","Caricato in questa pagina"
"Uploaded to this post","Caricato in questo articolo"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Stai per cancellare definitivamente questo elemento.\n  'Annulla' per interrompere, 'OK' per cancellare."
"Insert from URL","Inserisci da URL"
"Set Featured Image","Imposta immagine predefinita"
"Set featured image","Imposta l'immagine in evidenza"
"Create Gallery","Crea galleria"
"&#8592; Cancel Gallery","&#8592; Cancella galleria"
"Insert gallery","Inserisci galleria"
"Update gallery","Aggiorna galleria"
"Add to gallery","Aggiungi alla galleria"
"Add to Gallery","Aggiungi alla galleria"
"Reverse order","Ordine inverso"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","La costante <code>VHOST</code> <strong>è deprecata</strong>. Utilizzare la costante booleana <code>SUBDOMAIN_INSTALL</code> in wp-config.php per abilitare la configurazione con sottodomini. Utilizzare is_subdomain_install() per verificare se la configurazione a sottodomini è abilitata o meno."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Conflitto fra i valori per le costanti VHOST e SUBDOMAIN_INSTALL.</strong> Verrà preso il valore di SUBDOMAIN_INSTALL come parametro di configurazione dei sottodomini."
"The requested user does not exist.","L'utente richiesto non esiste."
"That user does not exist.","Questo utente non esiste."
"<strong>ERROR</strong>: Site URL already taken.","<strong>ERRORE</strong>: URL sito già preso."
"<strong>ERROR</strong>: problem creating site entry.","<strong>ERRORE</strong>: problema nella creazione voce del sito."
"Only lowercase letters (a-z) and numbers are allowed.","Sono permessi solo lettere minuscole da a a z e numeri"
"Please enter a username.","Per favore inserisci il nome utente."
"That username is not allowed.","Questo nome utente non è permesso."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Non è possibile utilizzare questo indirizzo email per registrarsi. Stiamo avendo problemi con alcune nostre email che vengono bloccate. Per favore utilizzare un altro fornitore di email."
