"New password","Nytt lösenord"
"Image description","Bildbeskrivning"
"Image list","Bildlista"
"Border","Ram"
"Dimensions","Dimensioner"
"Vertical space","Vertikalt mellanrum"
"Horizontal space","Horizontalt mellanrum"
"Baseline","Baslinje"
"Middle","Mitten"
"Bottom","Botten"
"Text bottom","Text botten"
"Link URL","Länkadress"
"Target","Mål"
"Open link in the same window","Öppna länk i samma fönster"
"Open link in a new window","Öppna länk i nytt fönster"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","URLen du angav verkar vara en e-postadress, vill du lägga till mailto: prefixet?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","URLen du angav verkar vara en extern länk, vill du lägga till http:// prefixet?"
"Link list","Länklista"
"General Usage","Allmän användning"
"General","Allmänt"
"Advanced","Avancerat"
"File/URL","Fil/URL"
"List","Lista"
"Constrain proportions","Behåll proportioner"
"Type","Typ"
"Name","Namn"
"Auto play","Starta automatiskt"
"Show menu","Visa meny"
"Quality","Kvalite"
"Scale","Skala"
"Align","Justering"
"SAlign","Sjustera"
"Base","Bas"
"Hidden","Gömd"
"Controller","Kontroller"
"Kiosk mode","Kioskläge"
"Play every frame","Spela varje ruta"
"Target cache","Målcache"
"No correction","Ingen rättning"
"Enable JavaScript","Tillåt JavaSkript"
"Start time","Starttid"
"End time","Sluttid"
"Volume","Volym"
"Auto start","Starta automatiskt"
"Enabled","Aktivera"
"Fullscreen","Fullskärm"
"Invoke URLs","Anropa URLer"
"Mute","Dämpning"
"Stretch to fit","Sträck för att passa"
"Windowless video","Fönsterlös video"
"Balance","Balans"
"Base URL","Bas URL"
"Captioning id","Rubricerings id"
"Current marker","Nuvarande markering"
"Current position","Nuvarande position"
"Default frame","Förvald ruta"
"Play count","Antal spelningar"
"Rate","Omdöme"
"UI Mode","Visningsläge"
"Flash options","Flash inställningar"
"QuickTime options","QuickTime-inställningar"
"Windows media player options","Windows media player inställningar"
"Real media player options","Real media player inställningar"
"Shockwave options","Shockwave inställningar"
"Auto goto URL","Gå automatiskt till URL"
"Image status","Bildstatus"
"Maintain aspect","Behåll aspekt"
"No java","Ingen java"
"Prefetch","Förhandsladda"
"Shuffle","Slumpvis"
"Console","Konsoll"
"Num loops","Antal loopar"
"Controls","Kontroller"
"Stretch style","Sträck ut stil"
"Stretch H-Align","Sträck ut H-justering"
"Stretch V-Align","Sträck ut V-justering"
"Sound","Ljud"
"Progress","Framsteg"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Streamade resurser bör läggas till i QT Src fältet under avancerade tabben."
"Top left","Top vänster"
"Top right","Top höger"
"Bottom left","Botten vänster"
"Bottom right","Botten höger"
"Flash video options","Flash video inställningar"
"Scale mode","Skalningstyp"
"Buffer","Buffert"
"Start image","Startbild"
"Default volume","Förvald volym"
"Hidden GUI","Gömd meny"
"Show scale modes","Visa skalningsalternativ"
"Smooth video","Mjuk video"
"HTML5 Video Options","Videoalternativ för HTML5"
"Alternative source 1","Alternativ källa 1"
"Alternative source 2","Alternativ källa 2"
"Preload","Förhandsladda"
"Poster","Avsändare"
"Source","Källa"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Visa/dölj utökad verktygsrad (Alt + Skift + Z)"
"Insert More Tag (Alt + Shift + T)","Infoga Mer-tagg (Alt + Skift + T)"
"Insert Page break (Alt + Shift + P)","Infoga sidbrytning (Alt + Skift + P)"
"More...","(Läs mer...)"
"Next page...","Nästa sida"
"Add Media","Lägg till media"
"Add an Image","Lägg till en bild"
"Add Video","Lägg till en video"
"Add Audio","Lägg till ljud"
"Edit Gallery","Redigera galleri"
"Delete Gallery","Radera galleri"
"Distraction Free Writing mode (Alt + Shift + W)","Fullskärmsläge (Alt + Shift + W)"
"Edit Image","Redigera bild"
"Delete Image","Radera bild"
"Advanced Settings","Avancerade inställningar"
"Size","Storlek"
"Thumbnail","Miniatyr"
"Full Size","Full storlek"
"Current Link","Nuvarande länk"
"Link to Image","Länkad till bild"
"Enter a link URL or click above for presets.","Ange en länk-URL eller klicka ovan för förinställda."
"Advanced Image Settings","Avancerade bildinställningar"
"Width","Bredd"
"Height","Höjd"
"Original Size","Originalstorlek"
"Advanced Link Settings","Avancerade länkinställningar"
"Link Rel","Länk-rel"
"Caption","Rubrik"
"Alternative Text","Alternerande text"
"Rich Editor Help","Hjälp med WYSIWYG-editorn"
"Basics of Rich Editing","Grunderna i WYSIWYG-redigering"
"Basics","Grundläggande"
"Advanced use of the Rich Editor","Avancerad WYSIWYG-redigering"
"Hotkeys","Snabbtangenter"
"About the software","Om programvaran"
"Rich Editing Basics","Enkel WYSIWYG-redigering"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>WYSIWYG-redigering</em> (från engelskans \"What You See Is What You Get\", på svenska \"vad du ser är vad du får\") innebär att textens formateras medan du skriver. WYSIWYG-editorn skapar HTML-koden i bakgrunden medan du koncentrerar dig på att skriva. Man ser typsnitt, länkar och bilder precis som de kommer att se ut på internet."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress inkluderar en visuell redigerare som funkar bra i dom flesta moderna webbläsare som används idag. Men att redigera HTML är inte samma sak som att skriva enkel text. Varje webbsida har två huvudsakliga komponenter: strukturen, som egentligen är HTML kod som genereras av redigerar när du skriver, sen är det utseende som appliceras med valda WordPresstema och som är definierat i style.css. WordPress producerar validerande XHTML 1.0 vilket betyder att utseendet kan inte ändras med strukturella element. Med andra ord om du skulle infoga flera radbrytningar (BR-taggar) i rad efter ett stycke så skulle inte dessa skapa tomma rader på din sida. BR-taggarna kommer att rensas bort eftersom de ses som felaktigt formaterad HTML."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","När man använder redigeraren så funkar kortkommandon precis som i vilken annan textredigerare som helst. Som exempel Shift+Enter infogar en ny rad, Ctrl+C = Kopiera, Ctrl+X = klipp ut, Ctrl+Z = återställ, Ctrl+Y = gör om, Ctrl+A = markera allt osv. (på MAC använd Command tangenten istället för Ctrl). Se kortkommandotab för alla tillgängliga kortkommandon."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Om du inte gillar hur den visuella redigeraren funkar så kan du stänga av den i din profils undermeny."
"Advanced Rich Editing","Avancerad WYSIWYG-redigering"
"Images and Attachments","Bilder och bilagor"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Det finns en knapp i redigerarens verktygsfält för att infoga bilder som redan finns på någon server på internet. Klicka på den här knappen och skriv in URLen i lådan om du har en URL till en sådan bild."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Om du behöver ladda upp en bild eller andra mediafiler från din dator så kan du använda knappen för Mediabibliotek ovanför redigeraren. Mediabiblioteket kommer att försöka skapa en miniatyrkopia för varje uppladdad bild. För att infoga din bild i inlägget, klicka på miniatyren för att visa en meny av alternativ. När du har gjort dina val, klicka på \"Infoga i inlägg\" och din bild eller fil kommer att dyka upp i inlägget du redigerar."
"HTML in the Rich Editor","HTML i WYSIWYG-editorn"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","All HTML som anges direkt i den visuella redigeraren kommer att visas som text när innehållet visas på sidan. Vad du ser är det som visas. När du vill inkludera HTML-element som inte kan genereras av verktygen i redigeraren så måste du ange dessa för hand i text-läget. Exempel är tabeller och &lt;code&gt;. För att göra detta, klicka på text-fliken och redigera koden, växla sedan tillbaka till den visuella redigeraren. Om koden är korrekt och kan läsas av redigeraren så bör du se detta genererat direkt."
"Pasting in the Rich Editor","Klistra in i den visuella redigeraren"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","När man kopierar in innehåll från en annan webbplats så kan resultatet variera beroende på webbläsare och sidan du kopierar innehåll från. Redigeraren försöker att korrigera felaktig HTML-kod som kopieras, men för bästa resultat använd text-fliken eller använd någon av kopieringsverktygen som hittas som knappar på andra raden i verktygsfältet. I dom flesta webbläsarna så kan du trippelklicka för att markera en paragraf."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Att kopiera in innehåll från andra program, så som Word eller Excel, görs bäst med knappen Kopiera in från Word som man hittar på den andra raden av verktygsraden eller i text-läget."
"Writing at Full Speed","Skriver med full hastighet"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Istället för att använda musen för att klicka på verktygsraden kan du använda kortkommandon. Windows och Linux använder Ctrl + bokstav. Macintosh använder Command + bokstav."
"Letter","Tangent"
"Action","Åtgärd"
"Select all","Välj alla"
"Undo","Ångra"
"Redo","Gör om"
"Bold","Fet"
"Italic","Kursiv"
"The following shortcuts use different access keys: Alt + Shift + letter.","Följande kortkommandon använder olika tangenter: Alt + Shift + bokstav."
"Check Spelling","Stavningskontroll"
"Align Left","Vänsterjustera"
"Justify Text","Justera texten"
"Align Center","Centrerat"
"Strikethrough","Genomstruken"
"Align Right","Högerjustera"
"Insert link","Infoga länk"
"Remove link","Ta bort länk"
"Quote","Citat"
"Insert Image","Infoga bild"
"Distraction Free Writing mode","Fullskärmsläge"
"Insert More Tag","Infoga Mer-tagg"
"Insert Page Break tag","Infoga sidindelnings-taggen"
"Editor width in Distraction Free Writing mode:","Bredd för redigeraren i fullskärmsläge:"
"Wider","Bredare"
"Narrower","Smalare"
"Default width","Standardbredd"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE är en plattformsoberoende webbaserad Javascript HTML WYSIWYG editor som släppas som öppen källkod under %sLGPL </a>\nav Moxiecode Systems AB. Den har förmågan att omvandla HTML-textfält eller andra HTML-element till redigeringsbara instanser."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Alla rättigheter reserverade."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","För mer information om den här mjukvaran besök <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE webbplats</a>."
"Got Moxie?","Har du Moxie?"
"Comments Feed","Flöde för kommentarer"
"Edit This","Redigera det här"
"Edit comment","Redigera kommentar"
"Edit Link","Redigera länken"
"Use commas instead of %s to separate excluded categories.","Använd kommatecken istället för %s för att separera undantagna kategorier."
"Previous Post","Tidigare inlägg"
"Next Post","Följande inlägg"
"Newer Comments &raquo;","Nyare kommentarer &raquo;"
"&laquo; Older Comments","&laquo; Äldre kommentarer"
"This is the short link.","Detta är den korta länken."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Din server kör PHP version %s men WordPress %s kräver minst %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Din PHP installation verkar sakna MySQL tillägget som WordPress kräver."
"Maintenance","Underhåll"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Otillgänglig temporärt pga planerat underhållsarbete. Titta tillbaka om någon minut."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>FEL</strong>: <code>$table_prefix</code> i <code>wp-config.php</code> kan endast innehålla siffror, bokstäver och understreck."
"The site you have requested is not installed properly. Please contact the system administrator.","webbplatsen du har efterfrågat är inte installerad korrekt. Var vänlig kontakta systemadministratören."
"S_Sunday_initial","s"
"M_Monday_initial","m"
"T_Tuesday_initial","ti"
"W_Wednesday_initial","o"
"T_Thursday_initial","to"
"F_Friday_initial","f"
"S_Saturday_initial","l"
"am","f m"
"pm","e m"
"AM","f m"
"PM","e m"
"number_format_thousands_sep"," "
"number_format_decimal_point",","
"Drop files to upload","Släpp filer för att ladda upp"
"Upload Limit Exceeded","Uppladdningsgräns överskriden"
"Drop files anywhere to upload","Släpp filer varsomhelst för att ladda upp"
"Select Files","Välj filer"
"Maximum upload file size: %d%s.","Maximal filstorlek vid uppladdning: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Din webbläsare har vissa begränsningar vid uppladdning av stora filer med multifilsuppladdaren. Vänligen använd den <a href=\"%s\" target=\"%s\">webbläsarbaserade uppladdaren</a> för filer över 100MB."
"Uploading","Laddar upp"
"Dismiss Errors","Ignorera fel"
"Error","Fel "
"Deselect","Avmarkera"
"Caption this image&hellip;","Ge bilden en bildtext&hellip;"
"Describe this video&hellip;","Beskriv denna video&hellip;"
"Describe this audio file&hellip;","Beskriv denna ljudfil&hellip;"
"Describe this media file&hellip;","Beskriv denna mediafil&hellip;"
"Attachment Details","Detaljer för bilaga"
"Refresh","Uppdatera"
"Delete Permanently","Radera permanent"
"Alt Text","Alt text"
"Description","Beskrivning"
"Edit","Redigera"
"Clear","Rensa"
"Attachment Display Settings","Inställningar för bilagsvisning"
"Link To","Länk till"
"Custom URL","Anpassad URL"
"Attachment Page","Sida för bilaga"
"Media File","Mediafil"
"Large","Stor"
"Gallery Settings","Inställningar för galleri"
"Columns","Kolumner"
"Random Order","Slumpvis ordning"
"No editor could be selected.","Ingen redigerare kunde väljas."
"Allowed Files","Tillåtna filer"
"Select","Välj"
"%d selected","%d valda"
"Drag and drop to reorder images.","Dra och släpp för att ändra ordning på bilderna."
"Upload Files","Ladda upp filer"
"Upload Images","Ladda upp bilder"
"Media Library","Mediabibliotek"
"Insert Media","Infoga media"
"Create a new gallery","Skapa ett nytt galleri"
"&#8592; Return to library","&#8592; Tillbaka till bibliotek"
"All media items","Alla mediaobjekt"
"No items found.","Inga objekt funna."
"Insert into page","Infoga på sida"
"Insert into post","Infoga i innehåll"
"Uploaded to this page","Ladda upp till denna sida"
"Uploaded to this post","Uppladdat till detta inlägg"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Du är på väg att radera detta objekt permanent.\n 'Avbryt' för att avbryta, 'OK' för att radera."
"Insert from URL","Infoga från URL"
"Set Featured Image","Ange utvald bild"
"Set featured image","Ange utvald bild"
"Create Gallery","Skapa galleri"
"&#8592; Cancel Gallery","&#8592; Avsluta galleri"
"Insert gallery","Infoga galleri"
"Update gallery","Uppdatera galleri"
"Add to gallery","Lägg till i galleri"
"Add to Gallery","Lägg till i galleri"
"Reverse order","Omvänd ordning"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Den konstanten <code>VHOST</code> <strong>har fasats ut</strong>. Använd instället booleankonstanten <code>SUBDOMAIN_INSTALL</code> i wp-config.php för att aktivera en subdomänkonfiguration. Använd is_subdomain_install() för att kontrollera om en subdomänkonfiguration är aktiverad."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>En konflikt mellan värdena för konstanterna VHOST och SUBDOMAIN_INSTALL har påträffats.</strong> Värdet för SUBDOMAIN_INSTALL kommer att antas vara din konfigurationsinställning för subdomän."
"The requested user does not exist.","Den efterfrågade användaren finns inte."
"That user does not exist.","Användaren existerar inte."
"<strong>ERROR</strong>: Site URL already taken.","<strong>FEL</strong>: Webbplats-URL redan tagen."
"<strong>ERROR</strong>: problem creating site entry.","<strong>FEL</strong>: Problem med att skapa webbplatspost."
"Only lowercase letters (a-z) and numbers are allowed.","Endast små bokstäver (a-z) och siffror är tillåtna."
"Please enter a username.","Ange ett användarnamn."
"That username is not allowed.","Det användarnamnet är inte tillåtet."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Du kan tyvärr inte använda angiven e-postadress för registrering. Vi har problem med att dom blockerar vissa av våra mail. Var vänlig använd en annan e-postleverantör."
"Username must be at least 4 characters.","Användarnamn måste bestå av minst 4 tecken."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Användarnamn kan inte innehålla tecknet &#8221;_&#8221;!"
"Sorry, usernames must have letters too!","Beklagar, användarnamn måste innehålla bokstäver också!"
"Please enter a valid email address.","Vänligen ange en giltig e-postadress."
"Sorry, that email address is not allowed!","Tyvärr, den e-postadressen är inte tillåten!"
"Sorry, that username already exists!","Det användarnamnet finns redan registrerat!"
"Sorry, that email address is already used!","Den e-postadressen används redan!"
"That username is currently reserved but may be available in a couple of days.","De valda användarnamnet är för närvarande reserverat, men kan bli ledigt igen inom några dagar."
