"New password","Neues Passwort"
"Insert Page Break","Seitenumbruch einfügen"
"Types","Aufzählungspunkttypen"
"Lower alpha","Buchstaben (klein)"
"Lower greek","Griechische Buchstaben (klein)"
"Lower roman","Römische Ziffern (klein)"
"Upper alpha","Buchstaben (groß)"
"Upper roman","Römische Ziffern (groß)"
"Circle","Kreis"
"Disc","Gefüllter Kreis"
"Square","Quadrat"
"Rich Text Area","Textfeld mit Formatierungsmöglichkeiten"
"Words:","Wörter:"
"Font size","Schriftgröße"
"Font family","Schriftname"
"Paragraph","Absatz"
"Address","Adresse"
"Preformatted","Monospace"
"Heading 1","Überschrift 1"
"Heading 2","Überschrift 2"
"Heading 3","Überschrift 3"
"Heading 4","Überschrift 4"
"Heading 5","Überschrift 5"
"Heading 6","Überschrift 6"
"Blockquote","Zitat"
"Code sample","Codebeispiel"
"Definition term","Definitionsbegriff"
"Definition description","Beschreibung der Definition"
"Underline","Unterstreichen"
"Strikethrough (Alt + Shift + D)","Durchstreichen (ALT + UMSCHALT + D)"
"Align Left (Alt + Shift + L)","Linksbündig (ALT + UMSCHALT + L)"
"Align Center (Alt + Shift + C)","Zentrieren (ALT + UMSCHALT + C)"
"Align Right (Alt + Shift + R)","Rechtsbündig (ALT + UMSCHALT + R)"
"Align Full (Alt + Shift + J)","Blocksatz (ALT + UMSCHALT + J)"
"Outdent","Ausrücken"
"Indent","Einrücken"
"Undo (Ctrl + Z)","Rückgängig (STRG + Z)"
"Redo (Ctrl + Y)","Wiederholen (STRG + Y)"
"Cleanup messy code","Code bereinigen"
"Edit HTML Source","HTML bearbeiten"
"Subscript","Tiefgestellt"
"Superscript","Hochgestellt"
"Insert horizontal ruler","Horizontales Lineal einfügen"
"Remove formatting","Formatierung entfernen"
"Select text color","Textfarbe auswählen"
"Select background color","Hintergrundfarbe auswählen"
"Insert custom character","Sonderzeichen einfügen"
"Toggle guidelines/invisible elements","Zwischen Vorgaben und unsichtbaren Elementen umschalten"
"Insert/edit anchor","Anker einfügen/ändern"
"Cut","Ausschneiden"
"Copy","Kopieren"
"Paste","Einfügen"
"Image properties","Bildeigenschaften"
"New document","Neues Dokument"
"Help","Hilfe"
"Path","Pfad"
"Are you sure you want to clear all contents?","Bist du sicher, dass du den gesamten Inhalt entfernen möchtest?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Zu Werkzeugbuttons wechseln – Alt+Q, Zum Editor wechseln – Alt+Z, Zum Elementpfad wechseln – Alt+X"
"Accessibility Help","Zugänglichkeitshilfe"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Drücke ALT + F10 für die Werkzeugleiste. Drücke ALT + 0 für die Hilfe."
"Toolbar","Werkzeugleiste"
"About TinyMCE","Über TinyMCE"
"About","Über"
"License","Lizenz"
"Author","Autor"
"Loaded plugins","Geladene Plugins"
"Anchor name","Ankerbezeichnung"
"HTML Source Editor","HTML-Quelltext-Editor"
"Word wrap","Zeilenumbruch"
"Select a color","Textfarbe auswählen"
"Color picker","Pipette-Werkzeug"
"Palette colors","Farbpalette"
"Named","Benannt"
"Named colors","Farbnamen"
"Color:","Schriftfarbe:"
"Select custom character","Sonderzeichen auswählen"
"Use left and right arrows to navigate.","Verwende die linke und rechte Pfeiltaste zum Navigieren."
"Image URL","Bild-URL"
"Image description","Bildbeschreibung"
"Image list","Bildliste"
"Border","Rand"
"Dimensions","Größe"
"Vertical space","Vertikaler Abstand"
"Horizontal space","Horizontaler Abstand"
"Baseline","Grundlinie"
"Top","Oben"
"Middle","Mitte"
"Bottom","Unten"
"Text top","Textbündig oben"
"Text bottom","Textbündig unten"
"Link URL","URL"
"Open link in the same window","Link in diesem Fenster öffnen"
"Open link in a new window","Link in neuem Fenster öffnen"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","Die eingegebene URL scheint eine E-Mail-Adresse zu sein. Soll \"mailto:\" vorangestellt werden?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","Die eingegebene URL scheint ein externer Link zu sein. Soll \"http://\" vorangestellt werden?"
"Link list","Linkliste"
"General Usage","Generelle Verwendung"
"General","Allgemein"
"Advanced","Fortgeschritten"
"File/URL","Datei/URL"
"List","Liste"
"Constrain proportions","Proportionen beschränken"
"Type","Typ"
"Id","ID"
"V-Space","Vertikaler Abstand"
"H-Space","Horizontaler Abstand"
"Auto play","Automatische Wiedergabe"
"Loop","Schleife"
"Show menu","Menü anzeigen"
"Quality","Qualität"
"Scale","Skalierung"
"Align","Ausrichtung"
"SAlign","S-Ausrichtung"
"WMode","W-Modus"
"Base","Basis"
"Flashvars","Flash-Variablen"
"AutoHREF","Automatischer Hyperlink"
"Hidden","Versteckt"
"Kiosk mode","Kiosk-Modus"
"Play every frame","Jeden Frame abspielen"
"Target cache","Target-Cache"
"No correction","Keine Korrektur"
"Enable JavaScript","Erlaube JavaScript"
"Start time","Startzeit"
"End time","Endzeit"
"Choke speed","Geschwindigkeit drosseln"
"Volume","Lautstärke"
"Auto start","Automatisch starten"
"Enabled","Erlaubt"
"Fullscreen","Vollbild"
"Invoke URLs","URLs aufrufen"
"Mute","Stumm"
"Stretch to fit","An Fenster anpassen"
"Windowless video","Video ohne Fenster"
"Base URL","Basis-URL"
"Captioning id","Untertitelkennung"
"Current marker","Aktuelle Marke"
"Current position","Aktuelle Position"
"Default frame","Standard-Frame"
"Play count","Wiedergabezähler"
"Rate","Frequenz"
"UI Mode","UI-Modus"
"Flash options","Flash-Einstellungen"
"QuickTime options","QuickTime-Einstellungen"
"Windows media player options","Einstellungen für Windows-Media-Player"
"Real media player options","Einstellungen für Real-Media-Player"
"Shockwave options","Shockwave-Einstellungen"
"Auto goto URL","Gehe automatisch zu URL"
"Image status","Bildstatus"
"Maintain aspect","Seitenverhältnis beibehalten"
"No java","Kein Java"
"Prefetch","Vorhalten"
"Shuffle","Mischen"
"Console","Konsole"
"Num loops","Anzahl Wiederholungen"
"Controls","Steuerelemente"
"Script callbacks","Skript-Callbacks"
"Stretch style","Strecken"
"Stretch H-Align","Beim Strecken horizontal ausrichten"
"Stretch V-Align","Beim Strecken vertikal ausrichten"
"Sound","Ton"
"Progress","Fortschritt"
"QT Src","QuickTime-Quelle"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","RTSP-Streaming-Ressourcen bitte in das QT-Src-Feld eintragen (Karte: Erweitert)"
"Top left","Oben links"
"Top right","Oben rechts"
"Bottom left","Unten links"
"Bottom right","Unten rechts"
"Flash video options","Flash Video Einstellungen"
"Scale mode","Skalierungsmodus"
"Start image","Bild starten"
"Default volume","Standardlautstärke"
"Hidden GUI","GUI verstecken"
"Show scale modes","Zeige Skalierungsmodi"
"Smooth video","Ruckelfreies Video"
"JS Callback","JS-Callback"
"HTML5 Video Options","HTML5 Video-Optionen"
"Alternative source 1","Alternative Quelle 1"
"Alternative source 2","Alternative Quelle 2"
"Preload","Vorspann vor dem Laden"
"Source","Quelle"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Werkzeugleiste anzeigen/verstecken (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","\"Weiterlesen\"-Link einfügen (ALT + UMSCHALT + T)"
"Insert Page break (Alt + Shift + P)","Seitenumbruch einfügen (ALT + UMSCHALT + P)"
"More...","Weiterlesen …"
"Next page...","Nächste Seite …"
"Add Media","Dateien hinzufügen"
"Add an Image","Bild einfügen"
"Add Video","Video hinzufügen"
"Add Audio","Audio hinzufügen"
"Edit Gallery","Galerie bearbeiten"
"Delete Gallery","Galerie löschen"
"Distraction Free Writing mode (Alt + Shift + W)","Freier Schreibmodus Tastenkürzel: Alt + Shift + W"
"Edit Image","Bild bearbeiten"
"Delete Image","Bild löschen"
"Advanced Settings","Erweiterte Einstellungen"
"Size","Größe"
"Thumbnail","Miniaturbild"
"Medium","Mittelgroß"
"Full Size","Vollständige Größe"
"Current Link","Aktueller Link"
"Link to Image","Mit Bild verlinken"
"Enter a link URL or click above for presets.","Gib eine URL ein oder klicke oben für eine der Vorgaben."
"Advanced Image Settings","Erweiterte Bildeinstellungen"
"Width","Breite"
"Height","Höhe"
"Original Size","Originalgröße"
"CSS Class","CSS Klasse"
"Advanced Link Settings","Erweiterte Linkeinstellungen"
"Link Rel","Link-Beziehung"
"Caption","Beschriftung"
"Alternative Text","Alternativer Text"
"Rich Editor Help","Hilfe zum Rich Editor"
"Basics of Rich Editing","Rich-Editing-Grundlagen"
"Basics","Grundlegende Angaben"
"Advanced use of the Rich Editor","Erweiterter Gebrauch des Rich Editors"
"About the software","Über die Software"
"Rich Editing Basics","Grundlagen von Rich Editing"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Rich editing</em>, auch WYSIWYG genannt (für What You See Is What You Get) bedeutet, dass dein Text so formatiert wird, wie du ihn tippst. Ein Rich Editor erzeugt im Hintergrund den HTML-Code, so dass du dich ganz auf das Schreiben konzentrieren kannst. Schriften, Links und Bilder werden in etwa so dargestellt, wie sie später im Internet erscheinen werden."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress enthält einen Komfort-HTML-Editor, der in allen gängigen Webbrowsern funktioniert. HTML zu bearbeiten ist allerdings etwas anderes als Text zu tippen. Jede Webseite besteht im wesentlichen aus zwei Komponenten: Die Struktur, das ist der eigentliche HTML-Code, diese wird vom Editor bei der Eingabe erzeugt; und die Formatierung, sie wird vom gewählten WordPress-Theme beeinflusst und ist in style.css festgelegt. Zudem erzeugt WordPress gültiges XHTML 1.0, das heißt, die Formatierung kann nicht durch Strukturelemente beeinflusst werden. Man kann nach einem Absatz soviele Zeilenumbrüche (BR-Tags) einfügen, wie man will: Auf der Webseite erhält man dadurch keinerlei vertikalen Leerraum. Die BR-Tags werden durch die interne HTML-Korrektur eliminiert, weil sie ungültig sind."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Bei diesem Editor funktionieren viele Tastenkürzel genau wie in anderen Texteditoren. Zum Beispiel: Umschalt+Enter = Zeilenumbruch einfügen, Strg+C = Kopieren, Strgl+X = Ausschneiden, Strg+Z = Rückgängig, Strg+Y = Wiederholen, Strg+A = Alle auswählen, usw. (Beim Mac ist es die Command-Taste und nicht Strg). Alle Tastenkürzel erfährst du auf der Karte \"Hotkeys\"."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Wenn dir der Rich Editor nicht passt, kannst du ihn im Untermenü \"Dein Profil\" abschalten, unter Benutzer im Admin-Menü."
"Advanced Rich Editing","Erweiterte WYSIWYG-Schreiboptionen"
"Images and Attachments","Bilder und Anlagen"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","In der Editor-Symbolleiste gibt es eine Schaltfläche, um Bilder einzufügen, die bereits irgendwo im Internet gehostet sind. Wenn du eine URL für ein Bild hast, klick diese Schaltfläche an und gib die URL ein."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Wenn du ein Bild oder eine andere Media-Datei von deinem Computer hochladen möchtest, benutze die Mediathek-Taste über dem Editor. Die Mediathek wird versucht, eine Thumbnail-Grosse Kopie von jedem hochgeladenen Bild zu erstellen. Um dein Bild in den Beitrag einzufügen, klicke zunächst auf das Vorschaubild, um das Menü mit Optionen anzuzeigen. Wenn du die Optionen ausgewählt hast, klicke auf \"In den Beitrag einfügen\" und das Bild oder die Datei wird in dem gerade bearbeiteten Beitrag eingefügt."
"HTML in the Rich Editor","HTML im Rich Editor"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Jedes HTML welches direkt in den Rich Editor eingegeben wurde, wird als Text in der Beitragsvorschau angezeigt. Wenn du die HTML-Elemente, welche nicht über den Toolbar-Button erzeugt werden können, musst du ihn in den Text Editor hineinschreiben. Beispielsweise Tabellen und &lt;code&gt;. Klicke den Texttabulator und schreibe den Code, dann wechsel zurück zur Vorschau-Ansicht. Wenn der Code richtig ist und vom Editor angenommen wurde, wird er sofort erkannt."
"Pasting in the Rich Editor","Übetragen in den Rich Editor"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Beim Einfügen von Inhalten, die von anderen Webseiten kopiert wurden, kann die Darstellung widersprüchlich sein. Der Editor versucht ungültigen HTML-Code, der eingefügt wurde, zu korrigieren. Für optimale Kontrolle der Darstellung empfiehlt es sich, den Texteditor oder die speziellen Buttons in der zweiten Editorreihe des WYSIWYG-Modus zu verwenden. Alternativ kannst du Texte Absatz für Absatz einfügen. In den meisten Browsern kannst du absatzweise markieren indem du mit einem \"Dreifach-Klick\" die zu kopieren Textpassagen markierst."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Um Inhalt von anderen Anwendungen wie Word oder Excel zu kopieren, benutzt du am Besten den 'Von Word kopieren' Button in der zweiten Reihe oder den Textmodus. "
"Writing at Full Speed","Schreiben mit voller Geschwindigkeit"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Besser, als mit der Maus in der Toolbar herumzustochern, ist der Einsatz dieser Kurzbefehle. Windows und Linux benutzen Strg + Buchstabe. Beim Mac ist es Command + Buchstabe."
"Letter","Buchstabe"
"Action","Aktion"
"Select all","Alle auswählen"
"Undo","Widerrufen"
"Redo","Wiederholen"
"Bold","Fett"
"Italic","Kursiv"
"The following shortcuts use different access keys: Alt + Shift + letter.","Die folgenden Kurzbefehle liegen auf anderen Tasten: Alt + Umsch + Buchstabe."
"Check Spelling","Rechtschreibprüfung"
"Align Left","Linksbündig"
"Justify Text","Blocksatz"
"Align Center","Zentrieren"
"Strikethrough","Durchgestrichen"
"Align Right","Rechtsbündig"
"Insert link","Link einfügen"
"Remove link","Link entfernen"
"Quote","Zitat"
"Insert Image","Bild einfügen"
"Distraction Free Writing mode","Ablenkungsfreier Schreibmodus (Vollbild)"
"Insert More Tag","\"Weiterlesen\"-Link einfügen"
"Insert Page Break tag","Tag für Seitenumbruch einfügen"
"Editor width in Distraction Free Writing mode:","Editor-Breite im freien Schreibmodus"
"Wider","Breiter"
"Narrower","Schmaler"
"Default width","Standardbreite"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE ist ein plattformunabhängiger, webbasierter JavaScript-HTML-WYSIWYG-Editor, der als Open Source unter %sLGPL</a> von Moxiecode Systems AB veröffentlicht wurde. Man kann damit HTML-Textfelder oder andere HTML-Elemente in Editorinstanzen umwandeln."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Alle Rechte vorbehalten."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Für nähere Informationen über diese Software besuche die <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE-Webseite</a>."
"Got Moxie?","Hast Du Moxie?"
"Comments Feed","RSS Kommentare"
"Edit This","Bearbeiten"
"Edit comment","Kommentar bearbeiten"
"Edit Link","Link bearbeiten"
"Use commas instead of %s to separate excluded categories.","Benutze Kommas anstelle von %s um ausgeschlossene Kategorien zu trennen."
"Previous Post","vorheriger Beitrag"
"Next Post","nächster Beitrag"
"Newer Comments &raquo;","Neuere Kommentare &raquo;"
"&laquo; Older Comments","&laquo; Ältere Kommentare"
"This is the short link.","Dies ist der Kurzlink."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Dein Server läuft mit der PHP-Version %s, aber WordPress %s benötigt mindestens die Version %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Deine PHP-Installation scheint nicht über die von WordPress benötigte MySQL-Erweiterung zu verfügen."
"Maintenance","Wartungsmodus"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Für kurze Zeit nicht verfügbar, um eine regelmäßige Instandhaltung durchzuführen. Prüfe in einer Minute erneut."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>Fehler:</strong> Das Tabellenpräfix <code>$table_prefix</code> in <code>wp-config.php</code> darf nur Buchstaben, Zahlen und Unterstriche enthalten."
"The site you have requested is not installed properly. Please contact the system administrator.","Die Webseite, die du aufrufen möchtest, wurde nicht korrekt installiert. Bitte kontaktiere den Administrator."
"S_Sunday_initial","S_Sonntag_initial"
"M_Monday_initial","M_Montag_initial"
"T_Tuesday_initial","D_Dienstag_initial"
"W_Wednesday_initial","M_Mittwoch_initial"
"T_Thursday_initial","D_Donnerstag_initial"
"F_Friday_initial","F_Freitag_initial"
"S_Saturday_initial","S_Samstag_initial"
"number_format_thousands_sep","."
"number_format_decimal_point",","
"Drop files to upload","Dateien für den Upload bereitstellen"
"Upload Limit Exceeded","Upload-Limit erreicht"
"Drop files anywhere to upload","Ziehe die Dateien hierhin zum Hochladen"
"Select Files","Dateien auswählen"
"Maximum upload file size: %d%s.","Maximale Dateigröße für Upload: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Dein Browser hat eine Uploadbegrenzung für große Dateien im Multi-Dateien-Uploader. Bitte nutze den <a href=\"%s\" target=\"%s\">Browser Uploader</a> für Dateien größer als 100MB."
"Uploading","Hochladen"
"Dismiss Errors","Fehler verwerfen"
"Error","Fehler"
"Deselect","abwählen"
"Caption this image&hellip;","Beschreibe dieses Bild"
"Describe this video&hellip;","Beschreibe dieses Video&hellip;"
"Describe this audio file&hellip;","Beschreibe diese Audiodatei"
"Describe this media file&hellip;","Beschreibe diese Medien-Datei&hellip;"
"Attachment Details","Dateianhang Details"
"Refresh","Aktualisieren"
"Delete Permanently","Unwiderruflich löschen"
"Alt Text","Alternativtext"
"Description","Beschreibung"
"Edit","Bearbeiten"
"Clear","leeren"
"Attachment Display Settings","Dateianhang Anzeigeneinstellung"
"Link To","Link zur"
"Custom URL","Benutzerdefinierte URL"
"Attachment Page","Anhang-Seite"
"Media File","Medien-Datei"
"Large","Groß"
"Gallery Settings","Galerie Einstellungen"
"Columns","Spalten"
"Random Order","Zufällige Sortierung"
"No editor could be selected.","Es kann kein Editor ausgewählt werden"
"Allowed Files","Erlaubte Dateien"
"Select","- Wähle -"
"%d selected","%d ausgewählt"
"Drag and drop to reorder images.","Die Bilder per ziehen und loslassen ordnen"
"Upload Files","Dateien hochladen"
"Upload Images","Bilder hochladen"
"Media Library","Mediathek"
"Insert Media","Medien hinzufügen"
"Create a new gallery","Erstelle eine neue Galerie"
"&#8592; Return to library","&#8592; Zurück zur Bibliothek"
"All media items","Alle Medien"
"No items found.","Keine Elemente gefunden"
"Insert into page","In die Seite einfügen"
"Insert into post","In den Beitrag einfügen"
