"New password","Uusi salasana"
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Sisällettävä ainakin 4 merkkiä, vain kirjaimet ja numerot hyväksytään. Tunnusta ei voi muuttaa, joten valitse harkiten!"
"Site Title:","Sivuston otsikko:"
"Privacy:","Tietosuoja:"
"Allow search engines to index this site.","Salli sivuston näkyminen hakukoneissa."
"Yes","Kyllä"
"No","Ei"
"(Must be at least 4 characters, letters and numbers only.)","(Vähintään 4 merkkiä, ainoastaan kirjaimia ja numeroita.)"
"Email&nbsp;Address:","Sähköpostiosoite:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Lähetämme rekisteröintisähköpostisi tähän osoitteeseen. Tarkista se vielä ennen kuin jatkat!"
"Get <em>another</em> %s site in seconds","Luo <em>toinen</em> %s sivusto hetkessä"
"There was a problem, please correct the form below and try again.","Lomakkeesta löytyi virheitä, korjaa virheet ja yritä uudelleen."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Tervetuloa takaisin, %s. Täyttämällä alla olevan lomakkeen, voit <strong>perustaa uuden sivuston</strong>. Sivustojen lukumäärää ei ole rajoitettu, joten luo niitä niin monta kuin haluat, mutta kirjoita vastuullisesti!"
"Sites you are already a member of:","Sivustot, joiden jäsen olet:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Mikäli et aio käyttää sivuston verkkotunnusta, jätä se uusille käyttäjille. "
"Create Site","Luo sivusto"
"The site %s is yours.","Sivusto %s on nyt sinun."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> on uusi sivustosi <a href=\"%s\">Kirjaudu sisään</a> tunnuksella &#8221;%s&#8221; käyttäen olemassa olevaa salasanaasi."
"Get your own %s account in seconds","Luo oma %s käyttäjätilisi hetkessä"
"Gimme a site!","Anna minulle sivusto!"
"Just a username, please.","Vain käyttäjänimi, kiitos."
"Next","Seuraava"
"%s is your new username","%s on uusi käyttäjätunnuksesi"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Ennen kuin voit aloittaa käyttämään uutta käyttäjätunnustasi, <strong>sinun täytyy aktivoida se</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Tarkista postilaatikkosi (<strong>%s </strong>) ja klikkaa annettua linkkiä."
"If you do not activate your username within two days, you will have to sign up again.","Mikäli et aktivoi käyttäjätunnustasi kahden vuorokauden kuluessa, sinun täytyy rekisteröityä uudelleen."
"Signup","Rekisteröidy"
"Congratulations! Your new site, %s, is almost ready.","Onnittelut! Uusi sivustosi %s, on lähes valmis."
"But, before you can start using your site, <strong>you must activate it</strong>.","Ennen kuin voi aloittaa käyttämään sivustoasi, <strong>sinun täytyy aktivoida se</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Mikäli et aktivoi sivustoasi kahden vuorokauden kuluessa, sinun täytyy rekisteröityä uudelleen."
"Still waiting for your email?","Odotatko vielä sähköpostia?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Jos et ole saanut sähköpostia vielä, voit toimia seuraavasti:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Odota vähän pidempään. Joskus sähköpostin toimitus voi viivästyä meistä riippumattomista syistä."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Tarkista sähköpostiohjelmasi roskapostikansio. Joskus sähköpostit päätyvät sinne vahingossa."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Kirjoititko sähköpostiosoitteesi oikein? Annoit osoitteeksi %s ; jos se on väärä, et tule saamaan sähköpostia."
"all","kaikki"
"none","ei mikään"
"blog","blogi"
"user","käyttäjä"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Tervehdys Järjestelmänvalvoja! Rekisteröintiasetukset ovat nyt moodissa \"%s\". Voit muuttaa tai poistaa rekisteröintiasetuksia <a href=\"%s\">Asetukset-sivulla</a>."
"Registration has been disabled.","Rekisteröitymistä ei tällä hetkellä sallita."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","<a href=\"%s\">Kirjaudu sisään</a>, niin voit luoda uuden sivuston."
"User registration has been disabled.","Käyttäjärekisteröintiä ei tällä hetkellä sallita."
"Site registration has been disabled.","Sivustojen rekisteröintiä ei tällä hetkellä sallita."
"Sorry, new registrations are not allowed at this time.","Pahoittelut, uusia rekisteröintejä ei oteta juuri nyt vastaan."
"You are logged in already. No need to register again!","Olet jo kirjautunut sisään. Sinun ei tarvitse rekisteröityä uudestaan!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Etsimääsi sivustoa <strong>%s</strong> ei ole olemassa, mutta voit luoda sen nyt!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Etsimääsi sivustoa <strong>%s</strong> ei ole olemassa.</em></p>"
"Learn word","muista sana"
"Insert Page Break","Lisää sivunvaihto"
"Types","tyypit"
"Lower alpha","pienet kirjaimet"
"Lower greek","pienet kreikkalaisaakkoset"
"Lower roman","Pienet roomalaiset numerot"
"Upper alpha","Isot kirjaimet"
"Upper roman","Isot roomalaiset numerot"
"Circle","ympyrä"
"Disc","Ympyrä"
"Square","neliö"
"Rich Text Area","Muotoiltu teksti"
"Words:","Sanoja:"
"Styles","Tyylit"
"Font size","Fontin koko"
"Font family","Fontin tyyli"
"Format","Muoto"
"Paragraph","kappale"
"Div","div"
"Address","Osoite"
"Preformatted","Esimuotoiltu"
"Heading 1","Otsikko 1"
"Heading 2","Otsikko 2"
"Heading 3","Otsikko 3"
"Heading 4","Otsikko 4"
"Heading 5","Otsikko 5"
"Heading 6","Otsikko 6"
"Blockquote","Lainaus"
"Code","Koodi"
"Code sample","Mallikoodi"
"Definition term","Määritelmä"
"Definition description","Määritelmän kuvaus"
"Underline","Alleviivaus"
"Strikethrough (Alt + Shift + D)","Yliviivaus (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Tasaa vasemmalle (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Siirrä keskelle (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Tasaa oikealle (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Tasaa molemmat reunat (Alt + Shift + J)"
"Outdent","Vähennä sisennystä"
"Indent","Sisennä"
"Undo (Ctrl + Z)","Kumoa (Ctrl + Z)"
"Redo (Ctrl + Y)","Toista (Ctrl + Y)"
"Cleanup messy code","Siisti virheellinen koodi"
"Edit HTML Source","Muokkaa HTML koodia"
"Subscript","Alaviite"
"Superscript","Yläviite"
"Insert horizontal ruler","Lisää vaakaviiva"
"Remove formatting","Poista muotoilut"
"Select text color","Valitse tekstin väri"
"Select background color","Valitse tausta väri"
"Insert custom character","Lisää erikoismerkki"
"Toggle guidelines/invisible elements","Vaihda suuntaviivat/näkymättömät elementit"
"Insert/edit anchor","Lisää ankkuri / Ankkurin ominaisuudet"
"Cut","Leikkaa"
"Copy","Kopioi"
"Paste","Liitä"
"Image properties","Kuvan ominaisuudet"
"New document","Uusi tiedosto"
"Help","Ohje"
"Path","Polku"
"Are you sure you want to clear all contents?","Haluatko varmasti poistaa kaiken sisällön?"
"Accessibility Help","Saavutettavuuden ohje"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Työkalupalkki: paina ALT F10. Ohje: Paina ALT 0."
"Toolbar","työkalupalkki"
"About TinyMCE","Tietoja TinyMCE:stä"
"About","Tietoja"
"License","Lisenssi"
"Plugins","Lisäosat"
"Plugin","Lisäosa"
"Author","Kirjoittaja"
"Version","Versio"
"Loaded plugins","Ladatut lisäosat"
"Anchor name","Ankkurin nimi"
"HTML Source Editor","HTML-koodin muokkaus"
"Word wrap","Automaattinen rivitys"
"Select a color","Valitse väri"
"Picker","Valitsin"
"Color picker","Värivalitsin"
"Palette","Paletti"
"Palette colors","Paletin värit"
"Named","Nimetyt"
"Named colors","Nimetyt värit"
"Color:","Väri:"
"Name:","Nimi:"
"Select custom character","Valitse lisättävä merkki"
"Use left and right arrows to navigate.","Navigoi vasemmalla ja oikealla nuolinäppäimellä."
"Image URL","Kuvan URL"
"Image description","Kuvaus"
"Image list","Kuvalista"
"Border","Reuna"
"Dimensions","Mitat"
"Vertical space","Välistys"
"Horizontal space","Rivipituus"
"Baseline","Perustasoon"
"Top","Ylös"
"Middle","Keskelle"
"Bottom","Alas"
"Text top","Tekstin ylälaitaan"
"Text bottom","Tekstin alalaitaan"
"Link URL","Linkin URL"
"Target","Kohde"
"Open link in the same window","Avaa linkki samassa ikkunassa"
"Open link in a new window","Avaa linkki uudessa ikkunassa"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","Antamasi osoite näyttää olevan sähköpostiosoite. Haluatko lisätä osoitteeseen vaaditun mailto:-etuliitteen?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","Syöttämäsi URL-osoite näyttäisi olevan linkki. Haluatko lisätä tarvittavan http://-etuliitteen?"
"Link list","Linkkilista"
"General Usage","Yleinen käyttö"
"General","Yleiset"
"Advanced","Edistyneet ominaisuudet"
"File/URL","Tiedosto/URL"
"List","Lista"
"Constrain proportions","Säilytä mittasuhteet"
"Type","Tyyppi"
"Name","Nimi"
"V-Space","Pystytason tila"
"H-Space","Vaakatason tila"
"Auto play","Automaattinen toisto"
"Loop","Silmukka"
"Show menu","Näytä valikko"
"Quality","Laatu"
"Scale","Skaalaa"
"Align","Tasaus"
"SAlign","SAlingn"
"Cache","Välimuisti"
"Hidden","Piilotettu"
"Controller","Ohjain"
"Kiosk mode","Kioski-tila"
"Play every frame","Toista jokainen ruutu"
"Target cache","Kohteen välimuisti"
"No correction","Ei korjausta"
"Enable JavaScript","Salli JavaScript"
"Start time","Aloitusaika"
"End time","Lopetusaika"
"Volume","Äänenvoimakkuus"
"Auto start","Automaattinen toisto"
"Enabled","Päällä"
"Fullscreen","Kokonäytön tila"
"Mute","Hiljennä"
"Stretch to fit","Venytä sopimaan"
"Windowless video","Ikkunaton video"
"Balance","Tasapaino"
"Default frame","Current position"
"Play count","Current position"
"Rate","Current position"
"UI Mode","Current position"
"Flash options","Flash-asetukset"
"QuickTime options","QuickTime-asetukset"
"Windows media player options","Windows Media Playerin asetukset"
"Real media player options","Real Media Player:in asetukset"
"Shockwave options","Shockwave-asetukset"
"Image status","Kuvan status"
"No java","Maintain aspect"
"Prefetch","Maintain aspect"
"Shuffle","Maintain aspect"
"Console","Maintain aspect"
"Num loops","Maintain aspect"
"Controls","Ohjainlaitteet"
"Progress","Sound"
"QT Src","Sound"
"Top left","Ylävasemmalle"
"Top right","Yläoikealle"
"Bottom left","Alavasemmalle"
"Bottom right","Alaoikealle"
"Flash video options","Flash-videon asetukset"
"Buffer","Scale mode"
"Start image","Scale mode"
"Default volume","Scale mode"
"Hidden GUI","Scale mode"
"HTML5 Video Options","HTML5-videoasetukset"
"Alternative source 1","Vaihtoehtoinen lähde 1"
"Alternative source 2","Vaihtoehtoinen lähde 2"
"Preload","Esilataus"
"Poster","Esikatselukuva"
"Source","Lähde"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Näytä/Piilota lisäasetukset (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Erota ote (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Lisää sivunvaihto (Alt + Shift + P)"
"More...","Lisää..."
"Next page...","Seuraava sivu..."
"Add Media","Lisää media"
"Add an Image","Lisää kuva"
"Add Video","Lisää video"
"Add Audio","Lisää ääni"
"Edit Gallery","Muokkaa galleriaa"
"Delete Gallery","Poista galleria"
"Distraction Free Writing mode (Alt + Shift + W)","Koko näytön kirjoitustila (Alt + Shift + W)"
"Edit Image","Muokkaa kuvaa"
"Delete Image","Poista kuva"
"Advanced Settings","Lisäasetukset"
"Size","Koko"
"Thumbnail","Pienoiskuva"
"Medium","Keskikokoinen"
"Full Size","Täysikokoinen"
"Current Link","Nykyinen linkki"
"Link to Image","Linkki kuvaan"
"Enter a link URL or click above for presets.","Syötä linkin URL tai käytä alla olevia asetuksia."
"Advanced Image Settings","Kuvan lisäasetukset"
"Width","Leveys"
"Height","Korkeus"
"Original Size","Alkuperäinen koko"
"CSS Class","CSS -luokka"
"Advanced Link Settings","Linkin lisäasetukset"
"Link Rel","Linkin rel"
"60%s","60 %s"
"70%s","70 %s"
"80%s","80 %s"
"90%s","90 %s"
"100%s","100 %s"
"110%s","110 %s"
"120%s","120 %s"
"130%s","130 %s"
"Caption","Kuvateksti"
"Alternative Text","Vaihtoehtoinen teksti"
"Rich Editor Help","Graafisen muokkaimen käyttöohje"
"Basics of Rich Editing","Muokkaimen käytön perusteet"
"Basics","Perustiedot"
"Advanced use of the Rich Editor","Graafisen muokkaimen edistynyt käyttö"
"Hotkeys","Pikanäppäimet"
"About the software","Tietoja ohjelmistosta"
"Rich Editing Basics","Graafisen muokkaimen käytön perusteet"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Graafinen muokkain</em> näyttää tekstisi muotoiltuna heti kirjoittaessasi. Muokkain tuottaa HTML-koodauksen itsenäisesti, jotta sinä voit keskittyä kirjoittamiseen. Kirjasintyylit, linkit ja kuvat näkyvät suunnilleen samoin kuin selaimissa."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPressissä on graafinen muokkain, joka toimii hyvin useimmissa nykyaikaisissa selaimissa. Muokkain on edistyksellinen, mutta sillä on myös rajoitteensa. Tekstin liittäminen muista tekstinkäsittelyohjelmista ei välttämättä toimi odotetulla tavalla. Jos et pidä graafisen muokkaimen toiminnasta, voit poistaa sen käytöstä oman käyttäjätunnuksesi asetuksissa. Asetukset löytyvät Käyttäjät-valikosta."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Graafista muokkainta käytettäessä yleisimmät pikanäppäimet toimivat kuten muissakin tekstimuokkaimissa. Esimerkiksi: Shift+Enter lisää rivinvaihdon, Ctrl+C = kopioi, Ctrl+X = leikkaa, Ctrl+Z = kumoaa, Ctrl+Y = tekee uudelleen, Ctrl+A = valitsee kaikki, jne. (Macintoshin käyttäjät käyttävät tietenkin Command-näppäintä Ctrl-näppäimen sijaan) Lue lisää pikanäppäimet -välilehdestä."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Mikäli et pidä graafisesta muokkaimesta, voit poistaa sen käytöstä oman profiilisi asetuksista. "
"Advanced Rich Editing","Muokkauksen lisätoiminnot &raquo;"
"Images and Attachments","Kuvat ja liitteet"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Muokkaimen työkalupalkissa on toiminto eri palvelimella olevan kuvan liittämiseksi. Jos tiedät kuvan osoitteen (URL), napsauta toiminnon kuvaketta ja syötä URL avautuneeseen ikkunaan."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.",""
"HTML in the Rich Editor","HTML-koodin käyttö graafisessa muokkaimessa"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.",""
"Pasting in the Rich Editor","Graafiseen muokkaimeen liittäminen"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.",""
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Sisällön liittäminen muista ohjelmista kuten Word tai Excel, tapahtuu parhaiten toiselta riviltä löytyvällä Liitä Wordista -painikkeella tai Teksti-tilaa käyttämällä."
"Writing at Full Speed","Kirjoita täydellä nopeudella"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Sen sijaan, että kurottaisit hiirtä kohti napsauttaaksesi työkalupalkkia, voit käyttää näitä oikonäppäimiä. Windows- ja Linux-järjestelmissä käytetään näppäimiä Alt+&lt;kirjain>. Macintosh-järjestelmissä käytetään Ctrl+&lt;kirjain>."
"Letter","Kirjain"
"Action","Toiminto"
"Select all","Valitse kaikki"
"Undo","Kumoa"
"Redo","Tee uudelleen"
"Bold","Lihavointi"
"Italic","Kursivointi"
"The following shortcuts use different access keys: Alt + Shift + letter.","Seuraavat oikonäppäimet käyttävät näppäinyhdistelmää: Alt + Shift +kirjain."
"Check Spelling","Tarkista oikeinkirjoitus"
"Align Left","Vasen tasaus"
"Justify Text","Tasaa teksti"
"Align Center","Keskitys"
"Strikethrough","Yliviivaus"
"Align Right","Oikea tasaus"
"Insert link","Lisää linkki"
"Remove link","Poista linkki"
"Quote","Lainaus"
"Insert Image","Lisää kuva"
"Distraction Free Writing mode","Koko näytön kirjoitustila"
"Insert More Tag","Erota ote"
"Insert Page Break tag","Lisää sivunvaihtoelementti"
"Editor width in Distraction Free Writing mode:","Muokkaimen leveys koko näytön kirjoitustilassa:"
"Wider","Leveämpi"
"Narrower","Kapeampi"
"Default width","Oletusleveys"
"Version:","Versio"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE on alustasta riippumaton web-pohjainen Javascriptillä toteutettu HTML WYSIWYG -editori, joka on julkaistu avoimena lähdekoodina %sLGPL</a>-lisenssillä\tMoxiecode Systems AB:n toimesta. Sillä voidaan muuntaa HTML TEXTAREA-kentät tai muut HTML-elementit muokattaviksi."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, kaikki oikeudet pidätetään."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Saadaksesi lisätietoja tästä ohjelmistosta, vieraile <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE:n verkkosivuilla</a>."
"Got Moxie?","Onko Moxieta?"
"Comments Feed","Kommenttien syöte"
"Edit This","Muokkaa"
"Edit comment","Muokkaa kommenttia"
"Edit Link","Muokkaa linkkiä"
"Use commas instead of %s to separate excluded categories.","Käytä pilkkua merkin %s sijaan poissuljettavien kategorioiden erotinmerkkinä."
"Previous Post","Edellinen artikkeli"
"Next Post","Seuraava artikkeli"
"Newer Comments &raquo;","Uudemmat kommentit &raquo;"
"&laquo; Older Comments","&laquo; Vanhemmat kommentit"
"This is the short link.","Tämä on pikalinkki."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Palvelimesi käyttää PHP-versiota %s, mutta WordPress %s vaatii vähintään version %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","PHP-asennuksestasi puuttuu vaadittu MySQL-laajennos."
"Maintenance","Ylläpitotila"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Sivustoa huolletaan ja se on hetken poissa käytöstä. Kokeile uudestaan minuutin kuluttua."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>VIRHE</strong>: <code>$table_prefix</code> <code>wp-config.php</code>-tiedostossa voi koostua vain numeroista, kirjaimista ja väliviivoista."
"The site you have requested is not installed properly. Please contact the system administrator.","Pyytämääsi sivustoa ei ole asennettu kunnolla. Ota yhteys järjestelmänvalvojaan."
"S_Sunday_initial","Su_Sunnuntai_initial"
"M_Monday_initial","Ma_Maanantai_initial"
"T_Tuesday_initial","Ti_Tiistai_initial"
"W_Wednesday_initial","Ke_Keskiviikko_initial"
"T_Thursday_initial","To_Torstai_initial"
"F_Friday_initial","Pe_Perjantai_initial"
"S_Saturday_initial","La_Lauantai_initial"
"number_format_thousands_sep"," "
"number_format_decimal_point",","
"Drop files to upload","Pudota siirrettävät tiedostot tähän"
"Upload Limit Exceeded","Tiedostokoon raja ylitetty"
"Drop files anywhere to upload","Pudota tiedostot tähän"
"Select Files","Valitse tiedostot"
"Maximum upload file size: %d%s.","Tiedostojen maksimikoko: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Selaimellasi ei voi siirtää suuria tiedostoja monen tiedoston siirtimellä. Käytä <a href=\"%s\" target=\"%s\">selaimen tiedostosiirrintä</a> yli 100MB kokoisille tiedostoille."
"Uploading","Siirretään"
"Dismiss Errors","Hylkää virheet"
"Error","Virhe"
"Deselect","Poista valinta"
"Caption this image&hellip;","Lisää kuvateksti&hellip;"
"Describe this video&hellip;","Kuvaile tätä videota&hellip;"
"Describe this audio file&hellip;","Kuvaile tätä äänitiedostoa&hellip;"
"Describe this media file&hellip;","Kuvaile tätä tiedostoa&hellip;"
"Attachment Details","Liitteen tiedot"
"Refresh","Päivitä"
"Delete Permanently","Poista pysyvästi"
"Alt Text","Vaihtoehtoinen teksti"
"Description","Kuvaus"
"Edit","Muokkaa"
"Clear","Tyhjennä"
"Attachment Display Settings","Liitteen esitystapa"
"Link To","Linkin kohde"
"Custom URL","Muu URL"
"Attachment Page","Liitteen sivu"
"Media File","Mediatiedosto"
"Large","Iso"
"Gallery Settings","Gallerian asetukset"
"Columns","Sarakkeet"
"Random Order","Satunnainen järjestys"
"No editor could be selected.","Muokkainta ei voitu ottaa käyttöön."
"Allowed Files","Sallitut tiedosto"
"Select","Valitse"
"%d selected","%d valittu"
"Drag and drop to reorder images.","Järjestä kuvat uudelleen raahaamalla ja pudottamalla."
"Upload Files","Siirrä tiedostoja"
"Upload Images","Siirrä kuvia"
"Media Library","Mediakirjasto"
"Insert Media","Lisää media"
"Create a new gallery","Luo uusi galleria"
"&#8592; Return to library","&#8592; Palaa kirjastoon"
"All media items","Kaikki mediatiedostot"
"No items found.","Kohteita ei löytynyt."
"Insert into page","Lisää sivulle"
"Insert into post","Lisää tekstiin"
"Uploaded to this page","Liitetty tähän sivuun"
"Uploaded to this post","Liitetty tähän artikkeliin"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Olet poistamassa tätä kohdetta pysyvästi.\n  Paina 'Peruuta' lopettaaksesi, tai 'OK' poistaaksesi kohteen."
"Insert from URL","URL-osoitteesta"
"Set Featured Image","Aseta artikkelikuva"
"Set featured image","Aseta artikkelikuva"
"Create Gallery","Luo galleria"
"&#8592; Cancel Gallery","&#8592; Peru galleria"
"Insert gallery","Lisää galleria"
"Update gallery","Päivitä galleria"
"Add to gallery","Lisää galleriaan"
"Add to Gallery","Lisää galleriaan"
"Reverse order","Käänteinen järjestys"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Vakio <code>VHOST</code> <strong>on vanhentunut</strong>. Käytä boolean-vakiota <code>SUBDOMAIN_INSTALL</code> tiedostossa wp-config.php aliverkkotunnuksen asennuksen käyttöön ottamiseksi. Käytä funktiota is_subdomain_install() tarkistaaksesi, onko kyseessä aliverkkotunnusasennus."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Vakioilla VHOST ja SUBDOMAIN_INSTALL on ristiriitaiset arvot.</strong> SUBDOMAIN_INSTALL:in arvo otetaan huomioon."
"The requested user does not exist.","Pyydettyä käyttäjää ei ole olemassa."
"That user does not exist.","Käyttäjää ei ole olemassa"
"<strong>ERROR</strong>: Site URL already taken.","<strong>VIRHE</strong>: Sivuston URL on jo käytössä."
"<strong>ERROR</strong>: problem creating site entry.","<strong>VIRHE</strong>: sivuston luonti ei onnistunut."
"Only lowercase letters (a-z) and numbers are allowed.","Vain pienet kirjaimet (a-z) ja numerot ovat sallittuja."
"Please enter a username.","Kirjoita käyttäjänimi."
"That username is not allowed.","Käyttäjänimi ei kelpaa."
