"New password","Nova lozinka"
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> je vaša nova web stranica. <a href=\"%s\">Prijavite se</a> kao &#8220;%s&#8221; koristeći vašu postojeću lozinku."
"Get your own %s account in seconds","Nabavite svoj vlastiti %s račun u par sekundi"
"Gimme a site!","Daj mi Web stranicu!"
"Just a username, please.","Samo korisničko ime, molim."
"Next","Sljedeće"
"%s is your new username","%s je tvoje novo korisničko ime"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Ali, prije nego što počnete koristiti vaš novo korisničko ime, <strong>morate ga aktivirati</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Provjerite svoju dolaznu poštu u <strong>%s</strong> i kliknite na dobiven link."
"If you do not activate your username within two days, you will have to sign up again.","Ako ne aktivirate svoje korisničko ime unutar dva dana, morati ćete se ponovno registrirati."
"Signup","Registracija"
"Congratulations! Your new site, %s, is almost ready.","Čestitamo! Vaša nova web stranica, %s, još malo pa je spremna."
"But, before you can start using your site, <strong>you must activate it</strong>.","Ali, prije nego što počnete koristiti vašu web stranicu, <strong>morate ju aktivirati</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Ako ne aktivirate svoju web stranicu unutar dva dana, morati ćete se ponovno registrirati."
"Still waiting for your email?","Još čekate svoj poruku e-pošte?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Ako još niste primili vašu poruku e-pošte, možete učiniti nešto od ovog:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Pričekajte još malo. Ponekad slanje e-pošte može biti oduženo zbog procesa koji su izvan naše kontrole."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Provjerite mapu smeća ili spama vašeg klijenta e-pošte. Ponekad poruke e-pošte slučajno tamo završe."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Jeste li točno upisali adresu svoje e-pošte? Upisali ste %s, ako je to netočno, nećete primiti vaš e-poštu."
"all","sve"
"none","ništa"
"user","korisnik"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Dobrodošao Administratoru Stranice! Trenutno dopuštate &#8220;%s&#8221; registracije. Za promjenu ili onesposobljavanje registracija, pođite na <a href=\"%s\">stranicu Opcija</a>."
"Registration has been disabled.","Registracija je onemogućena."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Prvo se morate <a href=\"%s\">prijaviti</a>, i onda možete kreirati novi sajt."
"User registration has been disabled.","Registracija novih korisnika trenutno nije moguća."
"Site registration has been disabled.","Registracija sajta trenutno nije moguća."
"Sorry, new registrations are not allowed at this time.","Žalim, nove registracije nisu dopuštene trenutno."
"You are logged in already. No need to register again!","Već ste se prijavili. Nema potrebe za ponovnim registriranjem!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Web stranica koju tražite, <strong>%s</strong> ne postoji, ali ju sad možete kreirati!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Web stranica koju tražite, <strong>%s</strong>, ne postoji.</em></p>"
"Learn word","Nauči riječ"
"Insert Page Break","Unesi prijelom stranice"
"Types","Tipovi"
"Lower alpha","Mala alfanumerička"
"Lower greek","Mala grčka"
"Lower roman","Mala rimska"
"Upper alpha","Velika alfanumerička"
"Upper roman","Velika rimska"
"Circle","Krug"
"Disc","Disk"
"Square","Kvadrat"
"Rich Text Area","Područje Obogaćenog teksta"
"Words:","Riječi:"
"Styles","Stilovi"
"Font size","Veličina slova"
"Font family","Skupina fonta"
"Format","Oblik"
"Paragraph","Odlomak"
"Address","Adresa"
"Preformatted","Predoblikovano"
"Heading 1","Naslov 1"
"Heading 2","Naslov 2"
"Heading 3","Naslov 3"
"Heading 4","Naslov 4"
"Heading 5","Naslov 5"
"Heading 6","Naslov 5"
"Blockquote","Citat odlomak"
"Code","Kod"
"Code sample","Uzorak koda"
"Definition term","Izraz definicije"
"Definition description","Opis definicije"
"Underline","Podcrtano"
"Strikethrough (Alt + Shift + D)","Precrtano (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Poravnaj lijevo (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Centriraj (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Poravnaj desno (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Poravnaj po oba ruba (Alt + Shift + J)"
"Outdent","Izvuci"
"Indent","Uvuci"
"Undo (Ctrl + Z)","Poništi (Ctrl + Z)"
"Redo (Ctrl + Y)","Vrati poništenu radnju (Ctrl + Y)"
"Cleanup messy code","Počisti neuredan kod"
"Edit HTML Source","Uredi HTML izvor"
"Subscript","Index"
"Superscript","Eksponent"
"Insert horizontal ruler","Unesi vodoravno ravnalo"
"Remove formatting","Ukloni oblikovanje"
"Select text color","Odaberi boju teksta"
"Select background color","Odaberi boju pozadine"
"Insert custom character","Unesi proizvoljni simbol"
"Toggle guidelines/invisible elements","Prikaži/sakrij vodilice/nevidljive elemente"
"Insert/edit anchor","Unesi/uredi sidro"
"Cut","Izreži"
"Copy","Kopiraj"
"Paste","Zalijepi"
"Image properties","Obilježja slike"
"New document","Novi dokument"
"Help","Pomoć"
"Path","Putanja"
"Are you sure you want to clear all contents?","Jeste li sigurni da želite obrisati sav sadržaj?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Skoči na alatne gumbe - Alt+Q, Skoči na uređivanje - Alt-Z, Skoči na putanju elementa - Alt-X"
"Accessibility Help","Pomoć Pristupačnosti"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Pritisni ALT F10 za alatnu traku. Pritisni ALT 0 za pomoć."
"Toolbar","Alatna traka"
"About TinyMCE","O TinyMCE"
"About","O nama"
"License","Licenca"
"Plugins","Dodaci"
"Plugin","Dodatak"
"Author","Autor"
"Version","Inačica"
"Loaded plugins","Učitani dodaci"
"Anchor name","Ime sidra"
"HTML Source Editor","Uređivanje HTML koda"
"Word wrap","Razvuci tekst"
"Select a color","Odaberi boju"
"Picker","Odabir"
"Color picker","Odabir boje"
"Palette","Paleta"
"Palette colors","Paleta boja"
"Named","Imenovano"
"Named colors","Imenovane boje"
"Color:","Boja:"
"Name:","Ime:"
"Select custom character","Odaberi znak"
"Use left and right arrows to navigate.","Koristite lijevu i desnu strelicu za navigaciju."
"Image URL","URL slike"
"Image description","Opis slike"
"Image list","Popis slika"
"Border","Obrub"
"Dimensions","Dimenzije"
"Vertical space","Okomiti razmak"
"Horizontal space","Vodoravni razmak"
"Baseline","Bazna linija (dno)"
"Top","Vrh"
"Middle","Sredina"
"Bottom","Dno"
"Text top","Vrh teksta"
"Text bottom","Dno teksta"
"Link URL","URL poveznice"
"Target","Odredište"
"Open link in the same window","Otvori poveznicu u istom prozoru"
"Open link in a new window","Otvori poveznicu u novom prozoru"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","Čini se da je uneseni URL zapravo adresa e-pošte - želite li dodati obavezni prefiks mailto:?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","Čini se da je uneseni URL vanjska poveznica - želite li dodati obavezno prefiks http://?"
"Link list","Popis poveznica"
"General Usage","Općenita Uporaba"
"General","Općenito"
"Advanced","Napredno"
"File/URL","Datoteka/URL"
"List","Popis"
"Constrain proportions","Ograniči proporcije"
"Type","Tip"
"Id","ID"
"Name","Ime"
"V-Space","V-Razmak"
"H-Space","H-Razmak"
"Auto play","Automatska reprodukcija"
"Loop","Petlja"
"Show menu","Pokaži izbornik"
"Quality","Kvaliteta"
"Scale","Dimenzioniraj"
"Align","Poravnaj"
"SAlign","Poravnanje filma"
"Base","Osnovica"
"Cache","Privremena memorija"
"Hidden","Skriveno"
"Controller","Kontrola"
"Kiosk mode","Kiosk način rada"
"Play every frame","Pusti svaki kadar"
"Target cache","Ciljana privremena memorija"
"No correction","Nema ispravke"
"Enable JavaScript","Omogući JavaScript"
"Start time","Početno vrijeme"
"End time","Završno vrijeme"
"Choke speed","Brzina zagušenja"
"Volume","Glasnoća"
"Auto start","Automatski početak"
"Enabled","Uključeno"
"Fullscreen","Cijeli Zaslon"
"Invoke URLs","Pozovi URL-ove"
"Mute","Isključi zvuk"
"Stretch to fit","Rastegni do rubova"
"Windowless video","Video bez prozora"
"Balance","Balans"
"Base URL","URL osnovice"
"Captioning id","ID okvira"
"Current marker","Trenutna oznaka"
"Current position","Trenutna pozicija"
"Default frame","Zadani okvir"
"Play count","Broj gledanja"
"Rate","Ocijeni"
"UI Mode","UI način rada"
"Flash options","Flash opcije"
"QuickTime options","QuickTime opcije"
"Windows media player options","Opcije Windows media playera"
"Real media player options","Opcije Real media playera"
"Shockwave options","Shockwave opcije"
"Auto goto URL","Automatski idi na URL"
"Image status","Status slike"
"Maintain aspect","Zadrži omjer"
"No java","Bez jave"
"Prefetch","Učitavanje unaprijed"
"Shuffle","Izmiješaj"
"Console","Konzola"
"Num loops","Broj ponavljanja"
"Controls","Kontrole"
"Script callbacks","Callback skripte"
"Stretch style","Stil razvlačenja"
"Stretch H-Align","Rastegnuto okomito poravnanje"
"Stretch V-Align","Rastegnuto vodoravno poravnanje"
"Sound","Zvuk"
"Progress","Napredak"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Stream rtsp izvora dodat će se QT Src polju ispod kartice napredno."
"Top left","Gore lijevo"
"Top right","Gore desno"
"Bottom left","Dolje lijevo"
"Bottom right","Dolje lijevo"
"Flash video options","Opcije flash videa"
"Scale mode","Način dimenzioniranja"
"Buffer","Međuspremnik"
"Start image","Početna slika"
"Default volume","Zadana glasnoća"
"Hidden GUI","Skriven GUI"
"Show scale modes","Prikaži načine dimenzioniranja"
"Smooth video","Uglađen video"
"HTML5 Video Options","HTML5 Video Opcije"
"Alternative source 1","Alternativni izvor 1"
"Alternative source 2","Alternativni izvor 2"
"Preload","Predučitavanje"
"Source","Izvor"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Sakrij/Pokaži Naprednu Alatnu Traku (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Unesi oznaku Više... (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Unesi prijelom Stranice (Alt + Shift + P)"
"More...","Više..."
"Next page...","Sljedeća stranica..."
"Add Media","Dodaj medijsku datoteku"
"Add an Image","Dodaj sliku"
"Add Video","Dodaj video"
"Add Audio","Dodaj audio"
"Edit Gallery","Uredi Galeriju"
"Delete Gallery","Izbriši Galeriju"
"Distraction Free Writing mode (Alt + Shift + W)","Režim Pisanja Bez Ometanja (Alt + Shift + W)"
"Edit Image","Uredi Sliku"
"Delete Image","Izbriši Sliku"
"Advanced Settings","Napredne Postavke"
"Size","Veličina"
"Thumbnail","Minijatura"
"Medium","Srednja"
"Full Size","Puna veličina"
"Current Link","Trenutna Poveznica"
"Link to Image","Veza prema Slici"
"Enter a link URL or click above for presets.","Unesi URL poveznice ili klikni iznad za pred-postavke."
"Advanced Image Settings","Napredne postavke slike"
"Width","Širina"
"Height","Visina"
"Original Size","Izvorna veličina"
"CSS Class","CSS klasa"
"Advanced Link Settings","Napredne Postavke Poveznica"
"Link Rel","Poveznica Rel"
"Caption","Okvir"
"Alternative Text","Alternativni Tekst"
"Rich Editor Help","Pomoć za uređivanje obogaćenog teksta"
"Basics of Rich Editing","Osnove uređivanja obogaćenog teksta"
"Basics","Osnove"
"Advanced use of the Rich Editor","Napredna upotreba Obogaćenog uređivanja (Rich Editor)"
"Hotkeys","Tipke prečaca"
"About the software","O softveru"
"Rich Editing Basics","Osnove Obogaćenog uređivanja"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Obogaćeno uređivanje (Rich editing)</em>, poznato i kao WYSIWYG, kratica za What You See Is What You Get (što vidiš to i dobiješ), znači da se tekst oblikuje onako kako ga unosite. Obogaćeno uređivanje (rich editor) u pozadini stvara odgovarajuće HTML kodove, dok se vi usredotočujete na pisanje. Stilovi fontova, poveznice i slike pojavljuju se u obliku najsličnije onom u kojem ćete ih vidjeti na Internetu."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress sadrži prošireni HTML uređivač koji radi dobro u svim glavnim pretraživačima koji se danas koriste. Međutim, HTML uređivanje nije isto kao tipkanje teksta. Svaka web stranica ima dvije glavne komponente: strukturu koja je u stvari HTML kod, kojeg stvarate putem uređivača dok tipkate, i način prikazivanja kojeg određuje trenutno odabrana WordPress tema, a kojeg definirate u style.css. WordPress kreira ispravni XHTML 1.0 što znači da unošenje više praznih linija (BR oznake) nakon paragrafa neće rezultirati u praznim prostoru na web stranicama. Interne HTML funkcije ispravki ukloniti će BR oznake kao nevaljane."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Dok koristite uređivač, većina osnovnih prečaca na tipkovnici funkcionira kao i u bilo kojem drugom programu uređivanja teksta. Primjerice: Shift+Enter umeće završetak retka, Ctrl+C = kopiraj, Ctrl+X = izreži, Ctrl+Z = poništi radnju, Ctrl+Y = vrati radnju, Ctrl+A = odaberi sve, itd. (na Macu koristite tipku Command umjesto Ctrl). Za sve dostupne prečace na tipkovnici, pogledajte karticu Tipke prečaci (Hotkeys)."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Ukoliko vam nije po volji način na koji uređivanje obogaćenog teksta radi, možete ga isključiti putem podizbornika Vaš profil, pod Korisnici u izborniku administratora."
"Advanced Rich Editing","Napredno obogaćeno uređivanje"
"Images and Attachments","Slike i Privitci"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","U alatnoj traci uređivača (editora) nalazi se gumb za unošenje slika koje se već nalaze negdje na Internetu. Imate li URL željene slike, kliknite taj gumb i u okviru koji će se pojaviti upišite taj URL."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Ukoliko trebate prenijeti datoteku slike ili zvuka s vašeg računala, možete upotrijebiti gumb Medijska Zbirka koji se nalazi iznad uređivača. Kad prenesete sliku, alat će pokušati kreirati njezinu minijaturu. Za unošenje prenijete slike u post, prvo kliknite na minijaturu kako bi se pokazao izbornik opcija. Kad odaberete opcije koje vam odgovaraju, kliknite na \"Unesi u post\", i vaša slika ili datoteka prikazat će se u postu kojeg uređujete."
"HTML in the Rich Editor","HTML u Obogaćenom uređivanju (Rich Editoru)"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Svaki HTML kod unesen izravno u obogaćeno uređivanje, prikazat će se kao tekst kad se post pregledava. Što vidite to i dobijete. Kad želite uključiti HTML elemente koji ne mogu biti generirani pomoću gumba na alatnoj traci, HTML morate unijeti ručno u Tekstualnom uređivaču. Primjeri su tablice i &lt;kod&gt;. Da biste to izveli, kliknite Tekst karticu i uredite kod, a potom se vratite u Vizualni način rada. Ukoliko je kod ispravno napisan i uređivač ga razumije, rezultat biste trebali vidjeti odmah."
"Pasting in the Rich Editor","Lijepljenje u Obogaćenom uređivanju"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Pokušate li zalijepiti sadržaj kopiran s druge web stranice, rezultati se mogu razlikovati i ovise o vašem pregledniku, kao i o web stranici s koje preuzimate željeni sadržaj. Uređivač će pokušati ispraviti greške u zalijepljenom HTML kodu, ali za najbolje rezultate pokušajte koristiti Tekst karticu ili jedan od gumba za lijepljenje, koji se nalaze u drugom redu. Možete pokušati i tako da lijepite odlomak po odlomak. U većini preglednika dovoljno je kliknuti triput na željeni odlomak, da bi odabrali samo taj odlomak."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Lijepljenje sadržaja iz druge aplikacija, poput Worda ili Excela, najbolje je uraditi pomoću gumba Zalijepi iz Worda u drugom redu, ili u Tekstualnom načinu rada."
"Writing at Full Speed","Pisanje punom brzinom"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Umjesto da svaki put posežete za mišem radi klikanja na alatnu traku, upotrijebite ove kombinacije tipki. Windows i Linux koriste Ctrl + slovo. Macintosh koristi Command + slovo."
"Letter","Slovo"
"Action","Radnja"
"Select all","Odaberi sve"
"Undo","Poništi"
"Redo","Vrati poništenu radnju"
"Bold","Podebljano"
"Italic","Kurziv"
"The following shortcuts use different access keys: Alt + Shift + letter.","Sljedeći prečaci koriste različite pristupne kombinacije: Alt + Shift + slovo."
"Check Spelling","Provjeri pravopis"
"Align Left","Poravnaj lijevo"
"Justify Text","Poravnaj po oba ruba"
"Align Center","Centriraj"
"Strikethrough","Precrtano"
"Align Right","Poravnaj desno"
"Insert link","Unesi Poveznicu"
"Remove link","Ukloni poveznicu"
"Quote","Citat"
"Insert Image","Unesi Sliku"
"Distraction Free Writing mode","Režim Pisanja Bez Ometanja"
"Insert More Tag","Unesi oznaku Više..."
"Insert Page Break tag","Unesi oznaku Prijelom Stranice"
"Editor width in Distraction Free Writing mode:","Širina Uređivača u režimu pisanja bez ometanja:"
"Wider","Šire"
"Narrower","Uže"
"Default width","Zadana širina"
"Version:","Inačica:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE je platformski neovisan web baziran Javascript HTML WYSIWYG (što vidiš, to i dobiješ) uređivač, izdan po pravilima Otvorenog koda (Open Source) i licencom %sLGPL</a>\tod strane Moxiecode Systems AB. Može pretvarati HTML TEXTAREA polja ili druge HTML elemente u elemente koje uređivač prepoznaje."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Sva prava pridržana."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Za dodatne informacije o ovom softveru, posjetite <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE web stranice</a>."
"Got Moxie?","Imate li Moxie?"
"Comments Feed","Kanal Komentara"
"Edit This","Uredi ovo"
"Edit comment","Uredi komentar"
"Edit Link","Uredi Poveznicu"
"Use commas instead of %s to separate excluded categories.","Koristite zareze umjesto %s za odvajanje izdvojenih kategorija."
"Previous Post","Prethodni post"
"Next Post","Sljedeći post"
"Newer Comments &raquo;","Noviji komentari &raquo;"
"&laquo; Older Comments","&laquo; Stariji komentari"
"This is the short link.","Ovo je kratka poveznica."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Vaš poslužitelj koristi PHP u inačici %s ali WordPress %s2%s traži najmanje inačicu %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Vašoj PHP instalaciji izgleda nedostaje ekstenzija MySQL, neophodna za WordPress."
"Maintenance","Održavanje"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Nakratko nedostupno za tempirano održavanje. Provjerite za minutu."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>POGREŠKA</strong>: <code>$table_prefix</code> u <code>wp-config.php</code> može sadržavati samo brojeve, slova, i znak \"_\"."
"The site you have requested is not installed properly. Please contact the system administrator.","Web stranica koju ste tražili nije pravilno instalirana. Molim javite sistem administratoru."
"S_Sunday_initial","N"
"M_Monday_initial","P"
"T_Tuesday_initial","U"
"W_Wednesday_initial","S"
"T_Thursday_initial","Č"
"F_Friday_initial","P"
"S_Saturday_initial","S"
"Drop files to upload","Ispustite datoteke za prijenos"
"Upload Limit Exceeded","Limit Prijenosa je Prevršen"
"Drop files anywhere to upload","Ispustite datoteke bilo gdje za prijenos."
"Select Files","Odaberi Datoteke"
"Maximum upload file size: %d%s.","Najveća dopuštena veličina prijenosa datoteke: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Vaš preglednik ima limit pri prijenosu velikih datoteka sa višestrukim prijenosnikom. Molim upotrijebite <a href=\"%s\" target=\"%s\">prijenosnik preglednika</a> za datoteke veće od 100MB."
"Uploading","Prijenos"
"Dismiss Errors","Zanemari Greške"
"Error","Pogreška"
"Deselect","Odznači"
"Caption this image&hellip;","Opišite ovu sliku&hellip;"
"Describe this video&hellip;","Opišite ovaj video&hellip;"
"Describe this audio file&hellip;","Opišite ovu audio datoteku&hellip;"
"Describe this media file&hellip;","Opišite ovu media datoteku&hellip;"
"Attachment Details","Detalji Privitka"
"Refresh","Osvježi"
"Delete Permanently","Trajno Izbrisati"
"Alt Text","Alt Tekst"
"Description","Opis"
"Edit","Uredi"
"Clear","Obriši"
"Attachment Display Settings","Postavke Prikaza Privitka"
"Link To","Poveznica za"
"Custom URL","Prilagođeni URL"
"Attachment Page","Stranica Privitka"
"Media File","Media Datoteka"
"Large","Velika"
"Gallery Settings","Postavke galerije"
"Columns","Stupci"
"Random Order","Nasumičan Redoslijed"
"No editor could be selected.","Uređivač nije mogao biti odabran."
"Allowed Files","Dopuštene Datoteke"
"Select","Odaberi"
"%d selected","odabrano: %d"
"Drag and drop to reorder images.","Povuci i ispusti za reorganizaciju slika."
"Upload Files","Prijenos Datoteka"
"Upload Images","Prijenos Slika"
"Media Library","Medijska Zbirka"
"Insert Media","Unesi Medij"
"Create a new gallery","Kreiraj novu galeriju"
"&#8592; Return to library","&#8592; Povratak u medijsku zbirku"
"All media items","Sve media stavke"
"No items found.","Nije pronađena nijedna stavka."
"Insert into page","Unesi u stranicu"
"Insert into post","Unesi u post"
"Uploaded to this page","Prenijeto na ovu stranicu"
"Uploaded to this post","Prenijeto u ovaj post"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Trajno ćete izbrisati ovu stavku.\n 'Cancel' za prekid, 'OK' za brisanje."
"Insert from URL","Dodaj s URL-a"
"Set Featured Image","Postavi Istaknutu Sliku"
"Set featured image","Postavi istaknutu sliku"
"Create Gallery","Kreiraj Galeriju"
"&#8592; Cancel Gallery","&#8592; Otkaži Galeriju"
"Insert gallery","Unesi galeriju"
"Update gallery","Ažuriraj galeriju"
"Add to gallery","Dodaj u galeriju"
"Add to Gallery","Dodaj u Galeriju"
"Reverse order","Obrnuti redoslijed"
