"New password","סיסמה חדשה"
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","<br />ארבעה תווים לפחות, עם אותיות וספרות בלבד. אי אפשר לשנות את זה בהמשך, אז כדאי להקדיש לזה קצת מחשבה."
"Site Title:","שם האתר:"
"Privacy:","נראות:"
"Allow search engines to index this site.","אפשר למנועי חיפוש לאנדקס את האתר."
"Yes","כן"
"No","לא"
"(Must be at least 4 characters, letters and numbers only.)","ארבעה תווים לפחות, עם אותיות וספרות בלבד."
"Email&nbsp;Address:","אימייל:"
"We send your registration email to this address. (Double-check your email address before continuing.)","פרטי ההתחברות ישלחו לאימייל הזה. לפני השלב הבא יש לוודא שהכתובת נכונה."
"Get <em>another</em> %s site in seconds","%s - לפתוח אתר חדש"
"There was a problem, please correct the form below and try again.","ארעה שגיאה. יש לתקן את השגיאה המודגשת ולנסות שנית."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","שלום, %s. עם הטופס בהמשך העמוד אפשר <strong>לפתוח אתר נוסף</strong>. אין גבול לכמות האתרים שאפשר לפתוח."
"Sites you are already a member of:","האתרים שלך:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","אם יש לך כתובת טובה שלא נמצאת בשימוש, אפשר לפנות אותה לטובת משתמשים אחרים."
"Create Site","לפתוח אתר"
"The site %s is yours.","פתחת את האתר %s."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> הוא האתר החדש שלך. <a href=\"%s\">התחבר</a> תחת &#8220;%s&#8221; עם הסיסמה שלך."
"Get your own %s account in seconds","%s - ליצור חשבון חדש"
"Gimme a site!","אני רוצה אתר!"
"Just a username, please.","רק שם משתמש, בבקשה."
"Next","לשלב הבא"
"%s is your new username","שם המשתמש החדש שלך הוא %s"
"But, before you can start using your new username, <strong>you must activate it</strong>.","לפני שאפשר יהיה להתחבר לחשבון החדש שלך,  <strong>צריך  להפעיל אותו</strong>. "
"Check your inbox at <strong>%s</strong> and click the link given.","נשלח אימייל לכתובת <strong>%s</strong> עם קישור הפעלה."
"If you do not activate your username within two days, you will have to sign up again.","אם החשבון לא יופעל בתוך יומיים, ההרשמה תבוטל - אבל תמיד אפשר להתחיל את ההרשמה מחדש."
"Signup","להרשם"
"Congratulations! Your new site, %s, is almost ready.","האתר החדש שלך, %s, כמעט מוכן לשימוש."
"But, before you can start using your site, <strong>you must activate it</strong>.","לפני שאפשר יהיה להשתמש באתר שלך, <strong>צריך  להפעיל אותו</strong>. "
"If you do not activate your site within two days, you will have to sign up again.","אם האתר לא יופעל בתוך יומיים, ההרשמה תבוטל - אבל תמיד אפשר להתחיל את ההרשמה מחדש."
"Still waiting for your email?","עדיין מחכה לאימייל?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","אם האימייל עדיין לא הגיע, יש כמה דברים שאפשר לעשות:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","לחכות עוד קצת. אימיילים לפעמים מתעכבים בגללים דברים שמחוץ תהליכים שמחוץ לשליטתנו."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","יש לבדוק גם דואר זבל, לפעמים הודעות מגיעות לשם בטעות."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","אולי נפלה טעות באימייל שהזנת? הזנת את האימייל %s. אם זה לא האימייל שלך, ההודעה לא תגיע."
"all","פתוחה"
"none","סגורה"
"blog","פתוח לאתרים חדשים של משתמשים קיימים"
"user","פתוחה למשתמשים חדשים"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","ההרשמה לרשת %s.<br/>אפשר לשנות את הגדרות הרישום  <a href=\"%s\">בהגדרות הרשת</a>."
"Registration has been disabled.","ההרשמה לרשת סגורה כרגע."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","צריך <a href=\"%s\">להתחבר למערכת</a> כדי ליצור אתר חדש."
"User registration has been disabled.","אי אפשר לרשום משתמשים חדשים כרגע."
"Site registration has been disabled.","לא ניתן לפתוח אתרים חדשים."
"Sorry, new registrations are not allowed at this time.","ההרשמה סגורה כרגע."
"You are logged in already. No need to register again!","כבר התחברת למערכת - אין צורך להרשם מחדש."
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p>האתר שחיפשת, <strong>%s</strong> לא קיים. רוצה ליצור אותו בעצמך?</p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p>האתר שחיפשת, <strong>%s</strong> לא קיים.</p>"
"Learn word","לשמור את המילה"
"Insert Page Break","להוסיף מעבר עמוד"
"Types","סוגים"
"Lower alpha","אותיות קטנות"
"Lower greek","ספריות יווניות קטנות"
"Lower roman","ספרות רומיות קטנות"
"Upper alpha","אותיות לטיניות גדולות"
"Upper roman","ספרות רומיות גדולות"
"Circle","עיגול"
"Disc","עיגול ריק"
"Square","ריבוע"
"Rich Text Area","עריכה ויזואלית"
"Words:","מילים:"
"Styles","עיצוב"
"Font size","גודל גופן"
"Font family","גופנים"
"Format","סוג תוכן"
"Paragraph","פסקה רגילה"
"Address","כתובת"
"Preformatted","שבירת שורות ידנית (pre)"
"Heading 1","כותרת ברמה 1 (h1)"
"Heading 2","כותרת ברמה 2 (h2)"
"Heading 3","כותרת ברמה 3 (h3)"
"Heading 4","כותרת ברמה 4 (h4)"
"Heading 5","כותרת ברמה 5 (h5)"
"Heading 6","כותרת ברמה 6 (h6)"
"Blockquote","ציטוט (Blockquote)"
"Code","קוד"
"Code sample","דוגמת קוד"
"Definition term","מונח ברשימת הגדרות"
"Definition description","תיאור מונח ברשימת הגדרות"
"Underline","קו תחתי"
"Strikethrough (Alt + Shift + D)","קו חוצה (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","יישור לשמאל (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","יישור למרכז (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","יישור לימין (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","יישור לצדדים (Alt + Shift + J)"
"Outdent","להסיר ציטוט/להקטין כניסה"
"Indent","לצטט/להגדיל כניסה"
"Undo (Ctrl + Z)","ביטול פעולה (Ctrl + Z / Cmd + Z)"
"Redo (Ctrl + Y)","לבצע פעולה שבוטלה (Ctrl + Y)"
"Cleanup messy code","לנקות קוד מבולגן"
"Edit HTML Source","עריכת HTML"
"Subscript","כתב תחתי"
"Superscript","כתב עילי"
"Insert horizontal ruler","להכניס קו הפרדה אנכי"
"Remove formatting","להסיר עיצוב"
"Select text color","צבע הטקסט"
"Select background color","צבע הרקע"
"Insert custom character","להכניס תו מיוחד"
"Toggle guidelines/invisible elements","הצג/הסתר אלמנטים בלתי-נראים"
"Insert/edit anchor","הכנס/ערוך עוגן (a)"
"Cut","לחתוך"
"Copy","להעתיק"
"Paste","להדביק"
"Image properties","מאפייני תמונה"
"New document","מסמך חדש"
"Help","עזרה"
"Path","נתיב"
"Are you sure you want to clear all contents?","האם אתה בטוח שברצונך לנקות את התוכן?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","לעבור לכלים - Alt+Q, לעבור לעורך - Alt-Z, לעבור לנתיב - Alt-X"
"Accessibility Help","סיוע נגישות"
"Press ALT F10 for toolbar. Press ALT 0 for help.","הקיצור Alt+F10 מציג את סרגל הכלים. הקיצור Alt+0 מציג את מסך העזרה."
"Toolbar","סרגל כלים"
"About TinyMCE","אודות TinyMCE"
"About","אודות"
"License","רישיון"
"Plugins","תוספים"
"Plugin","תוסף"
"Author","מאת"
"Version","גרסה"
"Loaded plugins","תוספים פעילים"
"Anchor name","שם העוגן"
"HTML Source Editor","עורך קוד HTML"
"Word wrap","שבירת שורות"
"Select a color","בחר צבע"
"Picker","מכל הצבעים"
"Color picker","בחירת צבע"
"Palette","מפלטת צבעים"
"Palette colors","פלטת צבעים"
"Named","לפי שמות"
"Named colors","צבעים עם שמות"
"Color:","צבע:"
"Name:","שם"
"Select custom character","תו מיוחד"
"Use left and right arrows to navigate.","ניתן להשתמש בכפתורי החצים כדי לנווט ימינה ושמאלה."
"Image URL","כתובת URL לתמונה"
"Image description","תיאור תמונה"
"Image list","רשימת תמונות"
"Border","גבול"
"Dimensions","מידות"
"Vertical space","רווח אנכי"
"Horizontal space","רווח אופקי"
"Baseline","קו בסיס (baseline)"
"Top","למעלה"
"Middle","באמצע"
"Bottom","תחתית"
"Text top","בראש הטקסט"
"Text bottom","בתחתית הטקטס"
"Link URL","כתובת URL לקישור"
"Target","חלון (target)"
"Open link in the same window","לפתוח את הקישור באותו חלון"
"Open link in a new window","לפתוח את הקישור בחלון חדש"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","הכתובת שהוזנה נראית כמו כתובת אימייל. האם להוסיף לה את הקידומת \"mailto:\" (בלעדיה הקישור לא יעבוד)?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","הכתובת שהוזנה נראית כמו קישור חיצוני. האם להוסיף לה את  הקידומת \"http://\" (בלעדיה הקישור לא יעבוד)?"
"Link list","רשימת קישורים"
"General Usage","שימוש כללי"
"General","כללי"
"Advanced","אפשרויות נוספות"
"File/URL","קובץ/URL"
"List","רשימה"
"Constrain proportions","שמור על יחס גובה/רוחב"
"Type","סוג"
"Id","מספר (ID)"
"Name","שם"
"V-Space","רווח אנכי"
"H-Space","רווח אופקי"
"Auto play","להתחיל לנגן אוטומטית"
"Loop","לנגן בלי הפסקה"
"Show menu","הצג תפריט"
"Quality","איכות"
"Scale","קנה מידה"
"Align","יישור"
"SAlign","ליישר לשמאל"
"WMode","עורך קוד"
"Base","בסיס"
"Cache","מטמון"
"Hidden","מוסתר"
"Controller","בקר"
"Kiosk mode","מצב קיוסק"
"Play every frame","לנגן כל פריים"
"No correction","ללא תיקון"
"Enable JavaScript","JavaScript"
"Start time","זמן התחלה"
"End time","זמן סיום"
"Volume","עוצמת קול"
"Auto start","התחלה אוטומטית"
"Enabled","מופעל"
"Fullscreen","מסך מלא"
"Invoke URLs","לקרוא לכתובת URL"
"Mute","להשתיק"
"Stretch to fit","למתוח"
"Windowless video","וידאו ללא חלון"
"Balance","איזון (Balance)"
"Current marker","מרקר נוכחי"
"Current position","מיקום נוכחי"
"Default frame","מסגרת ברירת מחדל"
"Play count","מספר צפיות"
"Rate","קצב"
"UI Mode","מצב ממשק"
"Flash options","אפשרויות פלאש"
"QuickTime options","אפשרויות QuickTime"
"Windows media player options","אפשרויות Windows Media Player"
"Real media player options","אפשרויות Real Media"
"Shockwave options","אפשרויות Shockwave"
"Auto goto URL","מעבר אוטומטי לכתובת"
"Image status","מצב תמונה"
"Maintain aspect","שמור על יחס גובה/רוחב"
"No java","ללא ג'אווה"
"Shuffle","סדר אקראי"
"Controls","בקרים"
"Stretch style","סגנון מתיחה"
"Stretch H-Align","למתוח וליישר לרוחב"
"Stretch V-Align","למתוח וליישר לגובה"
"Sound","סאונד"
"Progress","התקדמות "
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","צריך להוסיף מקורות RTSP בסטרימינג לשדה QT Src תחת הלשונית &quot;אפשרויות נוספות&quot;"
"Top left","למעלה בצד שמאל"
"Top right","למעלה בצד ימין"
"Bottom left","למטה בצד שמאל"
"Bottom right","למטה בצד ימין"
"Flash video options","אפשרויות וידאו פלאש"
"Scale mode","שיטת מתיחה"
"Start image","תמונה ראשונית"
"Default volume","עוצמת קול ברירת מחדל"
"Hidden GUI","בקרים מוסתרים"
"Show scale modes","הצג שיטות מתיחה"
"Smooth video","וידאו חלק"
"HTML5 Video Options","אפשרויות לווידאו ב-HTML5"
"Alternative source 1","מקור חלופי 1"
"Alternative source 2","מקור חלופי 2"
"Poster","פוסטר"
"Source","מקור"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","הצג/הסתר סרגל כלים מורחב (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","המשך קריאה (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","מעבר עמוד (Alt + Shift + P)"
"More...","המשך&#8230;"
"Next page...","העמוד הבא..."
"Add Media","הוסף מדיה"
"Add an Image","הוסף תמונה"
"Add Video","הוסף וידאו"
"Add Audio","הוסף אודיו"
"Edit Gallery","הגדרות גלריה"
"Delete Gallery","מחק גלריה"
"Distraction Free Writing mode (Alt + Shift + W)","מסך מלא (Alt + Shift + W)"
"Edit Image","עריכת תמונה"
"Delete Image","מחק תמונה"
"Advanced Settings","אפשרויות נוספות"
"Size","גודל"
"Thumbnail","תמונה מוקטנת"
"Medium","בינוני"
"Full Size","גודל מלא"
"Current Link","קישור נוכחי"
"Link to Image","קישור לתמונה"
"Enter a link URL or click above for presets.","אפשר להזין קישור, או להשתמש באחד הקישורים הקבועים למעלה."
"Advanced Image Settings","אפשרויות תמונה נוספות"
"Width","רוחב"
"Height","גובה"
"Original Size","הגודל המקורי"
"Advanced Link Settings","אפשרויות קישור נוספות"
"Link Rel","קשר סמנטי (Rel)"
"Caption","כיתוב"
"Alternative Text","טקסט חלופי"
"Rich Editor Help","עזרה לעורך הוויזואלי"
"Basics of Rich Editing","מבוא לעורך הוויזואלי"
"Basics","אפשרויות בסיסיות"
"Advanced use of the Rich Editor","שימוש מתקדם בעורך הוויזואלי"
"Hotkeys","מקשי קיצור"
"About the software","אודות התוכנה"
"Rich Editing Basics","מבוא לעורך הוויזואלי"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>עורך ויזואלי</em>, שידועה גם בתור WYSIWYG (קיצור של \"מה שרואים זה מה שמקבלים\" באנגלית), מראה את הטקסט בחלון העריכה כפי שהוא יראה באתר. העורך הוויזואלי עובד על הקוד מאחורי הקלעים, ולך נשאר רק להתרכז בכתיבה. עיצובי אות, קישורים, ותמונות נראים בעורך כמעט אותו דבר כפי שהם יראו באתר אחרי הפרסום."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","וורדפרס כוללת עורך HTML ויזואלי שפועל בכל הדפדפנים המובילים. TinyMCE, עורך HTML ויזואלי שעובד היטב ברוב הדפדפנים הנפוצים. עם זאת, עריכת HTML שונה מעריכת טקסט במעבד תמלילים. לכל עמוד יש שני מרכיבים עיקריים - המבנה, שכולל את התוכן שתכתבי בעורך הוויזואלי, והעיצוב, שמוגדר על ידי ערכת העיצוב שלך. העורך הוויזואלי שולט על המבנה בלבד. מכיוון שוורדפרס מייצרת קוד XHTML תקני, אי אפשר לעקוף את הגדרות העיצוב באמצעות אלמנטיים מבניים. לכן, לדוגמה, הוספת מספר תגי שבירת שורת (BR) לא תיצור שורות ריקות - העורך ימחוק את תגי ה-BR הלא תקניים יחד עם תגים לא תקניים אחרים."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","בעת השימוש בעורך, רוב קיצורי המקלדת פועלים כמו בכל עורך טקסט אחר. לדוגמה - Shift+Enter מכניס שבירת שורה, Ctrl+C מעתיק, Ctrl+X חותך ו-Ctrl+V מדביק, Ctrl+Y מבצע מחדש את הפעולה האחרונה, Ctrl+A בוחר הכל, וכו' (במק, המקש Command משמש במקום המקש Ctrl). פירוט מלא של מקשי הקיצור נמצא תחת הלשונית &quot;קיצורי מקלדת&quot;."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","אפשר לכבות את העורך הוויזואלי ולהשתמש בעורך HTML רגיל בעמוד &quot;פרופיל&quot;, תחת &quot;משתמשים&quot;. עם זאת, העורך הרגיל לא מציע שמירה אוטומטית או הגנה מפני מחיקה של פוסטים ועמודים."
"Advanced Rich Editing","אפשרויות נוספות בעורך הוויזואלי"
"Images and Attachments","תמונות וקבצים מצורפים"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","בסרגל הכלים של העורך יש כפתור להוספת תמונות מהאינטרנט. אם יש לך כתובת URL של התמונה, אין צורך להעלות אותה לאתר, אפשר להכניס אותה ישר לפוסט."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","אם ברצונך להעלות תמונה או קובץ מדיה כלשהו מהמחשב שלך, באפשרותך להשתמש בכפתור ספריית מדיה מעל העורך. ספריית המדיה תיצור עותק של תמונה ממוזערת מכל תמונה שהועלתה. כדי להוסיף את התמונה לתוכן, יש ללחוץ על התמונה הממוזערת כדי לחשוף את התפריט האפשרויות. לאחר בחירת האפשרות בה הינך מעוניין, יש ללחוץ על \"להכניס לתוכן\" והתמונה או הקובץ תופיע בעורך הויזואלי."
"HTML in the Rich Editor","HTML בעורך הוויזואלי"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","כל HTML המוזן ישירות לעורך הויזואלי יופיע כטקסט כאשר יוצג באתר. כאשר ברצוננו להוסיף אלמנטים של HTML, לא ניתן להפיק אותם בעזרת הכפתורים בסרגל הכלים, יש להוסיף אותם ידנית דרך לשונית ה-HTML. לדוגמא טבלאות וכן &lt;code&gt;. על מנת לעשות זאת, יש להקליק על הלשונית HTML ולערוך את הקוד, ואז לחזור לעורך הויזואלי. אם הקוד תקני, הפלט אמור להיות מוצג באופן מיידי."
"Pasting in the Rich Editor","הדבקה בעורך העשיר"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","בעת הדבקת תוכן מדף אינטרנט אחר התוצאות יכולות להיות לא זהות ותלויות בדפדפן ובדף האינטרנט ממנו הועתק התוכן. העורך מנסה לתקן את הקוד הלא תקין שהודבק, אך כדי לקבל את התוצאה הטובה ביותר מומלץ להשתמש בלשונית הטקסט או אחד מכפתורי ההדבקה הנמצאים בשורה השנייה. לחלופין ניתן להדביק פסקה אחר פסקה. ברוב הדפדפנים, כדי לבחור פסקה אחת בכל פעם, לחצו עליו שלוש פעמים."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","הדבקת תכנים מתוכנות אחרות, כמו וורד או אקסל, נעשית בצורה מיטבית בעזרת הכפתור \"הדבק מוורד\" בשורה השנייה, או דרך עורך ה-HTML."
"Writing at Full Speed","מקשי קיצור חוסכים זמן"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","במקום להעביר את היד לעכבר כדי להשתמש בסרגל הכלים, אפשר להשתמש במקשי הקיצור האלה. בחלונות ובלינוקס, הקיצורים משתמשים במקשים Ctrl+(אות הקיצור). במקינטוש, הקיצורים משתמשים במקשים Command+(אות הקיצור)."
"Letter","אות"
"Action","פעולה"
"Select all","לסמן הכל"
"Undo","ביטול פעולה אחרונה"
"Redo","בצע שוב"
"Bold","מודגש (Bold)"
"Italic","נטוי (Italic)"
"The following shortcuts use different access keys: Alt + Shift + letter.","לקיצורים הבאים יש קיצורי מקלדת שונים: Alt + Shift + אות."
"Check Spelling","בדיקת איות"
"Align Left","יישור לשמאל"
"Justify Text","ליישר לצדדים"
"Align Center","יישור למרכז"
"Strikethrough","קו חוצה (מחיקה)"
"Align Right","יישר לימין"
"Insert link","להכניס קישור"
"Remove link","להסיר קישור"
"Quote","ציטוט"
"Insert Image","הוסף תמונה"
"Distraction Free Writing mode","כתיבה במסך מלא"
"Insert More Tag","להכניס תג המשך (&lt;!--more-->)"
"Insert Page Break tag","להכניס תג מעבר עמוד (&lt;!--page-->)"
"Editor width in Distraction Free Writing mode:","רוחב העורך הויזואלי במסך מלא:"
"Wider","רחב יותר"
"Narrower","צר יותר"
"Default width","רוחב ברירת מחדל"
"Version:","גרסה:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE הוא עורך HTML ויזואלי מבוסס JavaScript, שמופץ בקוד פתוח תחת רישיון %sLGPL</a>\tעל ידי Moxicode Systems AB. עם TinyMCE, שדות HTML TEXTAREA או תגי HTML אחרים הופכים לעורכי HTML ויזואליים."
"GNU Library General Public License","הרישיון הכללי של גנו"
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, כל הזכויות שמורות.&lrm;"
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","למידע נוסף אודות התוכנה בקרו באתר של <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE</a>."
"Comments Feed","פיד תגובות"
"Edit This","עריכה"
"Edit comment","עריכת תגובה"
"Edit Link","עריכת קישור"
"Use commas instead of %s to separate excluded categories.","השתמש בפסיקים במקום %s להפרדת הקטגוריות שלא כלולות."
"Previous Post","הפוסט הקודם"
"Next Post","הפוסט הבא"
"Newer Comments &raquo;","תגובות חדשות יותר &laquo;"
"&laquo; Older Comments","&laquo; תגובות ישנות יותר"
"This is the short link.","כתובת מקוצרת."
"Your server is running PHP version %s but WordPress %s requires at least %s.","בשרת מותקנת גרסה %s של PHP, אך דרישת המינימום להפעלת וורדפרס %s היא גרסה %s או גרסה חדשה יותר."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","התקנת PHP אינה כוללת הרחבת MySQL אשר נדרש על ידי וורדפרס."
"Maintenance","תחזוקה"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","אתר זה עובר עבודות תחזוקה יזומות. יש לנסות שנית בעוד מספר דקות."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>שגיאה</strong>: אפשר להשתמש רק באותיות, מספרים וקווים תחתונים בקידומת בסיס הנתונים (<code>$table_prefix</code>) בקובץ <code>wp-config.php</code>"
"The site you have requested is not installed properly. Please contact the system administrator.","האתר עדיין לא מותקן כהלכה. יש ליצור קשר עם הנהלת האתר."
"S_Sunday_initial","א"
"M_Monday_initial","ב"
"T_Tuesday_initial","ג"
"W_Wednesday_initial","ד"
"T_Thursday_initial","ה"
"F_Friday_initial","ו"
"S_Saturday_initial","ש"
"number_format_thousands_sep",","
"number_format_decimal_point","."
"ltr","rtl"
"Drop files to upload","גרור לכאן קבצים כדי להעלותם לאתר"
"Upload Limit Exceeded","חריגה מהגבלה גודל"
"Drop files anywhere to upload","שחרר את הקבצים במקום כלשהו בכדי להעלות"
"Select Files","בחר קבצים"
"Maximum upload file size: %d%s.","גודל קובץ מקסימלי: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","הדפדפן מגביל העלאת קבצים גדולים עם טוען הקבצים המרובים. <a href=\"%s\" target=\"%s\">מומלץ לעדכן את הדפדפן</a> על מנת לפתור את הבעיה."
"Uploading","מעלה"
"Dismiss Errors","הסתר שגיאה"
"Error","שגיאה"
"Deselect","לבטל בחירה"
"Caption this image&hellip;","מסגרת תמונה&hellip;"
"Describe this video&hellip;","תיאור&hellip;"
"Describe this audio file&hellip;","תיאור קובץ שמע&hellip;"
"Describe this media file&hellip;","תיאור קובץ מדיה&hellip;"
"Attachment Details","פרטים"
"Refresh","רענן"
"Delete Permanently","מחק לצמיתות"
"Alt Text","טקסט חלופי"
"Description","תיאור"
"Edit","עריכה"
"Clear","נקה"
"Attachment Display Settings","הגדרות תצוגה"
"Link To","קישור"
"Custom URL","כתובת מותאמת אישית"
"Attachment Page","עמוד הקובץ"
"Media File","קובץ מדיה"
"Large","גדול"
"Gallery Settings","הגדרות גלריה"
"Columns","טורים"
"Random Order","סדר אקראי"
"No editor could be selected.","לא ניתן לבחור עורך."
"Allowed Files","קבצים מותרים"
"Select","בחר"
"%d selected","%d נבחרו"
"Drag and drop to reorder images.","גרור תמונה לשינוי מיקום."
"Upload Files","העלה קבצים"
"Upload Images","העלה קבצים"
"Media Library","ספריית מדיה"
"Insert Media","הוספת מדיה"
"Create a new gallery","גלריה חדשה"
