"Activation Key Required","Clef d&rsquo;activation requise"
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problème réseau ou un pare-feu bloque toutes les connexions vers le serveur d&rsquo;Akismet.com. <string>Akismet ne pourra pas fonctionner correctement tant que ce problème ne sera pas résolu.</strong> Veuillez contacter votre hébergeur ou votre administrateur réseau avec <a href=\"%s\" target=\"_blank\">ces informations</a> (en anglais)."
"All Akismet servers are available.","Tous les serveurs Akismet sont disponibles."
"Akismet is working correctly.  All servers are accessible.","Akismet fonctionne correctement. Tous les serveurs sont accessibles."
"Unable to find Akismet servers.","Impossible de trouver les serveurs d&rsquo;Akismet."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problème de DNS ou de pare-feu empêche tout accès au serveur d&rsquo;Akismet.com. <strong>Akismet ne pourra pas fonctionner correctement tant que ce problème ne sera pas résolu.</strong> Veuillez contacter votre hébergeur ou votre administrateur réseau avec <a href=\"%s\" target=\"_blank\">ces informations</a> (en anglais)."
"Akismet server","Serveur Akismet"
"Network Status","État du réseau"
"Re-trying","Nouvelle tentative"
"Last checked %s ago.","Vérifié pour la dernière fois il y a %s."
"Check network status &raquo;","Vérifier l&rsquo;état du réseau &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Cliquez ici</a> pour confirmer que <a href=\"%s\" target=\"_blank\">Akismet.com fonctionne</a>."
"Spam","Indésirable"
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> a protégé votre site de <a href=\"%s\">%s commentaires indésirables</a>."
"Akismet is almost ready.","Akismet est presque prêt."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Vous devez <a href=\"%s\">saisir votre clef d&rsquo;API Akismet</a> pour que cela fonctionne."
"Akismet has detected a problem.","Akismet a détecté un problème."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Certaines commentaires n&rsquo;ont pas encore été vérifiés par Akismet. En attendant, ils ont été mis dans la file de modération. Veuillez vérifier votre <a href=\"%s\">configuration Akismet</a>, et contacter votre hébergeur si le problème persiste."
"Awaiting spam check","En attente de vérification"
"Flagged as spam by Akismet","Marqué comme indésirable par Akismet"
"Cleared by Akismet","Validé par Akismet"
"Flagged as spam by %s","Marqué comme indésirable par %s"
"Un-spammed by %s","Marqué comme légitime par %s"
"View comment history","Voir l&rsquo;historique du commentaire"
"History","Historique"
"%s approved","%s approuvés"
"%s ago","il y a %s"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> a déjà protégé votre site de %s commentaire indésirable."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> a déjà protégé votre site de %s commentaires indésirables."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> empêche les commentaires indésirables d&rsquo;arriver sur votre site,"
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Il y a actuellement <a href=\"%s\">%s commentaire dans votre file de commentaires indésirables</a>."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Il y a actuellement <a href=\"%s\">%s commentaires dans votre file de commentaires indésirables</a>."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Il n&rsquo;y a rien dans votre <a href='%s'>file d&rsquo;indésirables</a> actuellement."
"Check for Spam","Vérifier les commentaires indésirables"
"%s reported this comment as not spam","%s a marqué ce commentaire comme n&rsquo;étant pas un indésirable"
"%s reported this comment as spam","%s a marqué ce commentaire comme indésirable"
"%s changed the comment status to %s","%s a changé le statut du commentaire en %s"
"Akismet re-checked and caught this comment as spam","Akismet a revérifié ce commentaire et considéré qu&rsquo;il s&rsquo;agit d&rsquo;un indésirable"
"Akismet re-checked and cleared this comment","Akismet a revérifié et validé ce commentaire"
"Akismet was unable to re-check this comment (response: %s)","Akismet n&rsquo;a pas pu revérifier ce commentaire (réponse&nbsp;: %s)"
"Akismet Stats","Statistiques Akismet"
"Akismet caught this comment as spam","Akismet a considéré que ce commentaire est un indésirable"
"Comment status was changed to %s","L&rsquo;état du commentaire a été changé en %s"
"Akismet cleared this comment","Akismet a revérifié et validé ce commentaire"
"Comment was caught by wp_blacklist_check","Un commentaire a été arrêté par wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet n&rsquo;a pas pu revérifier ce commentaire (réponse&nbsp;: %s)&nbsp;; il fera une nouvelle tentative plus tard."
"Akismet caught this comment as spam during an automatic retry.","Akismet a revérifié ce commentaire et considéré qu&rsquo;il s&rsquo;agit d&rsquo;un indésirable."
"Akismet cleared this comment during an automatic retry.","Akismet a validé ce commentaire suite à une revérification automatique."
"Akismet Spam (%s)","Commentaires indésirables Akismet (%s)"
"Akismet Spam","Commentaire indésirable Akismet"
"You do not have sufficient permission to moderate comments.","Vous n&rsquo;avez pas les droits suffisants pour modérer les commentaires."
"%s comments recovered.","%s commentaires récupérés."
"All spam deleted.","Tous les commentaires indésirables ont été supprimés."
"Caught Spam","Commentaires indésirables bloqués"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet a bloqué <strong>%s</strong> commentaires indésirables pour vous depuis que vous l&rsquo;avez installé."
"You have no spam currently in the queue. Must be your lucky day. :)","Aucun commentaire indésirable dans la file d&rsquo;attente actuellement. Ce doit être votre jour de chance&nbsp;:)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Vous pouvez supprimer tous les commentaires indésirables de votre base de données en un seul clic. Cette opération est irréversible, donc vous devez vérifier qu&rsquo;aucun commentaire légitime n&rsquo;y a été placé par mégarde. Dans tous les cas, ces commentaires indésirables sont automatiquement supprimés après 15 jours."
"There are currently %s comments identified as spam.","Il y a actuellement %s commentaire(s) identifié(s) comme indésirable(s)."
"Delete all","Tout supprimer "
"Search","Recherche"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Voici les derniers commentaires identifiés comme indésirables par Akismet. Si vous voyez une erreur, changez le marquage du commentaire en cliquant sur &laquo; N&rsquo;est pas indésirable &raquo; et Askimet s&rsquo;en souviendra. Si vous souhaitez récupérer un commentaire marqué comme indésirable, sélectionnez-le et cliquez sur le bouton &laquo;&nbsp;Marquer les commentaires cochés comme légitimes&nbsp;&raquo;. Au bout de 15 jours, nous supprimons de toute façon tous les indésirables."
"All","Tous"
"Comments","Commentaires"
"Search Spam &raquo;","Chercher dans les commentaires indésirables &raquo;"
"&laquo; Previous Page","&laquo; Page précédente"
"Next Page &raquo;","Page suivante &raquo;"
"IP:","IP&nbsp;:"
"Not Spam","N&rsquo;est pas un commentaire indésirable"
"View Post","Afficher l&rsquo;article"
"De-spam marked comments &raquo;","Marquer les commentaires cochés comme légitimes &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Les commentaires que vous marquez comme légitimes seront envoyés à Akismet pour qu&rsquo;il puisse apprendre de ses erreurs."
"No results found.","Aucun résultat trouvé."
"Recheck Queue for Spam","Revérifier la file de commentaires indésirables"
"Akismet Widget","Widget Akismet"
"Display the number of spam comments Akismet has caught","Affiche le nombre de commentaire indésirables repérés par Akismet"
"Spam Blocked","Indésirable bloqué"
"Title:","Titre&nbsp;:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s indésirables</strong> bloqués par <strong>Akismet</strong>"
"About WordPress","À propos de WordPress"
"WordPress.org","Site de WordPress-FR"
"http://wordpress.org/","http://www.wordpress-fr.net/"
"http://codex.wordpress.org/","http://codex.wordpress.org"
"Support Forums","Forums d&rsquo;entraide"
"http://wordpress.org/support/","http://www.wordpress-fr.net/support/"
"Feedback","Remarque"
"Howdy, %s","Salutations, %s"
"My Account","Mon compte"
"Edit My Profile","Modifier mon profil"
"Log Out","Se déconnecter"
"Network Admin: %s","Admin du réseau&nbsp;: %s"
"Global Dashboard: %s","Tableau de bord global&nbsp;: %s"
"Visit Site","Aller sur le site"
"Edit Site","Modifier le site"
"Dashboard","Tableau de bord"
"My Sites","Mes sites"
"Network Admin","Admin du réseau"
"Users","Utilisateurs"
"Visit Network","Afficher le réseau"
"New Post","Nouvel article"
"Manage Comments","Gérer les commentaires"
"Shortlink","Lien court"
"Link","Lien"
"User","Utilisateur"
"New","Nouveau"
"Add New","Ajouter"
"%s comment awaiting moderation","%s commentaire en attente de modération"
"%s comments awaiting moderation","%s commentaires en attente de modération"
"Themes","Thèmes"
"Customize","Personnaliser"
"Background","Arrière-plan"
"Header","En-tête"
"XML error: %s at line %d","Erreur XML&nbsp;: %s à la ligne %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Utilisez plutôt <code>get_the_author()</code> si vous préférez que la valeur ne soit pas affichée."
"Visit %s&#8217;s website","Aller sur le site de %s"
"Posts by %s","Articles par %s"
"Last updated: %s","Dernière mise à jour&nbsp;: %s"
"Bookmarks","Favoris"
"Use <code>WP_User->ID</code> instead.","Utilisez plutôt <code>WP_User->ID</code>."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","L&rsquo;utilisation des niveaux d&rsquo;utilisateur par les extensions et thèmes est désormais interdite. Utiliser les rôles et capacités à la place."
"View all posts in %s","Voir tous les articles dans %s"
"Uncategorized","Non classé"
"No categories","Pas de catégorie"
"Categories","Catégories"
"%s topic","%s sujet"
"%s topics","%s sujets"
"View all posts filed under %s","Voir tous les articles classés dans %s"
"Feed for all posts filed under %s","Flux pour tous les articles classés dans %s"
"Tags:","Mots-clefs&nbsp;:"
"A valid URL was not provided.","L&rsquo;URL fournie est invalide."
"User has blocked requests through HTTP.","L&rsquo;utilisateur a bloqué les requêtes HTTP."
"Destination directory for file streaming does not exist or is not writable.","Le dossier de destination pour la diffusion de fichier n&rsquo;existe pas ou n&rsquo;est pas accessible en écriture."
"There are no HTTP transports available which can complete the requested request.","Il n&rsquo;y a pas de transport HTTP disponible pour mener à bien la requête demandée."
"Could not open handle for fopen() to %s","Impossible d&rsquo;ouvrir le gestionnaire de fopen() pour %s"
"Too many redirects.","Trop de redirections."
"Malformed URL: %s","Adresse web malformée&nbsp;: %s"
"No server specified","Aucun serveur spécifié"
"Error","Erreur "
"no login ID submitted","pas d&rsquo;identifiant de connexion envoyé"
"connection not established","la connexion n&rsquo;est pas établie"
"No password submitted","Pas de mot de passe envoyé"
"Authentication failed","L&rsquo;authentification a échoué"
"No connection to server","Pas de connexion au serveur"
"No login ID submitted","Pas d&rsquo;identifiant de connexion envoyé"
"No server banner","Pas de blocage serveur"
"abort","abandonner"
"apop authentication failed","l&rsquo;identification apop a échoué"
"Premature end of list","Fin de liste inattendue"
"Empty command string","Chaîne de commande vide"
"connection does not exist","la connexion n&rsquo;existe pas"
"No msg number submitted","Pas de numéro de message envoyé"
"Command failed","Échec de la commande "
"The menu ID should not be empty.","L&rsquo;identifiant du menu ne devrait pas être vide."
"Skip to toolbar","Aller à la barre d&rsquo;outils"
"Top navigation toolbar.","Barre de navigation supérieure."
"&mdash; Select &mdash;","&mdash; Sélectionner &mdash;"
"Default","Valeur par défaut"
"Hex Value","Valeur hexadécimale"
"Upload","Envoyer"
"Remove","Supprimer"
"No Image","Aucune image"
"Upload New","Mettre en ligne"
"Uploaded","Mis en ligne"
"Remove Image","Retirer l&rsquo;image"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Le navigateur web de votre système ne permet pas de mettre des fichiers en ligne. Vous devriez pouvoir le faire en passant par <a href=\"http://wordpress.org/extend/mobile/\">une application native</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Glissez un fichier ici ou <a href=\"#\" class=\"upload\">sélectionnez un fichier</a>"
"Select File","Sélectionner un fichier"
"Background Image","Image d&rsquo;arrière-plan"
"Header Image","Image d&rsquo;en-tête"
"Random Default Image","Images par défaut aléatoire"
"Random Uploaded Image","Image mise en ligne aléatoire"
"Site Title & Tagline","Titre de site et description"
"Site Title","Titre du site"
"Tagline","Slogan"
"Colors","Couleurs"
"Display Header Text","Afficher le texte d&rsquo;en-tête"
"Header Text Color","Couleur du texte d&rsquo;en-tête"
"Background Color","Couleur d&rsquo;arrière-plan"
"Background Repeat","Répétition de l&rsquo;arrière-plan"
"No Repeat","Pas de répétition"
"Tile","Motif répété"
"Tile Horizontally","Répétition horizontale"
"Tile Vertically","Répétition verticale"
"Background Position","Position d&rsquo;arrière-plan"
"Left","Gauche"
"Center","Centre"
"Right","Droite"
"Background Attachment","Image d&rsquo;arrière-plan"
"Fixed","Fixe"
"Scroll","Défilant"
"Your theme supports %s menu. Select which menu you would like to use.","Votre thème peut utiliser %s menu. Sélectionnez le menu que vous voudriez utiliser."
"Your theme supports %s menus. Select which menu appears in each location.","Votre thème peut utiliser %s menus. Sélectionnez le menu que vous voudriez utiliser pour chaque emplacement."
"You can edit your menu content on the Menus screen in the Appearance section.","Vous pouvez modifier le contenu de votre menu par le biais de l&rsquo;écran Menus, dans la section Apparence."
"Static Front Page","Page d&rsquo;accueil statique"
"Your theme supports a static front page.","Le thème actuel accepte les pages statiques."
"Front page displays","La page d&rsquo;accueil affiche"
"Your latest posts","Les derniers articles"
"A static page","Une page statique"
"Front page","Page d&rsquo;accueil"
"Posts page","Page des articles"
"Text","Texte"
"Visual","Visuel"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","French=fr,Anglais=en,Danois=da,Néerlandais=nl,Finnois=fi,Allemand=de,Italien=it,Polonais=pl,Portuguais=pt,Espagnol=es,Suédois=sv"
"Update","Mettre à jour"
"Save","Enregistrer"
"Exit fullscreen","Sortir du plein écran"
"Bold (Ctrl + B)","Gras (Ctrl + B)"
"Italic (Ctrl + I)","Italique (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Liste non ordonnée (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Liste ordonnée (Alt + Maj. + O)"
"Blockquote (Alt + Shift + Q)","Bloc de citation (Alt + Maj. + Q)"
"Insert/edit image (Alt + Shift + M)","Insérer/modifier une image (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Insérer/modifier un lien (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Défaire le lien (Alt + Maj. + S)"
"Help (Alt + Shift + H)","Aide (Alt + Maj. + H)"
"Updated.","Mis à jour."
"Saved.","Enregistré."
"Enter title here","Saisissez le titre ici"
"Word count: %s","Compteur de mots&nbsp;:&nbsp;%s"
"Just write.","Il ne reste plus qu&rsquo;à écrire."
"Y/m/d","d/m/Y"
"Enter the destination URL","Saisissez l&rsquo;adresse de destination"
"URL","Adresse web"
"Title","Titre"
"Open link in a new window/tab","Ouvrir le lien dans une nouvelle fenêtre/un nouvel onglet"
"Or link to existing content","Ou alors, faites un lien vers l&rsquo;un des contenus de votre site"
"No search term specified. Showing recent items.","Aucun mot n&rsquo;a été donné pour cette recherche. Voici les recherches précédentes."
"Add Link","Ajouter un lien"
"Cancel","Annuler"
"File doesn&#8217;t exist?","Le fichier n&rsquo;existe-il pas&nbsp;?"
"File is not an image.","Le fichier n&rsquo;est pas une image."
"Could not read image size.","Impossible de lire la taille de l&rsquo;image."
"Image resize failed.","Le redimensionnement de l&rsquo;image a échoué."
"Could not calculate resized image dimensions","Impossible de lire la taille de l&rsquo;image redimensionnée"
"Image crop failed.","Le recadrage de l&rsquo;image a échoué."
"Image rotate failed.","La rotation de l&rsquo;image a échoué."
"Image flip failed.","Le retournement de l&rsquo;image a échoué."
"Image Editor Save Failed","L&rsquo;enregistrement de l&rsquo;éditeur d&rsquo;images à échoué."
"Could not read image size","Impossible de lire la taille de l&rsquo;image"
"The theme directory does not exist.","Le répertoire du thème n&rsquo;existe pas."
"Stylesheet is missing.","La feuille de style manque."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","ERREUR&nbsp;: le répertoire des thèmes est soit vide, ou n&rsquo;existe pas. Veuillez vérifier votre installation."
"Stylesheet is not readable.","Impossible de lire la feuille de style."
"Template is missing.","Le modèle est manquant."
"The parent theme is missing. Please install the \"%s\" parent theme.","Le thème parent est manquant. Merci d&rsquo;installer le thème parent &laquo;&nbsp;%s&nbsp;&raquo;."
"The \"%s\" theme is not a valid parent theme.","Le thème &laquo;&nbsp;%s&nbsp;&raquo; n&rsquo;est un thème parent valide."
"Visit author homepage","Aller sur la page de l&rsquo;auteur"
"Anonymous","Anonyme"
",",", "
"XML-RPC services are disabled on this site.","Les services XML-RPC sont désactivés sur ce site."
"Incorrect username or password.","Identifiant ou mot de passe incorrect."
"Software Name","Nom du logiciel"
"Software Version","Version du logiciel"
"Site URL","Adresse web du site"
"Home URL","Adresse web de l&rsquo;accueil"
"Image default link type","Type du lien par défaut vers l&rsquo;image"
"Image default size","Taille de l&rsquo;image par défaut"
"Image default align","Alignement par défaut de l&rsquo;image"
"Template","Modèle"
"Stylesheet","Feuille de style"
"Post Thumbnail","Miniature d&rsquo;article"
"Time Zone","Fuseau horaire"
"Site Tagline","Slogan du site"
"Date Format","Format de date"
"Time Format","Format d’heure"
"Allow new users to sign up","Autoriser les nouveaux utilisateurs à s&rsquo;inscrire"
"Thumbnail Width","Largeur des miniatures"
"Thumbnail Height","Hauteur des miniatures"
"Crop thumbnail to exact dimensions","Recadrer les images pour parvenir aux dimensions exactes"
"Medium size image width","Largeur de l&rsquo;image en taille moyenne"
"Medium size image height","Hauteur de l&rsquo;image en taille moyenne"
"Large size image width","Largeur de l&rsquo;image en grande taille"
"Large size image height","Hauteur de l&rsquo;image en grande taille"
"Allow people to post comments on new articles","Autoriser les visiteurs à publier des commentaires sur les derniers articles"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Autoriser les liens de notifications depuis les autres sites (notifications par pings et rétroliens)"
"Insufficient arguments passed to this XML-RPC method.","Arguments insuffisants passés à cette méthode XML-RPC."
"Invalid post type","Type d&rsquo;article invalide"
"Invalid post ID.","Identifiant de l&rsquo;article non valide."
"Sorry, you are not allowed to edit this post.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de modifier cet article."
"The post type may not be changed.","Ce type de contenu ne peut pas être supprimé."
"Sorry, you are not allowed to post on this site.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de publier sur ce site."
"Sorry, you are not allowed to create private posts in this post type","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de créer des contenus privés avec ce type de contenu"
"Sorry, you are not allowed to publish posts in this post type","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de publier des contenus avec ce type de contenu"
"Sorry, you are not allowed to create password protected posts in this post type","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de créer des contenus protégés par mot de passe avec ce type de contenu"
