"View Attachment Page","Zobacz plik w witrynie"
"Whoops, the provided date is invalid.","Oops! Podana data jest nieprawidłowa."
"Insert Media","Wstaw media"
"Create a new gallery","Stwórz nową galerię"
"Insert into post","Wstaw do wpisu"
"Add to gallery","Dodaj do galerii"
"Clear","Wyczyść"
"Select Color","Wybierz kolor"
"Current Color","Bieżący kolor"
"Could not insert term relationship into the database","Nie można wstawić wyrażenia do bazy"
"Incorrect username or password.","Nieprawidłowa nazwa użytkownika lub hasło."
"XML-RPC services are disabled on this site.","Przepraszamy, ale usługi XML-RPC są zablokowane na tej witrynie."
"There is a revision of this post that is more recent.","Istnieje nowsza wersja tego wpisu. "
"%s %s %s Feed","%s %s %s Kanał"
"Display post date?","Czy wyświetlać datę wpisu?"
"You are not allowed to create pages as this user.","Wybrany użytkownik nie ma uprawnień do tworzenia stron."
"Invalid post ID","Nieprawidłowy identyfikator wpisu"
"Home URL","Adres strony głównej"
"Sorry, you cannot edit users.","Przepraszamy, ale nie możesz edytować użytkowników!"
"Invalid user ID","Nieprawidłowy identyfikator użytkownika."
"Sorry, you cannot list users.","Przepraszamy, nie można wyświetlić listy  użytkowników."
"The role specified is not valid","Wybrano nieprawidłową rolę"
"Sorry, you cannot edit your profile.","Przepraszamy, nie możesz edytować swojego profilu."
"Sorry, the user cannot be updated.","Przepraszamy, użytkownik nie może zostać zaktualizowany."
"Sorry, you are not allowed to edit posts.","Przepraszamy, nie masz uprawnień do edycji wpisów."
"Sorry, revisions are disabled.","Przepraszamy, wersjonowanie nie jest wyłączone."
"Alternative Text","Tekst alternatywny"
"Select Files","Wybierz pliki"
"Distraction Free Writing mode","Tryb pełnoekranowy"
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","W celu uzyskania dodatkowych informacji na temat <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE</a> należy odwiedzić witrynę edytora."
"GNU Library General Public License","Licencja publiczna GNU"
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Wklejanie zawartości z innych aplikacji, takich jak Word czy Excel, najlepiej wykonać przy użyciu przycisku 'Wklej z Word', znajdującego się w drugim rzędzie. Można też wkleić dane, jeżeli edytor używany jest w trybie tekstowym."
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Rezultat wklejania zawartości z innych witryn internetowych może nie być zadowalający oraz jest zależny od używanej przeglądarki oraz od witryny internetowej, z której kopiujemy. Edytor usiłuje naprawić nieprawidłowy kod wklejanej strony. W celu osiągnięcia lepszych wyników, należy spróbować użyć zakładki Tekstowy lub jednego z przycisków wklejania w drugim rzędzie. Alternatywnie można wklejać paragrafy pojedynczo. W większości przeglądarek, w celu wyboru jednego paragrafu należy na niego potrójnie kliknąć."
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Kod HTML wprowadzony do edytora wizualnego zostanie pokazany jako tekst podczas przeglądania wpisu, zgodnie z zasadą: \"widzisz to, co dostajesz\". Elementy HTML, których nie można wstawić za pomocą przycisków na pasku, należy wpisywać w edytorze tekstowym. Przykładami są tabele oraz &lt;kod&gt;. Aby to zrobić, należy wybrać zakładkę Tekstowy, wstawić wymagany kod oraz wróć do trybu wizualnego. Jeżeli kod jest poprawny i zostanie dobrze zinterpretowany przez edytor, będzie od razu widoczny."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Aby przesłać obrazek lub plik z mediami ze swojego komputera, należy użyć przycisku Dodaj Medium, który jest umieszczony nad edytorem. W czasie dodawania plików Biblioteka mediów spróbuje utworzyć miniaturę dla każdego przesłanego obrazka. Aby umieścić obrazek we wpisie, należy wybrać miniaturę, aby pokazać dodatkowe opcje. Po zakończeniu ustawiania opcji, należy nacisnąć  \"Wstaw do wpisu\" aby wstawić wybrany obrazek do edytowanego wpisu."
"Editor width in Distraction Free Writing mode:","Szerokość edytora w trybie pełnoekranowym:"
"QuickTime options","Opcje QuickTime'a"
"Skip to toolbar","Przejdź do paska narzędzi"
"Top navigation toolbar.","Górny pasek nawigacji."
"Distraction Free Writing mode (Alt + Shift + W)","Tryb pełnoekranowy (Alt + Shift + W)"
"Horizontal rule","Linijka pozioma"
"Text","Tekst"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Przeglądarka internetowa w tym urządzeniu nie pozwala na przesyłanie plików. Spróbuj użyć <a href=\"http://wordpress.org/extend/mobile/\">aplikacji dla Twojego urządzenia</a>."
"Hex Value","Wartość w kodzie szesnastkowym"
"Header Text Color","Kolor tekstu w nagłówku"
"Colors","Kolory"
"Save &amp; Activate","Zapisz i włącz"
"Saved","Zapisano"
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Aktualizacja WordPressa została ukończona!</strong> Usiądź, żeby nie spaść z krzesła na widok zmian, i zaloguj się ponownie."
"Save &amp; Publish","Zapisz i opublikuj"
"Select File","Wybierz plik"
"Customize","Personalizacja"
"Insufficient arguments passed to this XML-RPC method.","Do tej metody XML-RPC podano zbyt mało argumentów."
"Sorry, you cannot stick a private post.","Przepraszamy, nie możesz przykleić prywatnego wpisu."
"This key is invalid.","Podany klucz jest nieprawidłowy."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Niektóre komentarze nie zostały jeszcze sprawdzone przez Akismeta pod kątem bycia spamem. Zostały one tymczasowo przetrzymane do moderacji. Proszę sprawdzić <a href=\"%s\">ustawienia Akismeta</a> lub skontaktować się z administratorem serwera, jeśli problem nie zniknie."
"Awaiting spam check","Oczekujące na sprawdzenie"
"Akismet Widget","Widget Akismeta"
"Display the number of spam comments Akismet has caught","Wyświetl liczbę komentarzy, które Akismet uznał za spam"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s komentarze będące spamem</strong> zostały zablokowane przez <strong>Akismeta</strong>"
"No Image","Brak obrazka"
"Random Default Image","Losowy obrazek z domyślnych"
"Random Uploaded Image","Losowy obrazek z wysłanych"
"You can edit your menu content on the Menus screen in the Appearance section.","Możesz edytować zawartość menu na ekranie „Menu” sekcji „Wygląd”."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Upuść plik nad tym obszarem lub <a href=\"#\" class=\"upload\">wybierz go</a>."
"Header Image","Obrazek w nagłówku"
"Post Thumbnail","Ikona wpisu"
"text direction","kierunek pisania"
"Toggle Editor Text Direction","Przełącz kierunek pisania w edytorze"
"Site name must be at least 4 characters.","Nazwa witryny musi składać się z co najmniej 4 znaków."
"Please enter a site name.","Proszę wprowadzić nazwę witryny."
"That username is not allowed.","Wybrana nazwa użytkownika jest niedozwolona."
"Please enter a username.","Proszę wprowadzić nazwę użytkownika."
"Please enter a site title.","Proszę wprowadzić tytuł witryny."
"That name is not allowed.","Tworzenie witryn o takiej nazwie jest niedozwolone."
"Username must be at least 4 characters.","Nazwy użytkowników muszą składać się z co najmniej 4 znaków."
"A static page","statyczną stronę"
"The theme directory does not exist.","Katalog motywu nie istnieje."
"Display Header Text","Wyświetl tekst w nagłówku"
"Background Color","Kolor tła"
"Background Image","Obrazek tła"
"Background Repeat","Powtarzanie tła"
"Background Position","Pozycja tła"
"Background Attachment","Zaczepienie tła"
"Uploaded","Wysłano na serwer"
"Upload New","Wyślij na serwer nowy obrazek"
"Remove Image","Usuń obrazek"
"Sorry, you are not allowed to edit this post type.","Przepraszamy, nie posiadasz uprawnienia do edycji wpisów tego typu."
"Scroll","Nie zaczepiaj"
"Fixed","Zaczep"
"No Repeat","Nie powtarzaj"
"Tile","Kafelkowanie"
"Tile Horizontally","Kafelkowanie w poziomie"
"Tile Vertically","Kafelkowanie w pionie"
"Front page","Strona główna"
"Posts page","Strona z wpisami"
"Upload","Wyślij na serwer"
"Remove","Usuń"
"Allowed Files","Dopuszczane typy plików"
"The term name cannot be empty.","Nie podano nazwy terminu."
"You are not allowed to create terms in this taxonomy.","Nie posiadasz uprawnienia do dodawania terminów do tej taksonomii."
"This taxonomy is not hierarchical.","Wybrana taksonomia nie jest hierarchiczna."
"Parent term does not exist.","Podany termin nadrzędny nie istnieje."
"Sorry, your term could not be created. Something wrong happened.","Przepraszamy, podany termin nie mógł zostać dodany. Coś poszło nie tak."
"You are not allowed to edit terms in this taxonomy.","Nie posiadasz uprawnienia do edycji terminów tej taksonomii."
"This taxonomy is not hierarchical so you can't set a parent.","Wybrana taksonomia nie jest hierarchiczna, więc jej elementom nie można ustawiać rodziców."
"Sorry, editing the term failed.","Przepraszamy, edycja terminu się nie powiodła."
"You are not allowed to delete terms in this taxonomy.","Nie posiadasz uprawnienia do usuwania terminów z tej taksonomii."
"Sorry, deleting the term failed.","Przepraszamy, usuwanie terminu się nie powiodło."
"You are not allowed to assign terms in this taxonomy.","Nie posiadasz uprawnienia do przypisywania terminów z tej taksonomii."
"Select Link Category:","Wybierz kategorię odnośnika:"
"Template","Szablon"
"Stylesheet","Arkusz stylów"
"Link title","Tytuł odnośnika"
"Link rating","Klasyfikacja odnośnika"
"Link ID","Identyfikator odnośnika"
"Number of links to show:","Liczba odnośników, które mają zostać wyświetlone:"
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","BŁĄD: Katalog na motywy jest pusty lub nie istnieje. Proszę to sprawdzić."
"Stylesheet is not readable.","Brak uprawnień do odczytu arkusza stylów."
"The \"%s\" theme is not a valid parent theme.","Motyw \"%s\" nie jest prawidłowym motywem nadrzędnym."
"Navigation","Nawigacja"
"Your theme supports %s menu. Select which menu you would like to use.","Twój motyw obsługuje %s menu. Wybierz menu, które chcesz umieścić na witrynie."
"Your theme supports %s menus. Select which menu appears in each location.","Twój motyw obsługuje %s menu. Wybierz menu, które chcesz umieścić na witrynie."
"Refresh","Odśwież"
"Static Front Page","Statyczna strona główna"
"Your theme supports a static front page.","Twój motyw obsługuje używanie statycznej strony głównej."
"Your latest posts","Twoje ostatnie wpisy"
"Front page displays","Strona główna wyświetla"
"Site Title & Tagline","Tytuł i opis witryny"
"Tagline","Opis"
"&mdash; Select &mdash;","&mdash; Wybierz &mdash;"
"Styles","Style"
"Use left and right arrows to navigate.","Użyj strzałek do nawigacji."
"The post type may not be changed.","Typ postu nie może zostać zmodyfikowany."
"Image default size","Domyślny rozmiar obrazka"
"Image default link type","Obrazki domyślnie odnoszą do"
"Image default align","Domyślne wyrównanie obrazka"
"Sorry, you are not allowed to edit this post.","Przepraszamy, nie posiadasz uprawnienia do edytowania wpisu."
"Edit Site","Edytuj witrynę"
"Sorry, you are not allowed to edit posts in this post type","Przepraszamy, nie posiadasz uprawnienia do edycji wpisów tego typu."
"Invalid author ID.","Nieprawidłowy identyfikator autora."
"Sorry, you are not allowed to delete this post.","Przepraszamy, nie posiadasz uprawnienia do usunięcia tego wpisu."
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Niejednoznaczna nazwa terminu użyta w hierarchicznej taksonomii. Proszę podać identyfikator terminu zamiast jego nazwy."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Przepraszamy, nie posiadasz uprawnienia do dodawania terminów do co najmniej jednej z wybranych taksonomii."
"The post cannot be deleted.","Ten wpis nie może zostać usunięty."
"The post type specified is not valid","Podany typ wpisu nie istnieje"
"Invalid post type","Nieprawidłowy typ wpisu"
"Sorry, you are not allowed to create password protected posts in this post type","Przepraszamy, nie posiadasz uprawnienia do zabezpieczenia hasłem wpisów tego typu."
"You are not allowed to create posts as this user.","Przepraszamy, nie posiadasz uprawnienia do tworzenia wpisów jako ten użytkownik."
"Sorry, you are not allowed to create private posts in this post type","Przepraszamy, nie posiadasz uprawnienia do tworzenia prywatnych wpisów tego typu."
"Sorry, you are not allowed to publish posts in this post type","Przepraszamy, nie posiadasz uprawnienia do publikowania wpisów tego typu."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Przepraszamy, nie posiadasz uprawnienia do przypisywania terminów do co najmniej jednej z podanych taksonomii."
"Sorry, one of the given taxonomies is not supported by the post type.","Przepraszamy, co najmniej jedna z podanych taksonomii nie jest obsługiwana przez wpisy wybranego typu."
"Sorry, you are not allowed to stick this post.","Przepraszamy, nie posiadasz uprawnienia do przyklejenia tego wpisu."
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","angielski=en,duński=da,holenderski=nl,fiński=fi,francuski=fr,niemiecki=de,włoski=it,polski=pl,portugalski=pt,hiszpański=es,szwedzki=sv"
"&#8220;","&#8222;"
"&#8216;","‚"
"&#8217;","’"
"Allow search engines to index this site.","Pozwól wyszukiwarkom indeksować tę witrynę."
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Wygląda na to, że plik <code>wp-config.php</code> nie istnieje. Kontynuacja będzie możliwa dopiero po jego utworzeniu."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Potrzebujesz pomocy? <a href='http://codex.wordpress.org/Editing_wp-config.php'>Zajrzyj tutaj</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Możesz utworzyć plik <code>wp-config.php</code> przy pomocy interfejsu WWW, ale nie działa to na wszystkich serwerach. Można też utworzyć go własnoręcznie."
"Create a Configuration File","Utwórz plik z konfiguracją"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Co to jest?</a>"
"http://wordpress.org/","http://pl.wordpress.org/"
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Twoja witryna pt. „<a href=\"%s\">%s</a>” została aktywowana. Możesz zalogować się do niej przy pomocy wybranej nazwy użytkownika („%s”). Proszę sprawdzić, czy na podany adres e-mail – %s – przyszła już wiadomość z hasłem i instrukcjami dot. logowania się. Jeśli nie otrzymano żadnej wiadomości, proszę sprawdzić w folderze ze spamem. Jeśli wiadomość nie pojawi się w Twojej skrzynce w ciągu godziny, możesz poprosić o <a href=\"%s\">wygenerowanie nowego hasła</a>."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","Twoja nowa witryna znajduje się pod adresem <a href=\"http://%s\">http://%s</a>. <a href=\"%s\">Zaloguj się</a> jako &#8222;%s&#8221;, korzystając ze swojego aktualnego hasła."
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Twoje konto zostało aktywowane. Możesz <a href=\"%s\">zalogować się</a> do swojej witryny przy pomocy wybranej nazwy użytkownika („%s”). Proszę sprawdzić, czy na podany adres e-mail – %s – przyszła już wiadomość z hasłem i instrukcjami dot. logowania się. Jeśli nie otrzymano żadnej wiadomości, proszę sprawdzić w folderze ze spamem. Jeśli wiadomość nie pojawi się w Twojej skrzynce w ciągu godziny, możesz poprosić o <a href=\"%s\">wygenerowanie nowego hasła</a>."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Jedna lub więcej tabel w bazie danych jest niedostępnych. Baza danych może musieć zostać <a href=\"%s\">naprawiona</a>."
"Mission complete. Message <strong>%s</strong> deleted.","Misja ukończona. Wiadomość <strong>%s</strong> została usunięta."
"You are posting comments too quickly. Slow down.","Wysyłasz kolejne komentarze zbyt szybko. Zwolnij troszkę."
"New","Nowe"
"%s comment awaiting moderation","%s komentarz oczekuje na moderację"
"%s comments awaiting moderation","%s komentarze oczekują na moderację"
"What do I do now?","Co mam teraz zrobić?"
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","Rozmiar pliku „%s” przekracza maksymalny dopuszczalny rozmiar pliku przesyłanego przez skrypt wysyłający w Twojej przeglądarce."
"Please try uploading this file with the %sbrowser uploader%s.","Spróbuj wysłać plik przy pomocy %sformularza w HTML-u%s."
"&#8220;%s&#8221; has failed to upload.","Nie udało się wysłać pliku „%s” na serwer."
"Toggle spellchecker (Alt + Shift + N)","Przełącz sprawdzanie pisowni (Alt + Shift + N)"
"Toggle fullscreen mode (Alt + Shift + G)","Przełącz tryb pełnoekranowy (Alt + Shift + G)"
"Align Center (Alt + Shift + C)","Wyśrodkuj (Alt + Shift + C)"
"Align Left (Alt + Shift + L)","Wyrównaj do lewej (Alt + Shift + L)"
"Strikethrough (Alt + Shift + D)","Przekreśl (Alt + Shift + D)"
"Align Full (Alt + Shift + J)","Wyjustuj (Alt + Shift + J)"
"Redo (Ctrl + Y)","Ponów (Ctrl + Y)"
"Undo (Ctrl + Z)","Cofnij (Ctrl + Z)"
"Insert Page break (Alt + Shift + P)","Wstaw znak nowej strony (Alt + Shift + P)"
"Insert More Tag (Alt + Shift + T)","Wstaw tag „Więcej” (Alt + Shift + T)"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Pokaż/ukryj drugi wiersz paska przycisków (Alt + Shift + Z)"
"Blockquote (Alt + Shift + Q)","Blok z cytatem (Alt + Shift + Q)"
"Align Right (Alt + Shift + R)","Wyrównaj do prawej (Alt + Shift + R)"
"All Links","Wszystkie odnośniki"
"The menu ID should not be empty.","Musisz podać identyfikator menu."
"About WordPress","O WordPressie"
"Visit Network","Odwiedź sieć"
"http://wordpress.org/support/","http://pl.forums.wordpress.org"
"http://wordpress.org/support/forum/requests-and-feedback","http://pl.forums.wordpress.org/forum/prosby-i-informacje-zwrotne"
"%s exceeds the maximum upload size for this site.","Plik „%s” przekracza maksymalny dopuszczalny rozmiar plików wysyłanych na tę witrynę."
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Proszę przeczytać &#8222;<a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Odpluskwianie WordPressa</a>&#8221;, aby dowiedzieć się więcej."
"Feedback","Uwagi"
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Drogi Użytkowniku,\n\nTwoja nowa witryna w sieci „SITE_NAME” została utworzona pod adresem\nBLOG_URL\n\nMożesz zalogować się jako jej administrator przy pomocy poniższych danych:\nNazwa użytkownika: USERNAME\nHasło: PASSWORD\nAdres panelu administracyjnego: BLOG_URLwp-login.php\n\nMamy nadzieję, że Twoja nowa witryna Ci się podoba. Dzięki!\n\n--Zespół sieci „SITE_NAME”"
"<strong>ERROR</strong>: please type a comment.","<strong>BŁĄD</strong>: Proszę wpisać komentarz."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>BŁĄD</strong>: Proszę podać prawidłowy adres e-mail."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>BŁĄD</strong>: Proszę wypełnić wymagane pola (podpis, e-mail)."
"ERROR: Invalid values entered, these are marked in red.","BŁĄD: Podano nieprawidłowe wartości. Zostały one oznaczone czerwonym kolorem."
"Could not load the preview image. Please reload the page and try again.","Nie można było wczytać podglądu obrazka. Proszę odświeżyć stronę i spróbować ponownie."
"<strong>ERROR</strong>: Site URL already taken.","<strong>BŁĄD</strong>: Ten adres URL jest już używany przez inną witrynę."
"<strong>ERROR</strong>: problem creating site entry.","<strong>BŁĄD</strong>: Nie udało się dodać witryny do bazy danych."
"No","Nie"
"Email","E-mail"
"Users","Użytkownicy"
"Actions","Działania"
"Update","Zaktualizuj"
"Sites","Witryny"
"Name","Nazwa"
"Username","Nazwa użytkownika"
"Settings","Ustawienia"
"Options saved.","Opcje zostały zapisane."
"Dashboard","Kokpit"
"Cheatin&#8217; uh?","Oszukujemy, co?"
"Themes","Motywy"
"Log In","Zaloguj się"
"Title","Tytuł"
"Public","Publiczne"
"Path","Ścieżka"
"Plugins","Wtyczki"
"Yes","Tak"
"My Sites","Moje witryny"
"Site Title","Tytuł witryny"
"First Post","Pierwszy wpis"
"Password:","Hasło:"
"Activate","Włącz"
"Documentation","Dokumentacja"
"Support Forums","Forum pomocy technicznej"
"Database Error","Błąd połączenia z bazą danych"
"Error establishing a database connection","Błąd łączenia się z bazą danych"
"Global Dashboard: %s","Główny kokpit: %s"
"Network Admin: %s","Administracja siecią: %s"
"Tags","Tagi"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Skrypty i style nie powinny być rejestrowane ani dodawane do kolejek do czasu włączenia jednej z następujących funkcji obsługujących rozszerzenia (ang. &#8222;hook&#8221;): &#8222;%s&#8221;, &#8222;%s&#8221; lub &#8222;%s&#8221;."
"Allow link notifications from other blogs (pingbacks and trackbacks)","Zezwól innym blogom na informowanie o umieszczeniu odnośnika do tej witryny (pingbacki i trackbacki)"
"Use <code>WP_User->ID</code> instead.","Zamiast tego wykorzystaj zmienną <code>WP_User->ID</code>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Twoje konto zostało dodane do tej witryny. Proszę przejść na <a href=\"%s\">stronę domową</a> lub <a href=\"%s\">zalogować się</a>, używając swojej nazwy użytkownika i hasła."
"Memory exceeded. Please try another smaller file.","Limit pamięci został przekroczony. Proszę spróbować wysłać mniejszy plik."
"This is larger than the maximum size. Please try another.","Rozmiar tego pliku przekracza dopuszczalny. Proszę spróbować wysłać inny."
"This file is not an image. Please try another.","Ten plik nie jest obrazkiem. Proszę spróbować wysłać inny plik."
"Use commas instead of %s to separate excluded categories.","Użyj przecinków zamiast %s, aby oddzielić wyłączane kategorie."
"Gray","Szary"
"Blue","Niebieski"
"The timezone you have entered is not valid. Please select a valid timezone.","Wybrano nieprawidłową strefę czasową. Proszę poprawić swój wybór."
"Post","Wpis"
"Page","Stronę"
"Name:","Podpis:"
"Media","Medium"
"Link","Odnośnik"
"User","Użytkownika"
