"Invalid user ID.","Neplatné ID používateľa."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nová stránka: %s\nURL: %s\nIP adresa: %s\n\nZrušiť tieto upozornenia: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nový používateľ: %s\nIP adresa: %s\n\nZrušiť tieto upozornenia: %s"
"Link To","Odkaz na"
"Attachment Page","Stránka príloh"
"Media File","Multimediálny súbor"
"Describe this video&hellip;","Popíšte toto video&hellip;"
"Describe this audio file&hellip;","Popíšte tento zvukový záznam&hellip;"
"Describe this media file&hellip;","Popíšte tento mediálny súbor&hellip;"
"Update gallery","Aktualizovať galériu"
"The requested user does not exist.","Požadovaný používateľ neexistuje."
"Please enter a valid email address.","Prosím uveďte správnu/funkčnú emailovú adresu."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>CHYBA</strong>: Toto používateľské meno je už zaregistrované. Prosím, zvoľte si iné."
"File doesn&#8217;t exist?","Súbor neexistuje?"
"File is not an image.","Súbor nie je obrázok."
"Could not read image size.","Nemožno načítať veľkosť obrázka."
"Image resize failed.","Nepodarilo sa zmeniť veľkosť obrázka."
"Image crop failed.","Nepodarilo sa orezať obrázok."
"Image rotate failed.","Nepodarilo sa otočiť obrázok."
"Image flip failed.","Nepodarilo sa preklopiť obrázok."
"Image Editor Save Failed","Zlyhalo ukladanie v editore obrázkov"
"Media","Multimediá"
"Add New","Pridať nový"
"View Attachment Page","Zobraz stránku s prílohou"
"Whoops, the provided date is invalid.","Prepáčte, uvedený dátum je neplatný."
"Insert Media","Vložiť súbor"
"Create a new gallery","Vytvoriť novú galériu"
"Insert into post","Vložiť do príspevku"
"Add to gallery","Pridať do galérie"
"Clear","Vyčistiť"
"Select Color","Výber farby"
"Current Color","Aktuálna farba"
"Could not insert term relationship into the database","Nepodarilo sa vložiť väzbu medzi výrazmi do databázy "
"Incorrect username or password.","Nesprávne používateľské meno alebo heslo."
"XML-RPC services are disabled on this site.","Služba XML-RPC je na tomto webe vypnutá."
"There is a revision of this post that is more recent.","K dispozícii je novšia revízia tohto príspevku."
"%s %s %s Feed","%s %s %s RSS kanál"
"Display post date?","Zobraziť dátum príspevku?"
"You are not allowed to create pages as this user.","Nemáte dovolené vytvárať stránky pod týmto používateľským účtom."
"Invalid post ID","Nesprávne ID príspevku"
"Home URL","Domáca URL adresa"
"Sorry, you cannot edit users.","Prepáčte, nemôžete upravovať používateľov."
"Invalid user ID","Nesprávne ID používateľa"
"Sorry, you cannot list users.","Prepáčte, nemôžete zobraziť zoznam používateľov."
"The role specified is not valid","Špecifikovaná rola je neplatná"
"Sorry, you cannot edit your profile.","Prepáčte, nemôžete upraviť svoj profil."
"Sorry, the user cannot be updated.","Prepáčte, používateľ nemôže byť aktualizovaný."
"Sorry, you are not allowed to edit posts.","Prepáčte, nemáte oprávnenie upravovať príspevky."
"Sorry, revisions are disabled.","Prepáčte, revízie nie sú povolené."
"Alternative Text","Alternatívny text"
"Select Files","Označiť súbory"
"Distraction Free Writing mode","Režim písania bez rozptyľovania"
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Pre podrobnejšie informácie navštívte <a href=\"http://tinymce.com\" target=\"_blank\">web TinyMCE</a>."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Vkladanie obsahu z iných aplikácií ako napr. Word alebo Excel sa dá najlepšie vložiť prostredníctvom Word tlačítka v druhom riadku alebo v text režime."
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Pri vkladaní obsahu z inej webovej stránky môže byť výsledok neuspokojivý, závisí to na vašom prehliadači a aj od webovej stránky, z ktorej vkladáte obsah. Editor sa snaží opraviť neplatný HTML kód, ale pre dosiahnutie čo najlepších výsledkov skúste použiť Textový editor alebo niektoré z tlačidiel, ktoré sú v druhom riadku nástrojovej lišty. Prípadne skúste vkladať postupne odsek po odseku. Vo väčšine prehliadačov je možné vybrať práve jeden odsek trojitým kliknutím na neho."
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Ľubovoľný HTML kód, ktorý vložíte priamo do okna vizuálneho editora, sa v článku zobrazí ako text. Editor podporuje zobrazenie WYSIWYG, tj. čo napíšete, to vidíte. Ak chcete vložiť HTML elementy, ktoré sa nedajú vytvoriť pomocou tlačidiel z ponuky, musíte ich vložiť v textovom editore ručne. Napríklad tabuľky alebo &lt;code&gt;. Ak ich chcete vložiť, kliknite na záložku Textov7 editor, upravte kód a kliknite na tlačidlo Aktualizovať. Ak je kód v poriadku a editor ho pozná, mali by ste ihneď vidieť výsledok. "
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Ak potrebujete nahrať obrázok alebo iný súbor z počítača, môžete použiť tlačidlo knižnice médií na lište nad editorom. Knižnica médií sa pokúsi vytvoriť náhľadovú obrázok z každého nahratého obrázka. Ak chcete vložiť obrázok do príspevku, kliknite najprv na miniatúru pre zobrazenie ďalšej ponuky možností. Ak ste vybrali vyhovujúce možnosti, kliknite na tlačidlo \"Vložiť do príspevku\" a váš obrázok alebo súbor sa zobrazí v príspevku, ktorý upravujete."
"Editor width in Distraction Free Writing mode:","Šírka editora pre režim písania bez rozptyľovania:"
"QuickTime options","Možnosti QuickTime"
"Skip to toolbar","Prejsť na panel nástrojov"
"Top navigation toolbar.","Horná navigačná lišta."
"Distraction Free Writing mode (Alt + Shift + W)","Režim písania bez rozptýlenia (Alt + Shift + W)"
"Horizontal rule","Horizontálny oddelovač"
"Text","Textový editor (HTML)"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Webový prehliadač na vašom zariadení sa nedá použiť na nahratie súborov. Skúste namiesto neho použiť <a href=\"http://wordpress.org/extend/mobile/\">natívnu aplikáciu pre vaše zariadenie [EN]</a>."
"Hex Value","Šestnástková hodnota"
"Header Text Color","Farba textu hlavičky"
"Colors","Farby"
"Save &amp; Activate","Uložiť &amp;Aktivovať"
"Saved","Uložené"
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Úspešne ste aktualizovali WordPress!</strong> Prihláste sa prosím a uvidíte aký je úžasný."
"Save &amp; Publish","Uložiť &amp; Publikovať"
"Select File","Vybrať súbor"
"Customize","Prispôsobiť"
"Insufficient arguments passed to this XML-RPC method.","Odovzdaný nedostatok argumentov k tejto metóde XML-RPC."
"Sorry, you cannot stick a private post.","Prepáčte, ale nemôžete pripnúť súkromný príspevok."
"This key is invalid.","Neplatný kľúč."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Niektoré komentáre zatiaľ neboli preverené proti spamu Akismetom. Boli dočasne podržané na správu. Prosím overte svoje <a href=\"%s\">nastavenia Akismetu</a> a kontaktujte svojho poskytovateľa webhostingu ak by problémy pretrvávali."
"Awaiting spam check","Čaká sa na kontrolu spamu"
"Display the number of spam comments Akismet has caught","Zobraziť množstvo spam komentárov, ktoré zachytil Akismet"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s spamy</strong> boli zablokované <strong>Akismetom</strong>"
"No Image","Žiaden obrázok"
"Random Default Image","Náhodný predvolený obrázok"
"Random Uploaded Image","Náhodný nahraný obrázok"
"You can edit your menu content on the Menus screen in the Appearance section.","Môžete upraviť vaše menu na obrazovke Menu v sekcií Vzhľad."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Súbor presuňte sem alebo <a href=\"#\" class=\"upload\">vyberte súbor</a>."
"Header Image","Obrázok hlavičky"
"Post Thumbnail","Miniatúra príspevku"
"text direction","smer textu"
"Toggle Editor Text Direction","Prepnúť zarovnanie textu v editore"
"Site name must be at least 4 characters.","Názov stránky musí obsahovať najmenej 4 znaky."
"Please enter a site name.","Zadajte názov stránky."
"That username is not allowed.","Toto meno používateľa nie je povolené."
"Please enter a username.","Zadajte meno používateľa."
"Please enter a site title.","Prosím zadajte názov stránky."
"That name is not allowed.","Toto meno nie je povolené."
"Username must be at least 4 characters.","Používateľské meno musí obsahovať najmenej 4 znaky."
"A static page","Statická stránka"
"The theme directory does not exist.","Adresár témy neexistuje."
"Display Header Text","Zobraziť text v hlavičke"
"Background Color","Farba pozadia"
"Background Image","Obrázok pozadia"
"Background Repeat","Opakovanie pozadia"
"Background Position","Umiestnenie pozadia"
"Background Attachment","Príloha pozadia"
"Uploaded","Nahrané"
"Upload New","Nahrať nový"
"Remove Image","Odstrániť obrázok"
"Sorry, you are not allowed to edit this post type.","Prepáčte, nemáte oprávnenia na úpravu tohto typu príspevku."
"Scroll","Pozadie sa posúva so stránkou"
"Fixed","Pevné umiestnenie"
"No Repeat","Neopakovať"
"Tile","Dlaždice"
"Tile Horizontally","Dlažidcovať horizontálne"
"Tile Vertically","Dlažidcovať vertikálne"
"Front page","Titulná stránka"
"Posts page","Strana článkov"
"Upload","Nahrať"
"Remove","Odstrániť"
"Allowed Files","Povolené súbory"
"The term name cannot be empty.","Meno výrazu nemôže byť prázdne."
"You are not allowed to create terms in this taxonomy.","Nie je vám dovolené vytvárať výrazy v tejto taxonómií."
"This taxonomy is not hierarchical.","Táto taxonómia nie je hierarchická."
"Parent term does not exist.","Nadradený výraz neexistuje."
"Sorry, your term could not be created. Something wrong happened.","Prepáčte, váš výraz sa nedá vytvoriť. Niečo nie je v poriadku."
"You are not allowed to edit terms in this taxonomy.","Nie je vám dovolené upravovať výrazy v tejto taxonómií."
"This taxonomy is not hierarchical so you can't set a parent.","Táto taxonómia nie je hierarchická, preto nemôžete nastaviť nadradenú."
"Sorry, editing the term failed.","Prepáčte, zmena výrazu zlyhala."
"You are not allowed to delete terms in this taxonomy.","Nie je vám dovolené vymazávať výrazy v tejto taxonómií."
"Sorry, deleting the term failed.","Prepáčte, vymazávanie výrazu zlyhalo."
"You are not allowed to assign terms in this taxonomy.","Nie je vám dovolené priraďovať výrazy v tejto taxonómií."
"Select Link Category:","Zvoľ kategóriu odkazu:"
"Template","Šablóna"
"Stylesheet","Šablóna štýlu"
"Link title","Názov odkazu"
"Link rating","Rating odkazu"
"Link ID","ID odkazu"
"Number of links to show:","Počet odkazov ktoré sa zobrazia:"
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","CHYBA: Adresár tém je buď prázdny, alebo neexistuje. Prosím skontrolujte Vašu instaláciu."
"Stylesheet is not readable.","Šablóna štýlu nie je čitateľná."
"The \"%s\" theme is not a valid parent theme.","Téma \"%s\" nieje platná nadradená téma."
"Navigation","Navigácia"
"Your theme supports %s menu. Select which menu you would like to use.","Téma podporuje %s menu. Vyberte, ktoré menu chcete použiť."
"Your theme supports %s menus. Select which menu appears in each location.","Téma podporuje %s menu. Vyberte, ktoré z menu chcete použiť."
"Refresh","Obnoviť"
"Static Front Page","Statická Úvodná stránka"
"Your theme supports a static front page.","Vaša téma podporuje staticku úvodnú stránku."
"Your latest posts","Vaše posledné príspevky"
"Front page displays","Zobraziť na úvodnej stránke"
"Site Title & Tagline","Názov stránky & slogan"
"Tagline","Slogan"
"&mdash; Select &mdash;","&mdash; Výber &mdash; "
"Styles","Štýly"
"Use left and right arrows to navigate.","Použite šípky vľavo a vpravo na navigáciu."
"The post type may not be changed.","Typ článku nemôže byť zmenený."
"Image default size","Predvolená veľkosť obrázka"
"Image default link type","Predvolený typ odkazu"
"Image default align","Predvolené zarovnanie obrázka"
"Sorry, you are not allowed to edit this post.","Prepáčte, nemáte oprávnenie na upravenie tohto článku."
"Edit Site","Upraviť stránku"
"Sorry, you are not allowed to edit posts in this post type","Prepáčte, nemáte oprávnenia na úpravu článkov tohto typu"
"Invalid author ID.","Neplatné ID autora."
"Sorry, you are not allowed to delete this post.","Prepáčte, nemáte práva na zmazanie článku."
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Nejednoznačné meno termínu použitého v hierarchickej taxonómii. Prosim, použite miesto neho ID termínu."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Prepáčte, nemáte oprávnenie pridávať výrazy k jednej z uvedených taxonómií."
"The post cannot be deleted.","Článok nemôže byť odstránený."
"The post type specified is not valid","Špecifikovaný typ článku nie je platný"
"Invalid post type","Neplatný typ článku"
"Sorry, you are not allowed to create password protected posts in this post type","Prepáčte, nemáte oprávnenia vytvárať heslom chránené články pri tomto type článku"
"You are not allowed to create posts as this user.","Prepáčte, nemáte oprávnenia na vytváranie článkov ako tento užívateľ."
"Sorry, you are not allowed to create private posts in this post type","Prepáčte, nemáte oprávnenie vytvárať súkromné články pri tomto type článku."
"Sorry, you are not allowed to publish posts in this post type","Prepáčte, nemáte oprávnenie publikovať články pri tomto type článku"
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Prepáčte, nemáte oprávnenie priradzovať výrazy k niektorým z uvedených taxonómií."
"Sorry, one of the given taxonomies is not supported by the post type.","Prepáčte, niektoré z uvedených taxonómií nie sú podporované týmto typom článkov."
"Sorry, you are not allowed to stick this post.","Prepáčte, nemáte oprávnenia označiť tento príspevok ako dôležitý."
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Anglicky=en,Dánsky=da,Holansky=nl,Fínsky=fi,Francúzsky=fr,Nemecky=de,Taliansky=it,Polsky=pl,Portugalsky=pt,Španielsky=es,Švédsky=sv"
"Allow search engines to index this site.","Povoliť vyhľadávacím službám indexovanie tohto webu."
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Zdá sa, že súbor <code>wp-config.php</code> chýba. Potrebujem ho pred tým, než budeme môcť začať."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Potrebujete pomoc? <a href='http://codex.wordpress.org/Editing_wp-config.php'>Editácia wp-config.php [EN]</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Súbor <code>wp-config.php</code> môžete vytvoriť cez webové rozhranie, ale nefunguje to pre všetky nastavenia serverov. Najbezpečnejšia cesta je vytvoriť si súbor manuálne."
"Create a Configuration File","Vytvoriť konfiguračný súbor"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Čo je toto?</a>"
"http://wordpress.org/","http://sk.wordpress.org/"
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Vaša stránka <a href=\"%s\">%s</a> je aktívna. Teraz sa môžete prihlásiť na stránku pod užívatelským menom &#8220;%s&#8221;. Prosím skontrolujte si Vášu emailovú schránku na %s, kde Vám bolo zaslané heslo a prihlasovacie inštrukcie. Ak ste email nedostali, prosím skontrolujte si, či email nie je v nevyžiadanej pošte. Ak ste email stále nedostali do hodiny, môžete si <a href=\"%s\">vyresetovať heslo</a>."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> je Vaša nová stránka. <a href=\"%s\">Prihláste sa</a> ako &#8220;%s&#8221; s použitím Vášho existujúceho hesla."
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Váš účet bol aktivovaný. Teraz sa môžete <a href=\"%s\">prihlásiť</a> na Vašu stránku pod menom &#8220;%s&#8221; Prosím skontrolujte si Váš email %s, kde Vám bolo zaslané heslo a ďalšie inštrukcie. Ak ste email nedostali, skontrolujte si, či email nie je v nevyžiadanej pošte. Ak ste email nedostali ani do hodiny, môžete si <a href=\"%s\">onoviť heslo</a>."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Jedna alebo viac databázových tabuliek sú nedostupné. Databáza môže potrebovať <a href=\"%s\">opraviť</a>."
"Mission complete. Message <strong>%s</strong> deleted.","Akcia úspešná. Správa <strong>%s</strong> vymazaná."
"You are posting comments too quickly. Slow down.","Posielate komentáre príliš rýchlo. Spomaľte."
"New","Nové"
"%s comment awaiting moderation","%s komentár čaká na schválenie"
"%s comments awaiting moderation","%s komentáre čakajú na schválenie"
"What do I do now?","Čo mám teraz robiť?"
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s prekračuje maximálnu veľkosť nahrávaných súborov pre multi-súborový nahrávač vo vašom prehliadači."
"Please try uploading this file with the %sbrowser uploader%s.","Skúste nahrať tento súbor cez %sNahrávač prehliadača%s."
"&#8220;%s&#8221; has failed to upload.","Nepodarilo sa nahrať:  &#8220; %s&#8221"
"Toggle spellchecker (Alt + Shift + N)","Spustiť kontrolu pravopisu (Alt + Shift + N) "
"Toggle fullscreen mode (Alt + Shift + G)","Prepnúť na celú obrazovku (Alt + Shift + G) "
"Align Center (Alt + Shift + C)","Zarovnať do stredu (Alt + Shift + C)"
"Align Left (Alt + Shift + L)","Zarovnať naľavo (Alt + Shift + L)"
"Strikethrough (Alt + Shift + D)","Prečiarknuté (Alt + Shift + D)"
"Align Full (Alt + Shift + J)","Zarovnať do bloku (Alt + Shift + J) "
"Redo (Ctrl + Y)","Znovu (Ctrl + Y) "
"Undo (Ctrl + Z)","Vrátiť späť (Ctrl + Z)"
"Insert Page break (Alt + Shift + P)","Vložiť zalomenie strany (Alt + Shift + P)"
"Insert More Tag (Alt + Shift + T)","Vložiť značku pre pokračovanie textu (Alt + Shift + T) "
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Zobraziť/skryť rozšírené možnosti (Alt + Shift + Z) "
"Blockquote (Alt + Shift + Q)","Úvodzovky odstavca (Alt + Shift + Q)"
"Align Right (Alt + Shift + R)","Zarovnať napravo (Alt + Shift + R)"
"All Links","Všetky odkazy"
"The menu ID should not be empty.","Menu ID by nemalo byť prázdne."
"About WordPress","O WordPress"
"Visit Network","Navštíviť sieť"
"http://wordpress.org/support/","http://wp.sk/forum/"
"%s exceeds the maximum upload size for this site.","%s prekračuje maximálnu veľkosť nahrávaných súborov na tejto webovej stránke."
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Pre viac informácií sa pozrite sa aj na <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Ladenie WordPress</a> [EN]."
"Feedback","Spätná väzba"
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Vážený užívateľ,\n\nVaša nová stránka SITE_NAME bola úspešne nainštalovaná na:\nBLOG_URL\n \nMôžete sa prihlásiť do účtu administrátora s nasledujúcimi informáciami:\n\nUžívateľské meno: USERNAME\nHeslo: PASSWORD\n \nPrihlásiť sa môžete na BLOG_URLwp-login.php\n\nVeríme, že si spokojne užijete vašu novú stránku. Vďaka!\n\n--Tím @ SITE_NAME"
"<strong>ERROR</strong>: please type a comment.","<strong>CHYBA</strong>: prosím napíšte komentár."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>CHYBA</strong>: prosím, zadajte platnú e-mailovú adresu."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>CHYBA</strong>: prosím, vyplňte požadované polia (meno, e-mail)."
"ERROR: Invalid values entered, these are marked in red.","CHYBA: Boli vložené neplatné hodnoty, tieto sú označené červenou."
"Could not load the preview image. Please reload the page and try again.","Náhľad sa nedá načítať. Obnovte stránku (stlačte F5) a skúste to znova."
"<strong>ERROR</strong>: Site URL already taken.","<strong>CHYBA</strong>: URL adresa stránky je už obsadená."
"<strong>ERROR</strong>: problem creating site entry.","<strong>CHYBA</strong>: problém pri vytváraní záznamu stránky."
"No","Nie"
"Users","Používatelia"
"Actions","Akcie"
"Update","Aktualizovať"
"Sites","Stránky"
"Name","Názov"
"Username","Používateľské meno"
"Settings","Nastavenia"
"Options saved.","Nastavenia uložené."
"Dashboard","Nástenka"
"Cheatin&#8217; uh?","Podvádzate, čo?"
"Themes","Témy"
"Log In","Prihlásiť sa"
"Title"," Nadpis"
"Public","Verejné"
"Path","Cesta"
"Plugins","Moduly"
"Yes","Áno"
"My Sites","Moje stránky"
"Site Title","Názov stránky"
"First Post","Prvý článok"
"Password:","Heslo:"
"Activate","Aktivovať"
"Documentation","Dokumentácia"
"Support Forums","Fórum technickej podpory"
"Database Error","Chyba databázy"
"Error establishing a database connection","Chyba pri nadväzovaní spojenia s databázou"
"Global Dashboard: %s","Globálna nástenka: %s"
"Network Admin: %s","Správca siete: %s"
"Tags","Značky"
"Tag","Značka"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Skripty a štýly by nemali byť registrované alebo zaradené skôr ako %s, %s alebo %s."
"Allow link notifications from other blogs (pingbacks and trackbacks)","Povoliť oznámenia o odkazoch z iných blogov (spätné upozornenia a spätné odkazy)"
"Use <code>WP_User->ID</code> instead.","Namiesto toho použite <code>WP_User->ID</code>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Boli ste pridaný na túto stránku. Prosím, navštívte vašu <a href=\"%s\">domovskú stránku</a>, alebo <a href=\"%s\">sa prihláste</a> pomocou vášho prihlasovacieho mena a hesla."
"Memory exceeded. Please try another smaller file.","Plná pamäť. Skúste použiť menší súbor."
"This is larger than the maximum size. Please try another.","Bola prekročená maximálna veľkosť súboru. Skúste iný súbor."
"This file is not an image. Please try another.","Tento súbor nie je obrázok. Skúste iný súbor."
"Use commas instead of %s to separate excluded categories.","Na oddelenie zvolených kategórií použite čiarku namiesto %s."
"Gray","Šedá"
"Blue","Modrá"
"The timezone you have entered is not valid. Please select a valid timezone.","Časové pásmo, ktoré ste zadali, je neplatné. Prosím, vyberte platné časové pásmo."
"Post","Článok"
"Page","Stránka"
"Name:","Názov:"
"Link","Odkaz"
"User","Používateľa"
"You should specify a nonce action to be verified by using the first parameter.","Využitím prvého parametra by ste mali určiť \"nonce\" akciu ktorá má byť overená."
"View Tag","Zobraziť značku"
"View Category","Zobraziť kategóriu"
"Wider","Širší"
"Narrower","Užší"
"Default width","Predvolená šírka"
"Word count: %s","Počet slov: %s"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Váš účet bol aktivovaný. <a href=\"%s\">Prihláste sa</a>, alebo sa vráťte na <a href=\"%s\">domovskú stránku</a>."
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Váš účet bol aktivovaný. Teraz môžete <a href=\"%s\">zobraziť vašu stránku</a> alebo sa <a href=\"%s\">prihlásiť</a>."
"Help (Alt + Shift + H)","Nápoveda (Alt + Shift + H)"
"Howdy, %s","Ahoj, %s"
"Exit fullscreen","Opustiť režim celej obrazovky"
"Just write.","Len píšte."
"Approve and Reply","Schváliť a odpovedať"
"All Posts","Všetky články"
"All Pages","Všetky stránky"
"Updated.","Aktualizované."
"fullscreen","celá obrazovka"
"Bold (Ctrl + B)","Tučné (Ctrl + B)"
"Italic (Ctrl + I)","Kurzíva (Ctrl + I)"
"Ordered list (Alt + Shift + O)","Usporiadaný zoznam (Alt + Shift + O)"
"Unordered list (Alt + Shift + U)","Neusporiadaný zoznam (Alt + Shift + U)"
"Insert/edit image (Alt + Shift + M)","Vložiť / upraviť obrázok (Alt + Shift + M)"
