"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Проблем са мрежом или ватрени зид блокирају све везе са вашег веб сервера према Akismet.com.  <strong>Акисмет не може исправно да ради док ово није поправљено.</strong> Молимо вас да контактирате домаћина вашег сервера или управника ватреног зида и дате им <a href=\"%s\" target=\"_blank\">ову информацију о Акисмету и ватреним зидовима</a>."
"All Akismet servers are available.","Сви Акисметови сервери су доступни."
"Akismet is working correctly.  All servers are accessible.","Акисмет исправно ради. Сви сервери су приступачни."
"Unable to find Akismet servers.","Није могуће пронаћи Акисметове сервере."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","DNS проблем или ватрени зид ометају сав приступ са вашег сервера ка Akismet.com.  <strong>Акисмет не може да исправно ради док ово није исправљено.</strong>  Молимо вас да контактирате домаћина вашег сервера или управника ватреног зида и дате им <a href=\"%s\" target=\"_blank\">ову информацију о Акисмету и ватреним зидовима</a>."
"Akismet server","Сервер Акисмета"
"Network Status","Стање мреже"
"Accessible","Доступан"
"Re-trying","Поновни покушај"
"Last checked %s ago.","Последњи пут проверено пре %s."
"Check network status &raquo;","Провери стање мреже &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Притисните овде</a> да бисте потврдили да је <a href=\"%s\" target=\"_blank\">Akismet.com доступан</a>."
"Spam","Непожељни"
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Акисмет</a> је заштитио ваше веб место од <a href=\"%s\">%s непожељна коментара</a>."
"Akismet is almost ready.","Акисмет је скоро спреман."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Морате <a href=\"%s\">унети свој Акисметов API кључ</a> да би то радило."
"Akismet has detected a problem.","Акисмет је пронашао проблем."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Неки коментари нису проверени да ли су непожељни од стране Акисмета. Привремено су задржани на прегледу. Молимо вас да проверите своја <a href=\"%s\">подешавања Акисмета</a> и да контактирате свог домаћина ако проблем и даље постоји."
"Awaiting spam check","Чека проверу да ли је непожељан"
"Flagged as spam by Akismet","Означен као непожељан од стране Акисмета"
"Cleared by Akismet","Очишћен од стране Акисмета"
"Flagged as spam by %s","Означен као непожељан од стране %s"
"Un-spammed by %s","Враћен из непожељних од стране %s"
"View comment history","Види историју коментара"
"History","Историја"
"%s approved","%s прихваћена"
"%s ago","%s раније"
"Akismet","Акисмет"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Акисмет</a> је већ заштитио ваше веб место од %s непожељног коментара."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Акисмет</a> је већ заштитио ваше веб место од %s непожељна коментара."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Акисмет</a> зауставља непожељне коментаре од појаве на вашем блогу."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Тренутно постоји <a href=\"%s\">%s коментар</a> у реду за чекање непожељних коментара."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Тренутно постоје <a href=\"%s\">%s коментара</a> у реду за чекање непожељних коментара."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Тренутно нема ничега у вашем <a href='%s'>реду за чекање непожељних коментара</a>."
"Check for Spam","Провери за непожељне коментаре"
"%s reported this comment as not spam","%s скинуо ознаку непожељан са овог коментара"
"%s reported this comment as spam","%s означио овај коментар као непожељан"
"%s changed the comment status to %s","%s је променио стање коментара у %s"
"Akismet re-checked and caught this comment as spam","Акисмет је поново проверио и препознао овај коментар као непожељан"
"Akismet re-checked and cleared this comment","Акисмет је поново проверио и очистио овај коментар."
"Akismet was unable to re-check this comment (response: %s)","Акисмет није успео да поново проверио овај коментар (одговор: %s)"
"Akismet Stats","Статистике Акисмета"
"Akismet caught this comment as spam","Акисмет је препознао овај коментар као непожељан"
"Comment status was changed to %s","Стање коментара је промењено у %s"
"Akismet cleared this comment","Акисмет је очистио овај коментар"
"Comment was caught by wp_blacklist_check","Коментар је препознат од стране wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Акисмет није био у могућности да провери овај коментар (одговор: %s), покушаће аутоматски касније."
"Akismet caught this comment as spam during an automatic retry.","Акисмет је препознао овај коментар као непожељан током аутоматског покушаја."
"Akismet cleared this comment during an automatic retry.","Акисмет је очистио овај коментар током аутоматског покушаја."
"Akismet Spam (%s)","Акисмет непожељни коментари (%s)"
"Akismet Spam","Акисмет непожељни коментари"
"You do not have sufficient permission to moderate comments.","Немате довољна права да уређујете коментаре."
"%s comments recovered.","%s коментара враћено."
"All spam deleted.","Сви непожељни коментари су обрисани."
"Caught Spam","Ухваћени непожељни коментари"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Акисмет је ухватио <strong>%s непожељних коментара</strong> за вас од када сте га први пут поставили."
"You have no spam currently in the queue. Must be your lucky day. :)","Тренутно немате непожељних коментара у реду за чекање. Ово мора да је ваш срећан дан. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Можете избрисати све непожељне коментаре из своје базе једним притиском. Овај поступак не може се исправити када прођете кроз њега. Непожељни коментари су аутоматски избрисани после 15 дана."
"There are currently %s comments identified as spam.","Тренутно има %s коментара који су означени као непожељни."
"Delete all","Обриши све"
"Search","Претрага"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Ово су последњи коментари који су означени као непожељни од стране Акисмета. Уколико видите неке грешке, једноставно означите коментар као \"није непожељан\" и Акисмет ће учити од грешке. Уколико желите да повратите коментар из непожељних коментара, једноставно изаберите коментар и притисните Није непожељан. После 15 дана ми чистимо отпатке за вас."
"All","Сви"
"Comments","Коментари"
"Search Spam &raquo;","Претражи непожељне коментаре &raquo;"
"&laquo; Previous Page","&laquo; Претходна страна"
"Next Page &raquo;","Следећа страна &raquo;"
"Not Spam","Није непожељан коментар"
"View Post","Види чланак"
"De-spam marked comments &raquo;","Скини ознаку „непожељан коментар“ са одабраних коментара &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Коментари које извучете из непожељних коментара биће поднети Акисмету као грешке тако да он може да учи и ради боље."
"No results found.","Нема резултата."
"Recheck Queue for Spam","Провери ред непожељних коментара"
"Akismet Widget","Акисметов виџет"
"Display the number of spam comments Akismet has caught","Прикажите број непожељних коментара које је Акисмет ухватио"
"Spam Blocked","Заустављени непожељни коментари"
"Title:","Наслов:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s непожељна коментара</strong> су заустављена од стране <strong>Акисмета</strong>"
"About WordPress","О Вордпресу"
"WordPress.org","sr.WordPress.org"
"http://wordpress.org/","http://sr.wordpress.org/"
"Documentation","Документација"
"Support Forums","Форуми подршке"
"http://wordpress.org/support/","http://sr.forums.wordpress.org/"
"Feedback","Реаговање"
"http://wordpress.org/support/forum/requests-and-feedback","http://sr.forums.wordpress.org/forum/%d0%s9e%d1%s81%d1%s82%d0%sb0%d0%sbb%d0%sbe"
"Howdy, %s","Здраво, %s"
"My Account","Мој налог"
"Edit My Profile","Уреди мој профил"
"Log Out","Одјава"
"Network Admin: %s","Управљање мрежом: %s"
"Global Dashboard: %s","Општа контролна табла: %s"
"Visit Site","Посети веб место"
"Edit Site","Уреди веб место"
"Dashboard","Контролна табла"
"My Sites","Моја веб места"
"Network Admin","Управљање мрежом"
"Sites","Веб места"
"Users","Корисници"
"Visit Network","Посети мрежу"
"New Post","Нови чланак"
"Manage Comments","Управљај коментарима"
"Shortlink","Кратка веза"
"Link","Веза"
"User","Корисник"
"New","Нова"
"Add New","Додај нову"
"%s comment awaiting moderation","%s коментар чека преглед"
"%s comments awaiting moderation","%s коментара чекају преглед"
"Themes","Теме"
"Customize","Прилагоди"
"Widgets","Виџети"
"Menus","Изборници"
"Background","Позадина"
"Header","Заглавље"
"XML error: %s at line %d","XML грешка: %s на линији %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Користите <code>get_the_author()</code> уместо тога уколико не желите да одјек вредности."
"Visit %s&#8217;s website","Посетите веб место од %s"
"Posts by %s","Чланци од %s"
"Last updated: %s","Последњи ажуриран: %s"
"Bookmarks","Обележивачи"
"Use <code>WP_User->ID</code> instead.","Уместо тога користите <code>WP_User->ID</code>."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Коришћење корисничких нивоа у додацима и темама је застарело. Користите улоге и способности уместо тога."
"View all posts in %s","Види све чланке у %s"
"Uncategorized","Некатегоризовано"
"No categories","Нема категорија"
"Categories","Категорије"
"%s topic","%s тема"
"%s topics","%s теме"
"View all posts filed under %s","Види све чланке написане под %s"
"Feed for all posts filed under %s","RSS довод за све чланке написане под категоријом %s"
"Tags:","Ознаке:"
"A valid URL was not provided.","Исправан URL није достављен."
"User has blocked requests through HTTP.","Корисник је блокирао захтеве преко HTTP-а."
"Destination directory for file streaming does not exist or is not writable.","Циљани директоријум за преузимање датотеке не постоји или није уписив."
"There are no HTTP transports available which can complete the requested request.","Нема доступних HTTP превоза који могу да заврше захтевани захтев."
"Could not open handle for fopen() to %s","Није могуће отворити држач за fopen() ка %s"
"Too many redirects.","Превише преусмеравања."
"Malformed URL: %s","Неисправна адреса: %s"
"No server specified","Нема наведеног сервера"
"Error","Грешка"
"no login ID submitted","није дат ID пријаве"
"connection not established","веза није успостављена"
"No password submitted","Није дата лозинка"
"Authentication failed","Пријава није успела"
"No connection to server","Нема везе ка серверу"
"No login ID submitted","Није дат ID пријаве"
"No server banner","Нема банера сервера"
"abort","обустави"
"apop authentication failed","apop пријава није успела"
"Premature end of list","Преурањен крај списка"
"Empty command string","Празан командни стринг"
"connection does not exist","веза не постоји"
"No msg number submitted","Није дат број поруке"
"Command failed","Команда није успела"
"The menu ID should not be empty.","ID изборника не би требало да буде празан."
"Skip to toolbar","Скочи на траку са алаткама"
"Top navigation toolbar.","Трака са алаткама кретања на врху."
"&mdash; Select &mdash;","&mdash; Изаберите &mdash;"
"Default","Подразумевано"
"Hex Value","Хекс вредност"
"Upload","Отпреми"
"Remove","Уклони"
"No Image","Нема слике"
"Upload New","Отпреми нову"
"Uploaded","Отпремљена"
"Remove Image","Уклони слику"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Прегледач веба на вашем уређају не може бити коришћен за отпремање датотека. Можда уместо тога можете да користите <a href=\"http://wordpress.org/extend/mobile/\">изворну апликацију за свој уређај</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Превуците датотеку овде или <a href=\"#\" class=\"upload\">одаберите датотеку</a>."
"Select File","Одабери датотеку"
"Background Image","Слика у позадини"
"Header Image","Слика у заглављу"
"Random Default Image","Случајна подразумевана слика"
"Random Uploaded Image","Случајна отпремљена слика"
"Site Title & Tagline","Наслов и поднаслов веб места"
"Site Title","Наслов веб места"
"Tagline","Поднаслов"
"Colors","Боје"
"Display Header Text","Прикажи текст заглавља"
"Header Text Color","Боја текста заглавља"
"Background Color","Боја позадине"
"Background Repeat","Понављање позадине"
"No Repeat","Без понављања"
"Tile","Поплочај"
"Tile Horizontally","Поплочај водоравно"
"Tile Vertically","Поплочај усправно"
"Background Position","Положај позадине"
"Left","Лево"
"Center","Центрирано"
"Right","Десно"
"Background Attachment","Прилог у позадини"
"Fixed","Учвршћење"
"Scroll","Кретање"
"Navigation","Кретање"
"Your theme supports %s menu. Select which menu you would like to use.","Ваша тема подржава %s изборник. Изаберите који изборник желите да користите."
"Your theme supports %s menus. Select which menu appears in each location.","Ваша тема подржава %s изборника. Изаберите који изборник се појављује на ком месту."
"You can edit your menu content on the Menus screen in the Appearance section.","Можете уређивати садржај свог изборника на екрану Изборници у одељку Изглед."
"Static Front Page","Статична почетна страница"
"Your theme supports a static front page.","Ваша тема подржава статичну почетну страницу."
"Front page displays","Почетна страница приказује"
"Your latest posts","Ваши скорашњи чланци"
"A static page","Статична страница"
"Front page","Почетна страница"
"Posts page","Страница чланака"
"Text","Текст"
"Visual","Видљиво"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","енглески=en,дански=da,холандски=nl,фински=fi,француски=fr,немачки=de,италијански=it,пољски=pl,португалски=pt,шпански=es,шведски=sv"
"Update","Ажурирај"
"Save","Сачувај"
"Exit fullscreen","Изађи са целог екрана"
"Bold (Ctrl + B)","Подебљано (Ctrl + B)"
"Italic (Ctrl + I)","Искошено (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Неуређена листа (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Нумерисана листа (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Цитат (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","Уметни/уреди слику (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Уметни/уреди везу (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Уклони везу (Alt + Shift + S)"
"Help (Alt + Shift + H)","Помоћ (Alt + Shift + H)"
"Updated.","Ажурирано."
"Saved.","Сачувано."
"Enter title here","Унесите наслов овде"
"Word count: %s","Бројач речи: %s"
"Just write.","Само пишите."
"Enter the destination URL","Унесите циљ URL-а"
"Title","Наслов"
"Open link in a new window/tab","Отвори везу у новом прозору/језичку"
"Or link to existing content","или повежите ка постојећем садржају"
"No search term specified. Showing recent items.","Нема наведених појмова за претрагу. Приказивање скорашњих ставки."
"Add Link","Додај везу"
"Cancel","Одустани"
"File doesn&#8217;t exist?","Датотека не постоји?"
"File is not an image.","Датотека није слика."
"Could not read image size.","Није могуће учитати величину слике."
"Image resize failed.","Промена величине слике није успела."
"Could not calculate resized image dimensions","Није могуће израчунати величину слике којој је промењена величина"
"Image crop failed.","Исецање слике није успело."
"Image rotate failed.","Окретање слике није успело."
"Image flip failed.","Окретање слике није успело."
"Image Editor Save Failed","Снимање уређивача слике није успело"
"Could not read image size","Није могуће учитати величину слике"
"The theme directory does not exist.","Директоријум теме не постоји."
"Stylesheet is missing.","Недостају стилови."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","ГРЕШКА: Директоријум тема је празан или не постоји. Молимо вас да проверите своју поставку."
"Stylesheet is not readable.","Стил није читљив."
"Template is missing.","Недостаје шаблон."
"The parent theme is missing. Please install the \"%s\" parent theme.","Родитељска тема недостаје. Молимо вас да поставите родитељску тему \"%s\"."
"The \"%s\" theme is not a valid parent theme.","Тема \"%s\" није исправна родитељска тема."
"Visit author homepage","Посетите веб место аутора"
"Anonymous","Анонимни"
",",", "
"XML-RPC services are disabled on this site.","XML-RPC услуге су искључене на овом веб месту."
"Incorrect username or password.","Неисправно корисничко име или лозинка."
"Software Name","Име софтвера"
"Software Version","Издање софтвера"
"Site URL","URL веб места"
"Home URL","URL почетка"
"Image default link type","Подразумевана врста везе"
"Image default size","Подразумевана величина слике"
"Image default align","Подразумевано поравнање слике"
"Template","Шаблон"
"Stylesheet","Стилови"
"Post Thumbnail","Издвојена слика"
"Time Zone","Временска зона"
"Site Tagline","Поднаслов веб места"
"Date Format","Облик датума"
"Time Format","Облик времена"
"Allow new users to sign up","Дозволи новим корисницима да се учлане"
"Thumbnail Width","Ширина умањене слике"
"Thumbnail Height","Висина умањене слике"
"Crop thumbnail to exact dimensions","Исеците сличицу до тачних величина"
"Medium size image width","Ширина слике средње величине"
"Medium size image height","Висина слике средње величине"
"Large size image width","Ширина слике велике величине"
"Large size image height","Висина слике велике величине"
"Allow people to post comments on new articles","Дозволи писање коментара на новим уносима"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Дозволи обавештавање путем веза са других блогова (повратни пингови и повратне везе)"
"Insufficient arguments passed to this XML-RPC method.","Недовољно аргумената је додељено овој XML-RPC методи."
"Invalid post type","Неисправна врста чланка"
"Invalid post ID.","Неисправан ID чланка."
"Sorry, you are not allowed to edit this post.","Жао нам је, није вам дозвољено да уређујете овај чланак."
"The post type may not be changed.","Врста уноса не може бити промењена."
"Sorry, you are not allowed to post on this site.","Жао нам је, није вам дозвољено да објављујете на овом веб месту."
"Sorry, you are not allowed to create private posts in this post type","Жао нам је, није вам дозвољено да правите приватне чланке на овом веб месту."
"Sorry, you are not allowed to publish posts in this post type","Жао нам је, није вам дозвољено да објављујете чланке ове врсте уноса."
"Sorry, you are not allowed to create password protected posts in this post type","Жао нам је, није вам дозвољено да правите чланке заштићене лозинком ове врсте уноса."
"You are not allowed to create posts as this user.","Није вам дозвољено да правите чланке као овај корисник."
"Invalid author ID.","Неисправан ID аутора."
"Sorry, you cannot stick a private post.","Жао нам је, не можете да залепите приватан чланак."
"Sorry, you are not allowed to stick this post.","Жао нам је, није вам дозвољено да залепите овај чланак."
"Invalid attachment ID.","Неисправан ID прилога."
"Sorry, one of the given taxonomies is not supported by the post type.","Жао нам је, једна од датих таксономија није подржана од стране врсте уноса."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Жао нам је, није вам дозвољено да доделите термин једној од датих таксономија."
"Invalid term ID","Неправилан ID термина"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Двозначно име термина је коришћено у хијерархијској таксономији. Молимо вас да уместо тога користите ID термина."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Жао нам је, није вам дозвољено да додате термин једној од датих таксономија."
"Sorry, your entry could not be posted. Something wrong happened.","Жао нам је, ваш унос не може бити објављен. Нешто се десило погрешно."
"There is a revision of this post that is more recent.","Постоји ревизија овог чланка која је новија."
"Sorry, you are not allowed to delete this post.","Жао нам је, није вам дозвољено да избришете овај чланак."
"The post cannot be deleted.","Чланак не може бити обрисан."
"Sorry, you cannot edit this post.","Жао нам је, не можете да уређујете овај чланак."
"The post type specified is not valid","Наведена врста уноса није исправна"
"Sorry, you are not allowed to edit posts in this post type","Жао нам је, није вам дозвољено да уређујете чланке ове врсте уноса."
"Invalid taxonomy","Неправилна таксономија"
"You are not allowed to create terms in this taxonomy.","Није вам дозвољено да правите термине у овој таксономији."
"The term name cannot be empty.","Назив термина не може бити празан."
"This taxonomy is not hierarchical.","Ова таксономија није хијерархијска."
"Parent term does not exist.","Надређени термин не постоји."
"Sorry, your term could not be created. Something wrong happened.","Жао нам је, ваш термин не може бити направљен. Нешто се десило погрешно."
"You are not allowed to edit terms in this taxonomy.","Није вам дозвољено да уређујете термине у овој таксономији."
"This taxonomy is not hierarchical so you can't set a parent.","Ова таксономија није хијерархијска тако да не можете да одредите родитеља."
"Sorry, editing the term failed.","Жао нам је, уређивање термина није успело."
"You are not allowed to delete terms in this taxonomy.","Није вам дозвољено да бришете термине у овој таксономији."
"Sorry, deleting the term failed.","Жао нам је, брисање термина није успело."
"You are not allowed to assign terms in this taxonomy.","Није вам дозвољено да додељујете термине у овој таксономији."
"Sorry, you cannot edit users.","Жао нам је, не можете да уређујете кориснике."
"Invalid user ID","Неисправан ID корисника"
"Sorry, you cannot list users.","Жао нам је, не можете да приказујете кориснике."
"The role specified is not valid","Наведена улога није исправна"
"Sorry, you cannot edit your profile.","Жао нам је, не можете да уређујете свој профил."
"Sorry, the user cannot be updated.","Жао нам је, корисник не може бити ажуриран."
"Sorry, you cannot edit this page.","Жао нам је, не можете да уређујете ову страну."
"Sorry, no such page.","Жао нам је, нема такве стране."
"Sorry, you cannot edit pages.","Жао нам је, не можете да уређујете стране."
"Sorry, you do not have the right to delete this page.","Жао нам је, немате права да избришете ову страну."
"Failed to delete the page.","Брисање ове стране није успело."
"Sorry, you do not have the right to edit this page.","Жао нам је, немате права да уређујете ову страну."
"Sorry, you cannot edit posts on this site.","Жао нам је, не можете да уређујете чланке на овом веб месту."
"Sorry, you must be able to edit posts on this site in order to view tags.","Жао нам је, морате бити у могућности да уређујете чланке на овом веб месту да бисте видели ознаке."
"Sorry, you do not have the right to add a category.","Жао нам је, немате довољно права да додате категорију."
"Sorry, the new category failed.","Жао нам је, није успело прављење нове категорије."
