"New password","Nytt passord"
"Gimme a site!","Gi meg et nettsted!"
"Just a username, please.","Kun et brukernavn, takk."
"Next","Neste"
"%s is your new username","%s er ditt nye brukernavn"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Men før du kan begynne å bruke ditt nye brukernavn, <strong>må du aktivere det</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Sjekk din innboks på <strong>%s</strong> og klikk på lenken i e-posten."
"If you do not activate your username within two days, you will have to sign up again.","Hvis du ikke aktiverer ditt brukernavn innen to dager, må du registrere deg på nytt."
"Signup","Registrer"
"Congratulations! Your new site, %s, is almost ready.","Gratulerer! Ditt nye nettsted, %s, er nesten ferdig."
"But, before you can start using your site, <strong>you must activate it</strong>.","Men, før du kan begynne å bruke nettstedet, <strong>må du aktivere det</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Hvis du ikke aktiverer nettstedet innen to dager, må du registrere deg på nytt."
"Still waiting for your email?","Venter du forsatt på e-posten din?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Hvis du ikke har mottatt e-posten ennå, er det flere ting du kan gjøre:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Vent litt til. Noen ganger kan e-poster bli forsinket på grunn av ting som er utenfor vår kontroll."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Sjekk søppelmappen i e-postkontoen din. Noen ganger havner e-poster der ved en feil."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Har du skrevet inn riktig e-post? Du skrev inn %s. Hvis det er feil, vil du ikke få noen e-post."
"all","alle"
"none","ingen"
"blog","blogg"
"user","bruker"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Hei, nettstedsadministrator! Du tillater nå &laquo;%s&raquo;-registreringer. For å endre eller deaktivere registreringer går du til dine <a href=\"%s\">innstillinger</a>."
"Registration has been disabled.","Registrering har blitt deaktivert."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Du må først <a href=\"%s\">logge inn</a> for å kunne legge til et nytt nettsted."
"User registration has been disabled.","Registrering av brukere har blitt deaktivert."
"Site registration has been disabled.","Registrering av nettsteder har blitt deaktivert."
"Sorry, new registrations are not allowed at this time.","Beklager, nye registreringer er ikke tillatt nå."
"You are logged in already. No need to register again!","Du er allerede innlogget og trenger ikke å registrere deg igjen!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Nettstedet du så etter, <strong>%s</strong>, finnes ikke, men du kan lage det nå!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Nettstedet du så etter, <strong>%s</strong>, finnes ikke.</em></p>"
"Learn word","Lær ord"
"Insert Page Break","Sett inn sideskift"
"Types","Typer"
"Lower alpha","Lavere alpha"
"Lower greek","Lavere gresk"
"Lower roman","Lavere romersk"
"Upper alpha","Øvre alpha"
"Upper roman","Øvre romersk"
"Circle","Sirkel"
"Disc","Plate"
"Square","Kvadrat"
"Rich Text Area","Rik tekst-område"
"Words:","Ord:"
"Styles","Stiler"
"Font size","Skriftstørrelse"
"Font family","Skriftfamilie"
"Paragraph","Avsnitt"
"Address","Adresse"
"Preformatted","Preformatert"
"Heading 1","Overskrift 1"
"Heading 2","Overskrift 2"
"Heading 3","Overskrift 3"
"Heading 4","Overskrift 4"
"Heading 5","Overskrift 5"
"Heading 6","Overskrift 6"
"Blockquote","Blokksitat"
"Code","Kode"
"Code sample","Kode eksempel"
"Definition term","Definisjonsuttrykk"
"Definition description","Definisjonsbeskrivelse"
"Underline","Understreket"
"Strikethrough (Alt + Shift + D)","Gjennomstreking (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Venstrejuster (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Midtjuster (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Høyrejuster (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Blokkjuster (Alt + Shift + J)"
"Outdent","Utrykk"
"Indent","Innrykk"
"Undo (Ctrl + Z)","Angre (Ctrl + Z)"
"Redo (Ctrl + Y)","Gjenta (Ctrl + Y)"
"Cleanup messy code","Rydd opp rotete kode"
"Edit HTML Source","Rediger HTML kode"
"Subscript","Senket skrift"
"Superscript","Hevet skrift"
"Insert horizontal ruler","Sett inn horisontal linjal"
"Remove formatting","Fjern formatering"
"Select text color","Velg tekstfarge"
"Select background color","Velg bakgrunnsfarge"
"Insert custom character","Sett inn spesialtegn"
"Toggle guidelines/invisible elements","Slå på eller av hjelpelinjer/usynlige elementer"
"Insert/edit anchor","Sett inn/rediger anker"
"Cut","Klipp"
"Copy","Kopier"
"Paste","Lim inn"
"Image properties","Bilde egenskaper"
"New document","Nytt dokument"
"Help","Hjelp"
"Path","Bane"
"Are you sure you want to clear all contents?","Sikker på at du vil fjerne alt innhold?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Gå til verktøyknapper - Alt+Q, gå til redigering - Alt-Z, gå til element bane - Alt-X"
"Accessibility Help","Tilgjengelighet-hjelp"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Trykk ALT F10 for verktøylinjen. Trykk ALT 0 for hjelp."
"Toolbar","Verktøylinje"
"About TinyMCE","Om TinyMCE"
"About","Om"
"License","Lisens"
"Plugins","Utvidelser"
"Plugin","Utvidelse"
"Author","Forfatter"
"Version","Versjon"
"Loaded plugins","Innlastede utvidelser"
"Anchor name","Anker navn"
"HTML Source Editor","HTML-kode redigerer"
"Word wrap","Orddeling"
"Select a color","Velg en farge"
"Picker","Velger"
"Color picker","Fargevelger"
"Palette","Palett"
"Palette colors","Palett farger"
"Named","Navngitt"
"Named colors","Navngitte farger"
"Color:","Farge:"
"Name:","Navn:"
"Select custom character","Velg spesialtegn"
"Use left and right arrows to navigate.","Bruk høyre- og venstre piltast til å navigere."
"Image URL","Bilde URL"
"Image description","Bildebeskrivelse"
"Image list","Bildeliste"
"Border","Ramme"
"Dimensions","Dimensjoner"
"Vertical space","Vertikalt mellomrom"
"Horizontal space","Horisontalt mellomrom"
"Baseline","Grunnlinje"
"Top","Topp"
"Middle","Midten"
"Bottom","Bunn"
"Text top","Tekst topp"
"Text bottom","Tekst bunn"
"Link URL","Lenke URL"
"Target","Mål"
"Open link in the same window","Åpne lenken i samme vindu"
"Open link in a new window","Åpne lenken i et nytt vindu"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","URL-en du skrev inn ser ut til å være en e-postadresse. Vil du legge til nødvendig mailto: foran?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","URL-en du skrev inn ser ut til å være en ekstern lenke. Vil du legge til nødvendig http:// foran?"
"Link list","Lenkeliste"
"General Usage","Generell bruk"
"General","Generelt"
"Advanced","Avansert"
"File/URL","Fil/URL"
"List","Liste"
"Constrain proportions","Tving proposjoner"
"Name","Navn"
"V-Space","V-mellomrom"
"H-Space","H-mellomrom"
"Auto play","Automatisk avspilling"
"Loop","Løkke"
"Show menu","Vis meny"
"Quality","Kvalitet"
"Scale","Skaler"
"Align","Plasser"
"Hidden","Skjult"
"Kiosk mode","Kiosk modus"
"Play every frame","Vis alle frames"
"Target cache","Mål cache"
"No correction","Ingen korreksjon"
"Enable JavaScript","Slå på JavaScript"
"Start time","Starttid"
"End time","Sluttid"
"Choke speed","Kvelningshastighet"
"Volume","Enhet"
"Auto start","Automatisk start"
"Enabled","Aktivert"
"Fullscreen","Fullskjerm"
"Invoke URLs","Sjekk URL-er"
"Mute","Stille"
"Stretch to fit","Strekk til å passe"
"Windowless video","Vinduløs film"
"Balance","Balanse"
"Captioning id","Undertittel id"
"Current marker","Gjeldende markør"
"Current position","Gjeldende posisjon"
"Default frame","Standard ramme"
"Play count","Avspillingstall"
"Rate","Vurder"
"UI Mode","UI modus"
"Flash options","Flash innstillinger"
"QuickTime options","QuickTime-valg"
"Windows media player options","Windows media player innstillinger"
"Real media player options","Real media player innstillinger"
"Shockwave options","Shockwave innstillinger"
"Auto goto URL","Gå automatisk til URL"
"Image status","Bilde status"
"Maintain aspect","Behold aspekt"
"No java","Ingen java"
"Prefetch","Forhåndshent"
"Shuffle","Blande"
"Console","Konsoll"
"Num loops","Antall løkker"
"Controls","Kontroller"
"Script callbacks","Skript tilbakekall"
"Stretch style","Strekk stil"
"Stretch H-Align","Stekk H-tilpass"
"Stretch V-Align","Strekk V-tilpass"
"Sound","Lyd"
"Progress","Progresjon"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Strømmende rtsp ressurser bør bli lagt til i QT Src feltet under avansert fanen."
"Top left","Topp venstre"
"Top right","Topp høyre"
"Bottom left","Bunn venstre"
"Bottom right","Bunn høyre"
"Flash video options","Flash film innstillinger"
"Scale mode","Skaleringsmodus"
"Start image","Startbilde"
"Default volume","Standard enhet"
"Hidden GUI","Skjult GUI"
"Show scale modes","Vis skaleringsmodus"
"Smooth video","Jevn film"
"JS Callback","JS tilbakekall"
"HTML5 Video Options","HTML5 Videoinnstillinger"
"Alternative source 1","Alternativ kilde 1"
"Alternative source 2","Alternativ kilde 2"
"Preload","Forhåndslast"
"Poster","Plakat"
"Source","Kilde"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Vis eller skjul avansert verktøyrad (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Sett inn mer-skille (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Sett inn sideskift (Alt + Shift + P)"
"More...","(Mer...)"
"Next page...","Neste side..."
"Add Media","Legg til media"
"Add an Image","Legg til et bilde"
"Add Video","Legg til film"
"Add Audio","Legg til lyd"
"Edit Gallery","Endre galleri"
"Delete Gallery","Slett galleri"
"Distraction Free Writing mode (Alt + Shift + W)","Distraksjonfri skrivemodus (Alt + Shift + W)"
"Edit Image","Rediger bilde"
"Delete Image","Slett bilde"
"Advanced Settings","Avanserte innstillinger"
"Size","Størrelse"
"Thumbnail","Miniatyrbilde"
"Full Size","Full størrelse"
"Current Link","Gjeldende lenke"
"Link to Image","Lenke til bilde"
"Enter a link URL or click above for presets.","Skriv inn en lenke URL under eller klikk over for forhåndsdefinerte."
"Advanced Image Settings","Avanserte bildeinnstillinger"
"Width","Bredde"
"Height","Høyde"
"Original Size","Original størrelse"
"CSS Class","CSS-klasse"
"Advanced Link Settings","Avanserte lenkeinnstillinger"
"Link Rel","Lenkeforhold"
"Caption","Bildetekst"
"Alternative Text","Alternativ tekst"
"Rich Editor Help","Hjelp til riktekstbehandling"
"Basics of Rich Editing","Grunnleggende om riktekstbehandling"
"Basics","Grunnleggende"
"Advanced use of the Rich Editor","Avansert bruk av riktekstbehandleren"
"Hotkeys","Hurtigtaster:"
"About the software","Om programvaren"
"Rich Editing Basics","Grunnleggende riktekstbehandling"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Riktekstbehandling</em> betyr at teksten din blir formatert mens du skriver. Det du ser er det du får?! I kulissene lages HTML-koden, mens du konsentrerer deg om skrivingen. Fete typer, kursiv, lenker og bilder bare dukker opp, omtrent slik som de kommer til å gjøre på nettet."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress har en riktekstbehandler for HTML som virker bra i de fleste nettlesere. Men å redigere HTML er ikke som å skrive tekst. Hver nettside har to hovedkomponenter: strukturen, som er HTML koden lagd i tekstbehandleren etterhvert som du skriver, og utseendet, som legges på av det valgte temaet og er definert i style.css. WordPress lager gyldig XHTML 1.0 som betyr at det å sette inn flere linjeskift (BR-koder) etter et avsnitt vil ikke lage tomrom på nettsiden. BR-kodene vil bli fjernet som ugyldig av den interne HTML-kontrollfunksjonen."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Når du bruker tekstbehandleren vil de fleste grunnleggende tastatursnarveier virke som i en hvilken som helst annen tekstbehandler. For eksempel: Shift+Enter setter inn linjebrekk, Ctrl+C = kopier, Ctrl+X = klipp, Ctrl+Z = angre, Ctrl+Y = gjenta, Ctrl+A = velg alt, osv. (bruke Apple knappen istedenfor Ctrl på Mac). Se snarveier fanen for tilgjengelige tastatursnarveier."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Hvis du ikke liker måten riktekstbehandleren virker kan du skru den av i Din profil og Personlige innstillinger, under Brukere i administrasjonsmenyen."
"Advanced Rich Editing","Avansert riktekstbehandling"
"Images and Attachments","Bilder og vedlegg"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","I verktøylinjen til tekstbehandleren finner du en knapp for å sette inn bilder som allerede befinner seg på internett. Hvis du har en URL for et bilde, klikker du på denne knappen og skriver inn URL-en i boksen som kommer fram."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Hvis du må laste opp et bilde eller en annen mediefil fra din datamaskin, kan du bruke mediebiblioteks-knappen over redigereren. Mediebiblioteket vil prøve å lage en frimerke-stor kopi fra hvert opplastet bilde. For å sette inn bildet i innlegget, klikker du først på miniatyrbildet. Da ser du en meny med ulike valg. Når du har tatt de valgene du vil, klikker du på «Sett inn i innlegg», og ditt bilde eller fil vil vises i innlegget som du redigerer."
"HTML in the Rich Editor","HTML i riktekstbehandleren"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","HTML som skrives inn direkte i visuell modus vil vises som tekst når innlegget vises. Det du ser er det du får. Når du vil inkludere HTML-elementer som ikke kan genereres med knappene i verktøylinjen, må du bruke tekstmodus. Eksempler er tabeller og &lt;kode&gt;. For å gjøre dette, klikk på tekst-fanen og rediger koden, så kan du veksle tilbake til visuell modus. Hvis koden er gyldig og forstått av redigereren, vil du se resultatet umiddelbart."
"Pasting in the Rich Editor","Innliming i riktekstbehandleren"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Når du limer inn innhold fra en annen nettside, kan resultatene bli inkonsistente og bli avhengige av nettleseren og nettsiden som du kopierte innholdet fra. Denne redigereren prøver å rette ugyldig HTML-kode som blir limt inn, men for beste resultat bør du prøve å bruke tekst-fanen eller en av lim inn-knappene som er på den andre raden i verktøylinjen. Alternativt kan du prøve å lime inn avsnitt for avsnitt. For å markere ett avsnitt kan du i de aller fleste tilfeller «trippelklikke» på det."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Når du limer inn innhold fra en annen applikasjon, som Word eller Excel, er det best å bruke «Lim inn fra Word»-knappen på den andre raden i verktøylinjen, eller i tekstmodus."
"Writing at Full Speed","Skriving i høy hastighet"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Istedenfor å bruke musen og klikke på menylinjen kan du bruke disse tastatursnarveiene. Windows og Linux bruker Ctrl + bokstav. Macintosh bruker Command + bokstav."
"Letter","Bokstav"
"Action","Handling"
"Select all","Velg alt"
"Undo","Angre"
"Redo","Gjør om"
"Bold","Fet"
"Italic","Kursiv"
"The following shortcuts use different access keys: Alt + Shift + letter.","Følgene snarveier bruker forskjellige taster: Alt + Shift + bokstav."
"Check Spelling","Stavekontroll"
"Align Left","Venstrestill"
"Justify Text","Sperret tekst"
"Align Center","Midtstill"
"Strikethrough","Gjennomstreking"
"Align Right","Høyrestill"
"Insert link","Sett inn lenke"
"Remove link","Fjern lenke"
"Quote","Sitat"
"Insert Image","Sett inn bilde"
"Distraction Free Writing mode","Distraksjonsfri skrivemodus"
"Insert More Tag","Sett inn mer-skille"
"Insert Page Break tag","Sett inn sideskift"
"Editor width in Distraction Free Writing mode:","Vindusbredde i distraksjonsfri skrivemodus:"
"Wider","Bredere"
"Narrower","Smalere"
"Default width","Standardbredde"
"Version:","Versjon:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE er en plattformuavhengig nettbasert Javascript HTML WYSIWYG editor utgitt som åpen kildekode under %sLGPL</a>>→\tav Moxiecode Systems AB. Det har evnen til å konvertere HTML TEXTAREA-felter eller andre HTML-elementer til tekstredigeringsområder."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright © 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Alle rettigheter reservert."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","For mer informasjon om denne programvaren, besøk nettstedet til <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE</a>."
"Got Moxie?","Har du Moxie?"
"Comments Feed","Kommentarstrøm"
"Edit This","Rediger dette"
"Edit comment","Rediger kommentar"
"Edit Link","Rediger lenke"
"Use commas instead of %s to separate excluded categories.","Bruk komma i stedet for %s for å skille utelatte kategorier."
"Previous Post","Forrige innlegg"
"Next Post","Neste innlegg"
"Newer Comments &raquo;","Nyere kommentarer &raquo;"
"&laquo; Older Comments","&laquo; Eldre kommentarer"
"This is the short link.","Dette er den korte lenken."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Din tjener kjører PHP versjon %s, men WordPress %s trenger minimum %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Din PHP installasjon ser ut til å mangle MySQL utvidelsen som kreves av WordPress."
"Maintenance","Vedlikehold"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Midlertidig utilgjengelig for planlagt vedlikehold. Prøv igjen om ett minutt."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>FEIL</strong>: <code>$table_prefix</code> i <code>wp-config.php</code> kan bare inneholde bokstaver, tall og understrek."
"The site you have requested is not installed properly. Please contact the system administrator.","Nettstedet du etterspør er ikke riktig installert. Vennligst kontakt administratoren."
"S_Sunday_initial","S"
"M_Monday_initial","M"
"T_Tuesday_initial","T"
"W_Wednesday_initial","O"
"T_Thursday_initial","T"
"F_Friday_initial","F"
"S_Saturday_initial","L"
"number_format_thousands_sep"," "
"number_format_decimal_point",","
"Drop files to upload","Slipp filer for å laste opp"
"Upload Limit Exceeded","Opplastingsgrense overskredet"
"Drop files anywhere to upload","Slipp filer hvor som helst for å laste opp"
"Select Files","Velg filer"
"Maximum upload file size: %d%s.","Maksimal størrelse for opplastede filer: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Din nettleser har noen begrensninger for store filer med flerfilopplasteren. Vennligst bruk <a href=\"%s\" target=\"%s\">nettleseropplasting</a> for filer over 100MB."
"Uploading","Opplasting"
"Dismiss Errors","Avvis feil"
"Error","Feil "
"Deselect","Fjern markering"
"Caption this image&hellip;","Gi bildetekst til dette bildet&hellip;"
"Describe this video&hellip;","Beskriv videoen&hellip;"
"Describe this audio file&hellip;","Beskriv lydfilen&hellip;"
"Describe this media file&hellip;","Beskriv mediafilen&hellip;"
"Attachment Details","Vedleggsdetaljer"
"Refresh","Last inn på nytt"
"Delete Permanently","Slett permanent"
"Alt Text","Alt-tekst"
"Description","Beskrivelse"
"Edit","Rediger"
"Clear","Tøm"
"Attachment Display Settings","Skjerminnstillinger for vedlegg"
"Link To","Lenk til"
"Custom URL","Tilpasset URL"
"Attachment Page","Vedleggsside"
"Media File","Mediefil"
"Large","Stor"
"Gallery Settings","Galleriinnstillinger"
"Columns","Kolonner"
"Random Order","Tilfeldig rekkefølge"
"No editor could be selected.","Ingen redigerer kunne velges."
"Allowed Files","Godkjente filtyper"
"Select","Velg"
"%d selected","%d er valgt"
"Drag and drop to reorder images.","Dra og slipp for å endre rekkefølgen på bildene."
"Upload Files","Last opp filer"
"Upload Images","Last opp bilder"
"Media Library","Mediebibliotek"
"Insert Media","Sett inn media"
"Create a new gallery","Lag et nytt galleri"
"&#8592; Return to library","&#8592; Tilbake til bibliotek"
"All media items","Alle mediefiler"
"No items found.","Fant ikke noe."
"Insert into page","Sett inn på side"
"Insert into post","Sett inn i innlegg"
"Uploaded to this page","Lastet opp til denne siden"
"Uploaded to this post","Lastet opp til dette innlegget"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Du er i ferd med å permanent slette dette objektet.\n  'Avbryt' for å stoppe, 'OK' for å slette."
"Insert from URL","Sett inn fra URL"
"Set Featured Image","Bestem fremhevet bilde"
"Set featured image","Bestem fremhevet bilde"
"Create Gallery","Lag galleri"
"&#8592; Cancel Gallery","&#8592; Avbryt galleri"
"Insert gallery","Sett inn galleri"
"Update gallery","Oppdater galleri"
"Add to gallery","Legg til i galleri"
"Add to Gallery","Legg til i galleri"
"Reverse order","Omvendt rekkefølge"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Konstanten <code>VHOST</code> <strong>er utgått</strong>. Bruk den boolske konstanten <code>SUBDOMAIN_INSTALL</code> i wp-config.php for å aktivere subdomenekonfigurasjonen. Bruk <code>is_subdomain_install()</code> for å se om dubdomeneinstallasjonen er aktivert."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Motstridende verdier for konstantene VHOST og SUBDOMAIN_INSTALL.</strong> Verdien til SUBDOMAIN_INSTALL vil antas å være din konfigurasjonsinnstilling for subdomener."
"The requested user does not exist.","Den forespurte brukeren eksisterer ikke."
"That user does not exist.","Den brukeren finnes ikke."
"<strong>ERROR</strong>: Site URL already taken.","<strong>FEIL</strong>: Nettsteds-URL allerede tatt."
"<strong>ERROR</strong>: problem creating site entry.","<strong>FEIL</strong>: Problem med å lage nettstedsoppføring."
"Only lowercase letters (a-z) and numbers are allowed.","Kun små bokstaver (a-z) og tall er tillatte."
"Please enter a username.","Skriv inn brukernavn."
"That username is not allowed.","Brukernavnet ble ikke godkjent."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Du kan ikke bruke den e-postadressen til å registrere deg. Vi har problemer med at de stopper noen av våre e-poster. Vennligst velg en annen e-posttilbyder."
"Username must be at least 4 characters.","Brukernavnet må bestå av minst 4 tegn."
